hen coop	219-599-B
herring gull	219-21055-B
herring pond	219-21154-B
herringbone stitch	219-20960-B
herritage	219-21265-B
hers	220-0-B
herself	220-189-B
hertz	220-579-B
hertzian wave	220-624-B
hesitance	220-745-B
hesitancy	220-791-B
hesitant	220-943-B
hesitantly	220-1046-B
hesitate	220-1130-B
hesitatingly	220-1234-B
hesitation	220-1346-B
hesitative	220-1467-B
hesperian	220-1514-B
hesperidin	220-1608-B
hesperidium	220-1670-B
hesperus	220-1753-B
hessian	220-1804-B
hessian boots	220-1877-B
hessian fly	220-1948-B
hessonite	220-2043-B
hest	220-2102-B
het	220-2158-B
het up	220-2312-B
hetaera	220-2410-B
hetaerae	220-2453-B
hetaerism	220-2569-B
hetaira	220-2616-B
hetairism	220-2659-B
heteoscedastic	220-2777-B
hetero	220-2889-B
heteroatom	220-2990-B
heteroautotrophic	220-3072-B
heterocercal	220-3170-B
heterochromatic	220-3289-B
heterochromatin	220-3359-B
heteroclite	220-3446-B
heterocycle	220-3644-B
heterocyclic	220-3711-B
heterocylic	220-3782-B
heterocyst	220-3840-B
heterocystous	220-3922-B
heterodont	220-4003-B
heterodox	220-4128-B
heterodoxy	220-4196-B
heterodyne	220-4351-B
heterogamete	220-4500-B
heterogametic	220-4567-B
heterogamy	220-4649-B
heterogeneity	220-4725-B
heterogeneous	220-4847-B
heterogeneously	220-4950-B
heterogenesis	220-5045-B
heterogenetic	220-5136-B
heterogony	220-5224-B
heterograft	220-5303-B
heterologous	220-5390-B
heteromorphic	220-5454-B
heteromorphism	220-5519-B
heteronimy	220-5578-B
heteronomous	220-5642-B
heteronym	220-5694-B
heteronymous	220-5833-B
heterophylly	220-5921-B
heterophyte	220-6004-B
heteroploid	220-6079-B
heteropolar	220-6145-B
heteropolarity	220-6218-B
heteropteran	220-6292-B
heteropterous	220-6367-B
heterosexual	220-6436-B
heterosexuality	220-6537-B
heterosis	220-6651-B
heterospory	220-6718-B
heterothallic	220-6819-B
heterotic	220-6915-B
heterotopic	220-6989-B
heterotroph	37-1382-S
heterotrophic	220-7167-B
heterotypic	220-7247-B
heterozygote	220-7292-B
heth	220-7364-B
hetman	220-7447-B
heulandite	220-7532-B
heure	1-3451-S
heuristic	220-7599-B,123-28815-S
heuristics	220-7761-B
hew	220-7962-B,395-1682-S
hewer	220-8324-B
hewn	220-8583-B,393-2552-S,395-1808-S
hex	220-8612-B
hexachloroethane	220-8706-B
hexachord	220-8796-B
hexad	220-8870-B
hexade	220-8928-B
hexadecimal	220-8971-B
hexadecimal conversion	117-11324-S
hexadic	220-9065-B
hexagon	220-9108-B
hexagonal	220-9175-B
hexagram	220-9231-B
hexahedral	220-9378-B
hexahedron	220-9454-B
hexahydrate	220-9528-B
hexameter	220-9633-B
hexametric	220-9698-B
hexametrical	220-9812-B
hexane	220-9869-B
hexangular	220-9919-B
hexanoic acid	220-9981-B
hexaploid	220-10055-B
hexapod	220-10113-B
hexapodous	220-10259-B
hexapody	220-10308-B
hexarchy	220-10417-B
hexastich	220-10522-B
hexastichon	220-10609-B
hexatomic	220-10676-B
hexavalent	220-10751-B
hexehedral	220-10827-B
hexehedron	220-10868-B
hexose	220-10938-B
hey	220-10989-B
hey day	220-11388-B
heyday	220-11179-B
hf	220-11468-B
hg	220-11540-B
hgv	220-11671-B
hh	220-11769-B
hhour	220-11996-B
hi	220-12038-B
hi fi	220-18533-B
hiatal	220-12105-B
hiatus	220-12176-B
hiatuses	220-12438-B
hibachi	220-12480-B
hibernaculum	220-12537-B
hibernal	220-12669-B
hibernant	220-12750-B
hibernate	220-12955-B
hibernation	220-13130-B
hibernian	220-13334-B
hibernicism	220-13428-B
hibiscus	220-13501-B
hic jacet	220-13573-B
hiccough	220-13634-B
hiccup	220-13673-B
hick	220-13785-B
hickey	220-13859-B
hickory	220-13947-B
hid	220-14062-B
hidalgo	220-14149-B
hidden	220-14253-B
hidden tax	220-14274-B
hiddenite	220-14340-B
hide	220-14401-B,104-25857-S
hide and seek	220-15243-B
hide away	220-15327-B
hide bound	220-15373-B
hide out	220-15915-B
hidebound	220-15532-B
hideous	220-15614-B
hideously	220-15763-B
hideousness	220-15834-B
hidey hole	220-15998-B
hiding	220-16109-B
hiding place	220-16329-B
hidrosis	220-16412-B
hidrotic	220-16507-B
hie	220-16612-B
hielaman	220-16674-B
hiemal	220-16857-B
hierachy	220-16917-B
hierarch	220-16964-B
hierarchic	220-17052-B
hierarchical	220-17128-B
hierarchism	220-17183-B
hierarchy	220-17276-B,4-6856-S,114-16475-S
hieratic	220-17489-B
hierocracy	220-17614-B
hierodule	220-17705-B
hierodulic	220-17808-B
hieroglyph	220-17923-B
hieroglyphic	220-18049-B
hieroglyphics	220-18107-B
hierogram	220-18196-B
hierograph	220-18246-B
hierolatry	220-18298-B
hierophant	220-18372-B
higgle	220-18635-B
higgledy piggledy	220-18682-B
high	220-18881-B,58-1957-S,260-16230-S,296-23353-S,418-17696-S,423-15399-S,482-21475-S,513-23967-S
high admiral	274-28976-S
high altar	220-21630-B
high and low	220-21693-B
high binder	221-2481-B
high blower	221-2669-B
high born	221-2744-B
high bred	221-2882-B
high browed	221-3152-B
high chair	220-21918-B
high chancellor	274-29066-S
high church	220-21997-B
high churchman	221-3396-B
high class	221-3555-B
high colour	220-22130-B
high coloured	221-3662-B
high comedy	220-22221-B
high commission	220-22288-B
high commissioner	220-22460-B
high court	220-22665-B
high day	221-3934-B
high explosive	220-22732-B
high falutin	221-4547-B
high faluting	221-4604-B
high farming	221-0-B
high fashion	221-64-B
high fidelity	221-158-B
high flier	221-4733-B
high flyer	221-4850-B
high frequency	221-5075-B,169-7050-S,509-4903-S
high german	221-252-B,311-19863-S
high grade	221-5148-B
high handed	221-5214-B
high handedly	221-5330-B
high handedness	221-5407-B
high hat	221-324-B,221-5555-B
high hearted	221-5836-B
high jump	221-399-B
high jumper	221-6198-B
high jumping	221-6290-B
high key	221-6356-B
high keyed	221-6449-B
high level	221-7197-B
high life	221-466-B,221-7282-B
high light	221-7661-B
high minded	221-8584-B
high mindedly	221-8721-B
high mindedness	221-8796-B
high muck a muck	221-8944-B
high octane	221-9461-B
high pitched	221-9535-B
high powered	221-9677-B
high pressure	221-562-B
high priced	221-9790-B
high priest	221-626-B
high priesthood	221-707-B
high principled	221-9852-B
high priori road	221-830-B
high proof	221-9976-B
high ranker	221-10047-B
high ranking	221-10147-B
high relief	221-983-B
high rise	221-10227-B
high road	221-1051-B
high roller	221-1125-B
high school	221-1235-B
high seas	221-1299-B
high season	221-1373-B
high sounding	221-10301-B
high speed	221-10378-B
high spirited	221-10431-B
high spot	221-1434-B
high stepper	221-10541-B
high stepping	221-10663-B
high street	221-1528-B
high strung	221-10735-B
high table	221-1602-B
high tail	221-11016-B
high tea	221-1686-B
high tech	221-11134-B
high technology	221-1781-B
high tension	221-11208-B,168-18061-S
high test	221-11296-B
high tide	221-1881-B
high toned	221-11425-B
high treason	221-1996-B
high up	221-11642-B
high water	221-11786-B
high water mark	221-11904-B,221-12032-B
high yaller	221-12584-B
high yellow	221-2085-B
highball	221-2150-B
highboy	221-2818-B
highbrow	221-2976-B
highbrowism	221-3314-B
highcommand	221-3794-B
higher	221-4007-B
higher animals	221-4045-B
higher criticism	221-4122-B
higher education	221-4316-B
higher up	221-4406-B
highest	221-4512-B
highflown	221-4780-B
highflyer	221-4897-B
