avalanche current	37-4632-B
axle tree	38-4318-B
axoid	38-4383-B
axoloti	38-4434-B
axon	38-4509-B
axonometry	38-4580-B
axopetal	38-4659-B
axoplasm	38-4732-B
axoplast	38-4814-B
axopodium	38-4877-B
axosomatic	38-4962-B
axostyle	38-5033-B
ay	38-5105-B
ayah	38-5317-B
ayatollah	38-5385-B
aye	38-5479-B,38-5574-S
aye aye	38-5574-B
azalea	38-5659-B
azar	257-27299-S
azerbaijanese	38-5744-B
azilian	38-5850-B
azimith	38-6015-B
azimuth	38-6071-B,91-9560-S
azimuth beam	38-6177-B
azimuth coverage	38-6218-B
azimuth drive	38-6279-B
azimuth potentiometer	38-6333-B
azimuth rate	38-6430-B
azimuth resolution	38-6490-B
azimuth selsyn	38-6551-B
azimuth sweep	38-6612-B
azimuthal	38-6655-B
azimuthal component	38-6731-B
azimuthally	38-6788-B
azin	38-6819-B
azoic	38-6866-B
azole	38-6955-B
azolla	38-6993-B
azonal	38-7071-B
azotaemia	38-7141-B
azote	38-7216-B
azoth	38-7264-B
azotic	38-7325-B
azotobacter	38-7408-B
azotobacterin	38-7486-B
azoturia	38-7562-B
aztec	38-7630-B
azure	38-7725-B
azurit	38-7951-B
azygous	38-8007-B
azymic	38-8097-B
azymous	38-8150-B
aì clef	393-19405-S
aì deux	185-2267-S
aì dos	137-15726-S
aì porter	360-4919-S
b	38-8200-B,38-8516-S,272-12388-S,428-15161-S
b a	38-9087-B
b and b	38-8516-B
b b c	38-9176-B
b c	38-9271-B,1-2621-S,38-9176-S
b c book	1-2537-S
b complex	38-8614-B
b ed	38-8678-B
b eng	38-8765-B
b gate	1-3077-S,1-3355-S,1-3405-S
b l	38-9343-B
b litt	38-8849-B
b mus	38-8934-B
b phil	38-8998-B
b picture	56-21978-B
b road	59-4326-B
ba	38-9388-B
baa	38-9510-B
baa lamb	38-9790-B
baal	38-9600-B
baalism	38-9898-B
baas	38-9980-B
baasskap	38-10137-B
baba	38-10232-B
babassu	38-10314-B
babbit metal	38-10413-B
babble	38-10483-B
babblement	38-10523-B
babbler	38-10882-B
babbling network	38-11040-B
babe	38-11119-B
babel	38-11512-B
babirusa	38-11718-B
babittry	38-11827-B
baboon	38-12052-B
baboonery	38-12123-B
baboonish	38-12152-B
babouche	38-12180-B
babu	38-12223-B
baby	38-12317-B,52-27026-S,55-25195-S,62-15665-S,109-2683-S,255-1854-S,376-17701-S,465-26011-S,514-24075-S
baby buggy	38-13049-B
baby carriage	38-13101-B
baby faced	38-13404-B
baby farm	38-13520-B
baby farmer	38-13580-B
baby farming	38-13649-B
baby grand	38-13159-B
baby jumper	38-13966-B
baby minder	38-14037-B
baby sit	38-14164-B
baby sitter	38-14257-B
baby sitting	38-14410-B
baby sling	38-13236-B
baby snatcher	38-14488-B
baby talk	38-13316-B,38-14614-B
baby tooth	38-13373-B,38-14694-B
babyhood	38-13718-B
babyish	38-13770-B
babyishness	38-13836-B
babyism	38-13921-B
bacalao	38-14744-B
bacca	38-14825-B
baccalaureate	38-14872-B
baccarat	38-14940-B
baccate	38-15014-B
bacchae	38-15096-B
bacchanal	38-15202-B
bacchanalia	38-15245-B
bacchanalian	38-15446-B
bacchant	38-15703-B
bacchantic	38-15828-B
bacchic	38-15859-B
bacchus	38-15996-B
bacciferous	38-16077-B
bacciform	38-16176-B
baccivorous	38-16239-B
baccy	38-16320-B
bachelor	38-16374-B
bachelorhood	38-16632-B
bachelorship	38-16710-B
bacillary	38-16826-B
bacilli	38-16925-B
bacilliform	38-16967-B
bacillus	38-17024-B,87-8833-S,88-25660-S,480-3249-S
bacitracin	38-17123-B
back	38-17190-B,21-18878-S,39-10403-S,72-11946-S,81-20305-S,88-17851-S,111-24361-S,171-12781-S,178-4020-S,181-1477-S,192-20256-S,203-12951-S,207-27791-S,213-8304-S,222-24932-S,226-26550-S,262-14088-S,262-21563-S,266-20037-S,275-22135-S,296-6596-S,313-13420-S,327-6880-S,343-4525-S,347-15881-S,348-18692-S,369-20437-S,379-570-S,384-5541-S,393-15254-S,396-32324-S,396-38744-S,405-14814-S,414-15571-S,437-26892-S,443-21467-S,457-20270-S,460-34018-S,468-21568-S,481-21857-S
back action	39-886-B
back and forth	39-941-B
back bacon	38-21143-B
back bench	38-21227-B
back bencher	39-982-B
back blocks	39-1508-B
back boiler	38-21386-B
back breaking	39-2208-B
back chat	39-2319-B
back cloth	39-2399-B
back conduction	38-21508-B
back country	38-21548-B
back coupling	38-21629-B
back dating	38-21667-B
back diodes	39-10540-S
back door	38-21713-B
back drop	39-3157-B
back end	38-21793-B,39-3282-B
back feed	38-21838-B
back field	39-3418-B
back fire	39-3832-B
back formation	38-21883-B,39-4035-B
back haul	39-5769-B
back lash	38-21989-B,39-6528-B
back lash potential	38-22045-B
back maker	39-7022-B
back mutation	38-22105-B
back nationalism	38-22258-B
back number	38-22351-B
back of	38-22504-B
back of beyond	38-22561-B
back out	38-22756-B
back out of	38-22821-B
back page	38-22872-B
back panel	38-22907-B
back pay	39-7440-B
back pedal	39-7507-B
back plate	39-7712-B
back projection	38-22966-B
back propagation	38-23133-B
back reference	39-0-B
back resistance	39-45-B
back rest	39-7850-B
back room	39-93-B
back scattering	39-336-B
back scheduling	39-380-B
back seat	39-434-B
back seat driver	39-8187-B
back set	39-8313-B
back slang	39-500-B,39-8533-B
back slap	39-8700-B
back slash	39-592-B
back space	39-658-B
back stroke	39-684-B
back talk	39-10336-B
back to back	39-10403-B
back to back diodes	39-10540-B
back tracking method	39-10736-B
back up	39-10801-B
back voltage	39-727-B
back ward	39-770-B
backache	39-828-B
backbit	39-1165-B
backbite	39-1207-B
backbiter	39-1326-B
backbiting	39-1374-B
backbitten	39-1463-B
backboard	39-1626-B
backbone	39-1692-B
backbone lan	39-2099-B
backboned	39-2178-B
backcomb	39-2447-B
backcross	39-2566-B
backdate	39-2744-B
backdive	39-2915-B
backdrop	39-3030-B
backed	56-11747-S,107-12863-S,226-26623-S,379-682-S,457-1060-S,481-21962-S
backed gull	267-20548-S
backelordom	39-3250-B
backer	39-3340-B
backfill	39-3503-B
backfire	39-3630-B
backgammon	39-4206-B
background	39-4266-B,87-11465-S
background information	39-4668-B
background job	39-4745-B
background mode	39-4821-B
background noise	39-4870-B
background printing	39-4994-B
background processing	39-5045-B
background sound	39-5104-B
background task	39-5169-B
backhand	39-5205-B
backhanded	39-5316-B
backhandedly	39-5573-B
backhandedness	39-5608-B
backhander	39-5645-B
backhouse	39-5831-B
backing	39-5916-B
backing memory	39-6181-B
backing out	39-6221-B
backing storage	39-6270-B
backing up	39-6318-B
backing up system	39-6365-B
backlash	39-6427-B
backless	39-6623-B
backlight	39-6715-B
backlist	39-6826-B
backlog	39-6921-B
backmost	39-7127-B
backpack	39-7205-B
backpacker	39-7272-B
backpacking	39-7408-B
backplane	39-7634-B
backrest	39-7781-B
backrolling	39-7908-B
backroom boys	39-7945-B
backscattering	39-8066-B
backscratcher	39-8106-B
backside	39-8397-B
backsight	39-8449-B
backslash	39-8771-B
backslide	39-8830-B
backslider	39-8901-B
backsliding	39-8963-B
backspace	39-9027-B,39-9083-B
backspace character	39-9298-B
backspace key	39-9341-B
backspace statement	39-9375-B
backstage	39-9421-B
backstairs	39-9531-B
backstay	39-9745-B
backstreet	39-9903-B
backstroke	39-10052-B
backstrokeer	39-10126-B
backswept	39-10161-B
backtab	39-10227-B
backtalk	39-10255-B
backtrack	39-10598-B
backtracking	39-10679-B
backup	39-10859-B,28-9517-S,86-13181-S,126-8478-S
backup copy	39-10920-B
backup device	39-10963-B
backup disk	39-11015-B
backup diskette	39-11058-B
backup file	39-11111-B
backup media	39-11158-B
backveld	39-11203-B
