tic-tac [01/'tik(') tæk/]	- xem [03ticktack] 
tidy [01/'taidi/]	[01* ttừ]\n- sạch sẽ, ngăn nắp, gọn gàng\n[02= a tidy room] một căn phòng ngăn nắp sạch sẽ\n[02= tidy habits] cách ăn ở sạch sẽ\n- (tục) khá nhiều, kha khá\n[02= a tidy sum of money] một số tiền kha khá\n- (tiếng địa phương) khá khoẻ\n[01* ngđtừ]\n- ((thường) +[02up]) làm cho sạch sẽ, dọn dẹp, sắp xếp gọn gàng, xếp sắp ngăn nắp\n[01* nđtừ]\n- (+[04 up]) sắp xếp sửa sang cho gọn gàng, dọn dẹp cho sạch sẽ ngăn nắp\n[01* dtừ]\n- thùng chứa vật linh tinh; giỏ rác\n[02= street tidy] thùng rác đường phố\n- vải phủ ghế (cho khỏi bẩn) 
tie	[01* dtừ]\n- dây buộc, dây cột, dây trói; dây giày\n- ca vát\n- nơ, nút\n- bím tóc\n- (kiến trúc) thanh nối; (Mỹ) tà vẹt đường ray\n- (bóng) mối ràng buộc, quan hệ\n[02= ties of blood] quan hệ dòng máu\n- sự ràng buộc, sự hạn chế\n- (chính trị) ; (thể thao) sự nang phiếu, sự ngang điểm\n[02= the game ended in a tie] trận đấu kết thúc ngang điểm\n- (âm nhạc) dấu nối\n[01* ngđtừ]\n- buộc, cột, trói\n[02= to tie a buffalo to a tree] buộc một con trâu vào cây\n[02= to tie one's shoe-laces] buộc dây giày của mình\n- thắt\n[02= to tie a knot] thắt nút\n- liên kết, nối\n[02= a steel bar ties the two columns] một thanh thép nối hai cột\n- (bóng) rảng buộc, trói buộc, cột; giữ lại\n[02= to be tied to one's work] bị công việc ràng buộc\n- (âm nhạc) đặt dấu nối\n[01* nđtừ]\n- ngang điểm, ngang phiếu, hoà nhau\n[02= the two teams tied] hai đội ngang điểm\n- cột, buộc, cài\n[02= does this sash tie in front or at the back?] cái khăn quàng này buộc đằng trước hay đằng sau?\n[04! to tie down]\n- cột, buộc vào, ràng buộc\n[02= to tie a man down to a contract] ràng buộc một người vào một hợp đồng\n[04! to tie on]\n- cột, buộc (nhãn hiệu)\n[04! to tie up]\n- cột, buộc, trói\n- (y) buộc, băng (một vết thương)\n- (tài chính) giữ lại, giữ nằm im (một số tiền)\n- (pháp lý) làm cho không huỷ được, làm cho không bán được, làm cho không nhường được (một di sản)\n- (bóng) giữ lại, trói buộc\n[04! to be tied up]\n- (Mỹ) bắt buộc phải ngừng hoạt động (vì đình công...)\n[04! to get tied up]\n- kết hôn, lấy vợ, lấy chồng\n[04! to tie someone's tongue]\n- khoá miệng ai lại, bưng miệng ai lại
tie-bar [01/'tai'bɑ:/]	[01* dtừ]\n- thanh nối\n- (ngành đường sắt) tà vẹt
tie-beam [01/'tai'bi:m/]	[01* dtừ]\n- rầm nối
tie-bolt [01/'taiboult/]	[01* dtừ]\n- (kỹ) bu-lông nối
tie-breaker [01/'tai'breikə/]	[01* dtừ]\n- biện pháp quyết định ai thắng khi các đấu thủ hoà nhau (đá hiệp phụ, đá luân lưu trong bóng đá) 
tie-clip [01/'tai'klip/]	[01* dtừ]\n- cái kẹp ca vát
tied [01/'taid/]	[01* ttừ]\n- cho ai thuê với điều kiện người đó làm việc cho chủ nhà (về một ngôi nhà) 
tied house [01/'taid'haus/]	[01* dtừ]\n- quán rượu do một nhà máy bia sở hữu hoặc kiểm soát
tie-dye [01/'tai'dai/]	[01* đtừ]\n- tạo ra những hoạ tiết nhuộm màu trên (vải) bằng cách buộc từng phần của vải lại để những chỗ đó không bị ăn màu
tie-dyeing [01/'tai'daiiη/]	[01* dtừ]\n- sự tạo ra những hoạ tiết nhuộm màu trên (vải) bằng cách buộc từng phần của vải lại để những chỗ đó không bị ăn màu
tie-in [01/'tai:in/]	[01* dtừ]\n- sự nối tiếp, sự liên tiếp, mối quan hệ\n- sự phù hợp, sự khít khao
tie-knot [01/'tainɔt/]	[01* dtừ]\n- nút; múi; nút thắt\n- giao điểm; đầu nối
tie-on [01/'tai'ɔn/]	[01* ttừ]\n- có thể buộc được (về một nhãn hiệu) 
tie-pin [01/'tai'pin/]	như [03tie-tack]
tier [01/'tiə/]	[01* dtừ]\n- tầng, lớp\n[02= to place in tiers one above another] xếp thành tầng\n- bậc (của một hội trường, một giảng đường)\n- bậc thang (trên một cao nguyên)\n- người buộc, người cột, người trói
tierce [01/tiəs/]	[01* dtừ]\n- thế kiếm thứ ba (mũi kiếm ngang con mắt)\n- (đánh bài) bộ ba con liên tiếp\n- thùng (đựng rượu, khoảng 200 lít)\n- (âm nhạc) quãng ba; âm ba
tierced [01/tiəst/]	[01* ttừ]\n- chia làm ba
tiercel [01/'tiəsəl/]	[01* dtừ]\n- chim ưng đực
tiercet [01/'tiəsit/]	như [03tercet]
tiered [01/'tiərid/]	[01* ttừ]\n- xếp thành dãy, xếp thành hàng\n- (trong từ ghép) có số tầng, lớp được nói rõ
tie-string [01/'taistriη/]	[01* dtừ]\n- băng; dải; ruy-băng; sợi dây nhỏ
tie-tack [01/'tai'tæk/]	[01* dtừ]\n- kẹp ca vát, ghim cài cà vạt
tie-up [01/'tai'ʌp/]	[01* dtừ]\n- (thương nghiệp) sự thoả thuận\n- sự cấm đường\n- sự ngừng (công việc, giao thông..., do công nhân đình công, do hỏng máy...)\n- tình trạng khó khăn bế tắc
tiff [01/tif/]	[01* dtừ]\n- (tục) sự bất hoà, sự xích mích\n[02= to have a tiff] xích mích\n[01* nđtừ]\n- phật ý, không bằng lòng\n[01* dtừ]\n- ngụm, hớp (nước, rượu...)\n[01* ngđtừ]\n- uống từng hớp, nhắp\n[01* nđtừ]\n- (Anh-Ân) ăn trưa
tiffany [01/'tifəni/]	[01* dtừ]\n- (nghành dệt) the, sa
tiffin [01/'tifin/]	[01* dtừ]\n- (Anh-Ân) bữa ăn trưa\n[01* nđtừ]\n- (Anh-Ân) ăn trưa
tig [01/tig/]	[01* dtừ]\n- trò chơi đuổi bắt
tige [01/ti:ʒ/]	[01* dtừ]\n- (kiến trúc) thân cột\n- (thực vật) thân (cây) 
tiger [01/'taigə/]	[01* dtừ]\n- hổ, cọp\n- (bóng) người hay nạt nộ, kẻ hùng hổ\n- người tàn bạo hung ác
tiger-cat [01/'taigə'kæt/]	như [03margay]
tiger-eye [01/'taigə'ai/]	như [03tiger's-eye]
tigerish [01/'taigəri∫/]	[01* ttừ]\n- (thuộc) hổ, (thuộc) cọp; như hổ, như cọp\n- tàn bạo, hung ác
tigerism [01/'taigərizm/]	[01* dtừ]\n- tính hay nạt nộ, tính hùng hổ\n- tính tàn bạo hung ác
tiger-lily [01/'taigə'lili/]	[01* dtừ]\n- cây hoa loa kèn lớn trồng ở vườn, có hoa màu da cam lốm đốm đen hoặc đỏ tía
tiger-moth [01/'taigə'mɔθ/]	[01* dtừ]\n- bướm đêm có cánh vằn như da hổ
tiger's-eye [01/'taigəz'ai/]	[01* dtừ]\n- ngọc mắt mèo
tiger-shark [01/'taigə∫a:k/]	[01* dtừ]\n- cá mập
tight [01/tait/]	[01* ttừ]\n- kín, không thấm, không rỉ\n[02= a tight ship] một cái tàu kín nước không rỉ vào được\n- chặt, khít\n[02= a tight knot] một nút thắt\n[02= the cork is too tight] nút chai chặt quá\n[02= a tight grasp] sự ôm chặt, sự ghì chặt\n- chật, bó sát\n[02= tight shoes] giày chật\n[02= tight trousers] quần bó sát\n- căng, căng thẳng\n[02= tight rope] dây căng\n[02= a tight match] một trận đấu căng thẳng (gay go)\n- khó khăn, khan hiếm\n[02= to be in a tight place (corner)] (bóng) gặp hoàn cảnh khó khăn\n[02= money is tight] tiền khó kiếm\n- keo cú, biển lận\n- (tục) say bí tỉ, say sưa\n[04! to keep a tight hand on somebody]\n- xem [03hand]\n[01* phtừ]\n- kín, sít, khít, khít khao\n[02= to shut tight] đóng kín\n- chặt, chặt chẽ\n[02= hold him tight] giữ chặt lấy nó\n[02= to be packed as tight as herrings in a barrel] bị nhét chặt như cá hộp
tighten [01/'taitn/]	[01* nđtừ]\n- chặt, căng, khít lại\n[02= it needs tightening up a little] cần phải chặt hơn một tí\n- căng ra, căng thẳng ra\n[02= the cable tightens under the heavy load] sợi dây cáp căng ra vì có vật nặng\n- mím chặt (môi)\n[01* ngđtừ]\n- thắt chặt, siết chặt\n[02= to tighten the knot] thắt cái nút\n[02= tighten one's belt] thắt lưng buộc bụng, nhịn ăn nhịn mặc\n[02= to tighten a screw] siết chặt đinh ốc\n[02= to tighten the bonds of solidarity] thắt chặt tình đoàn kết\n- kéo căng\n[02= to tighten the rope] kéo căng cái dây\n- giữ chặt\n[02= tighten him!] hãy giữ chặt lấy nó!
tightener [01/'taitn/]	[01* dtừ]\n- (kỹ) cái tăngxơ\n- bữa ăn no căng bụng
tight-fisted [01/'tait'fistid/]	[01* ttừ]\n- chặt chẽ; keo cú, biển lận
tight-fitting [01/'tait'fitiη/]	[01* ttừ]\n- vừa khít, bó sát, chật
tight-laced [01/'tait'leist/]	[01* ttừ]\n- thắt căng (áo nịt ngực...)\n- (bóng) nghiêm túc; chặt chẽ
tight-lipped [01/'tait'lipt/]	[01* ttừ]\n- mím chặt môi\n- kín đáo, ít nói
tightly [01/'taitli/]	[01* phtừ]\n- chặt chẽ, sít sao (đen & bóng) 
tightness [01/'taitnis/]	[01* dtừ]\n- tính chất kín, tính không thấm rỉ\n- tính chất chật, tính bó sát (quần áo)\n- tính chất căng, tính chất căng thẳng\n- tính chất khó khăn, tính khan hiếm, tính khó hiếm (tiền...) 
tightrope [01/'taitroup/]	[01* dtừ]\n- dây kéo căng (của người làm xiếc trên dây) 
tight-rope [01/'taitroup/]	- xem [03tightrope] 
tights [01/taits/]	[01* dtừ s/n]\n- quần chật ống; áo nịt (cho diễn viên xiếc, múa...) 
tightwad [01/'taitwɔd/]	[01* dtừ]\n- (Mỹ),(lóng) anh chàng hà tiện, kẻ keo cú
tigress [01/'taigris/]	[01* dtừ]\n- hổ cái, cọp cái\n- (bóng) người đàn bà dữ tợn, sư tử cái, sư tử Hà đông
tigrish [01/'taigri∫/]	như [03tigerish]
tike [01/taik/]	[01* dtừ]\n- con chó cà tàng (chó loại xấu)\n- người hèn hạ; đồ vô lại
til [01/ti(:) l/]	[01* dtừ]\n- (thực vật) vừng, mè
tilbury [01/'tilb(ə) ri/]	[01* dtừ]\n- (sử) xe tibơri (xe ngựa hai bánh mui trần) 
tilde [01/tild, 'tildə/]	[01* dtừ]\n- dấu sóng (dùng thay từ lặp lại trong từ điển)\n- dẫu ngã, dấu mềm (trên chữ n ở tiếng Tây ban nha) 
tile [01/tail/]	[01* dtừ]\n- ngói (để lợp nhà)\n- đá lát; ca rôi, gạch vuông\n-(thân mật) mũ chóp cao\n[04! to have a tile loose]\n- xem [03loose]\n[04! on the tiles]\n- (bóng) đang trác táng\n[01* ngđtừ]\n- lợp ngói\n- lát đá; lát gạch vuông\n[02= tiled floor] sàn lát gạch vuông\n- bắt phải giữ bí mật
tiler [01/'tailə/]	[01* dtừ]\n- thợ làm ngói\n- thợ lợp ngói; thợ lát gạch vuông
tilery [01/'tailəri/]	như [03tilery-works]
tilery-works [01/'tailəri'wə:ks/]	[01* dtừ]\n- lò ngói
tiling [01/'tailiη/]	[01* dtừ]\n- sự lợp ngói\n- ngói\n- mái ngói\n- sự lát đá; sự lát gạch vuông
till [01/til/]	[01* dtừ]\n- ngăn kéo để tiền\n[04! to be caught with one's hand in the till]\n- bị bắt quả tang\n[01* dtừ]\n- (địa) sét tảng lăn\n[01* ngđtừ]\n- trồng trọt, cày cấy; cày bừa\n[01* gtừ]\n- đến, tới\n[02= till now] đến bây giờ, đến nay\n[02= till then] đến lúc ấy\n[01* liên từ]\n- cho đến khi\n[02= wait till I come] chờ cho đến khi tôi tới\n- trước khi\n[02= don't get down till the train has stopped] đừng xuống trước khi xe lửa đỗ hẳn
tillable [01/'tiləbl/]	[01* ttừ]\n- có thể trồng trọt cày cấy được (đất...) 
tillage [01/'tilidʒ/]	[01* dtừ]\n- việc cày cấy trồng trọt\n- đất trồng trọt
tiller [01/'tilə/]	[01* dtừ]\n- người làm đất, người trồng trọt; dân cày, nông dân\n[02= land to the tiller] hãy trả ruộng đất cho dân cày; người cày có ruộng\n- (nông nghiệp) máy xới\n[01* dtừ]\n- tay bánh lái (tàu, thuyền...)\n- (thực vật) chồi, tược; chồi rễ\n[01* nđtừ]\n- đâm chồi, đâm tược; mọc chồi rễ
tilling [01/'tiliη/]	[01* dtừ]\n- việc cày bừa, việc làm đất\n[04! the tilling shows the tiller]\n- xem thực hành mới biết dở hay
tilt [01/tilt/]	[01* dtừ]\n- độ nghiêng; trạng thái nghiêng\n- sự đấu thương (trên ngựa, trên thuyền)\n- búa đòn ((cũng) [03tilt-hammer] )\n[04! full tilt]\n- rất mau, hết tốc lực\n[02= to run (come) full tilt against] lao tới, xông tới\n[01* nđtừ]\n- nghiêng đi\n[02= the barrel tilted] cái thùng nghiêng đi\n- (hàng hải) tròng trành, nghiêng\n[02= the ship tilts on the waves] chiếc tàu tròng trành trên sóng\n- đấu thương\n- (bóng) tranh luận, tranh cãi\n[01* ngđtừ]\n- làm nghiêng, làm chúi xuống\n- lật đổ, lật nghiêng (một chiếc xe)\n- (kỹ) rèn bằng búa đòn, đập bằng búa đòn\n[04! to tilt at]\n- đâm ngọn thương vào, chĩa ngọn thương vào\n- (bóng) công kích\n[04! to tilk back]\n- lật ra sau, lật lên\n[04! to tilt over]\n- làm cho nghiêng; lật đổ; ngã nhào\n[04! to tilt up]\n- lật đứng lên, dựng đứng, dựng ngược\n[04! to tilt at windmills]\n- xem [03windmill]\n[01* dtừ]\n- mui che, bạt\n[01* ngđtừ]\n- che mui, phủ bạt
tilt-cart [01/'tiltka:t/]	[01* dtừ]\n- xe có mui che
tilter [01/'tiltə/]	[01* dtừ]\n- người tham gia đấu thương; người chiến sĩ
tilth [01/tilθ/]	[01* dtừ]\n- sự trồng trọt\n[02= out of tilth] bỏ hoá\n- lớp đất trồng trọt
tilt-hammer [01/'tilt'hæmə/]	[01* dtừ]\n- (kỹ) búa đòn ((cũng) [03tilt] ) 
tilting [01/'tiltiη/]	[01* dtừ]\n- sự nghiêng đi\n- sự đấu thương (trên ngựa, trên thuyền)\n- (kỹ) sự rèn bằng búa đòn
tilt-yard [01/'tilt'jɑ:d/]	[01* dtừ]\n- (sử học) trường đấu thương
timbal [01/'timbəl/]	[01* dtừ]\n- (âm nhạc) trống định âm
timber [01/'timbə/]	[01* dtừ]\n- gỗ làm nhà, gỗ kiến trúc, gỗ\n[02= rough timber] gỗ mới đốn\n[02= squared timber] gỗ đẽo vuông\n- cây gỗ\n[02= to cut down timber] đẵn gỗ\n- kèo, xà\n- (Mỹ) khả năng, đức tính (của một người để làm được việc gì)\n[01* ngđtừ]\n- (Mỹ) trồng rừng\n- cung cấp gỗ\n- xây dựng bằng gỗ, làm bằng gỗ\n[02= timbered house] nhà bằng gỗ\n- đóng gỗ xung quanh, lát gỗ xung quanh (miệng giếng...)\n[01* nđtừ]\n- đốn gỗ
timbered [01/'timbəd/]	[01* ttừ]\n- bằng gỗ; được xây dựng bằng các xà gỗ, được xây dựng bằng một khung gỗ (về nhà)\n- trồng cây, trồng gỗ; có nhiều cây gỗ (về đất) 
timber-line [01/'timbə'lain/]	như [03tree-line]
timberling [01/'timbəliη/]	[01* dtừ]\n- cây con
timberman [01/'timbəmæn/]	[01* dtừ s/n timbermen]\n- thợ lâm trường
timber-man [01/'timbə'mæn/]	[01* dtừ]\n- thợ lâm trường
timber-toe [01/'timbə'tou/]	như [03timber-toes]
timber-toes [01/'timbə'touz/]	[01* dtừ]\n- (tục) người chân gỗ
timber-wolf [01/'timbə'wulf/]	[01* dtừ]\n- chó sói to, lông xám ở Bắc Mỹ
timber-yard [01/'timbə'jɑ:d/]	[01* dtừ]\n- bãi gỗ
timbre [01/'timbrə, 'tæmbrə/]	[01* dtừ]\n- (âm nhạc) âm sắc
timbrel [01/'timbrəl/]	như [03tambourine]
time [01/taim/]	[01* dtừ]\n- thời gian, thì giờ\n[02= to lose time] mất thì giờ\n[02= to waste time] lãng phí thì giờ\n- thời, thời buổi, mùa\n[02= those are hard times] thời buổi ấy thật khó khăn\n- dịp, cơ hội, thời cơ\n[02= to bide one's time] đợi thời cơ\n- thời kỳ, thời đại, đời\n[02= in olden times] thời xưa, ngày xưa\n[02= in our time] thời này\n[02= in times to come] trong tương lai, đời sau\n[02= time immemorial; time out of mind] thời xa xưa (ký ức con người không còn nhớ được)\n- thời hạn, kỳ hạn\n[02= to do time] chịu hạn tù (kẻ có tội)\n[02= she is near her time] bà ta sắp đến kỳ sinh nở\n- giờ\n[02= Hanoi time] giờ Hà nội\n[02= local time] giờ địa phương\n[02= what time is it?] bây giờ mấy giờ?\n- lúc\n[02= it is time to start] đã đến lúc phải khởi hành\n[02= there is a time for everything] giờ nào việc nấy, việc nào lúc nấy\n[02= some time or other] sớm hay muộn, chẳng chóng thì chầy, chẳng lúc này thì lúc khác\n[02= this time tomorrow] lúc này ngày mai\n- lần, lượt, phen\n[02= three times running] ba lần liền\n[02= times out of number] không biết bao nhiêu lần mà kể\n[02= time and again; many and many a time] nhiều lần\n[02= time after time] hết lần này đến lần khác\n[02= three times three are nine] ba lần ba là chín\n[02= six times as many as...] nhiều gấp sau lần...\n- (âm nhạc) nhịp\n[02= to beat time] gõ nhịp, đánh nhịp\n[04! against time]\n- hết sức khẩn trương; tranh thủ thời gian; vượt thời gian\n[04! at times]\n- thỉnh thoảng, đôi khi, đôi lúc\n[04! ahead of time x ahead to be ahead of one's time]\n- (bóng) có những tư tưởng quá cấp tiến\n[04! behind the times]\n- xem [03behind]\n[04! to be born before one's time (before times)]\n- đẻ non (trẻ)\n- đi trước thời đại\n[04! all the time]\n- suốt, luôn luôn, lúc nào cũng\n[04! between times]\n- giữa lúc ấy, trong khoảng thời gian ấy\n[04! for the time being]\n- xem [03being]\n[04! from time to time]\n- thỉnh thoảng, đôi lúc\n[04! to gain time]\n- trì hoãn, kéo dài thời gian\n[04! in time]\n- đúng lúc; đúng nhịp\n[04! in no time]\n- xem [03no]\n[04! to keep good time]\n- xem [03keep]\n[04! to make up for lost time]\n- lấy lại thời gian đã mất\n[04! out of time]\n- không đúng lúc; không đúng nhịp\n[04! to pass the time of day with]\n- chào hỏi (ai)\n[04! time of life]\n- tuổi (của người)\n[04! time of one's life]\n- thời gian vui thích thoải mái được trải qua\n[01* ngđtừ]\n- chọn thời gian, tính toán thì giờ, sắp xếp thời gian\n[02= to time to the minute] tính toán thì giờ từng phút một\n- (thể thao) tính giờ, bấm giờ (một cuộc đua...)\n- điều chỉnh (cho đúng nhịp)\n[02= to time one's steps to music] điều chỉnh bước chân cho đúng nhịp nhạc\n[02= to time the speed of a machine] điều chỉnh tốc độ máy
time and motion study [01/'taimən'mou∫n'stʌdi/]	[01* dtừ]\n- sự nghiên cứu các thao tác (để tăng năng suất) 
time exposure [01/'taim iks'pouʒə/]	[01* dtừ]\n- sự phơi sáng ảnh (trong đó cửa trập được mở ra lâu hơn thời gian ngắn nhất, tức là hơn một, hai giây) 
time schedule [01/'taim,∫edju:l/]	[01* dtừ]\n- thời gian biểu; bảng giờ (tàu chạy...) ; biểu đồ
time study [01/'taim,stʌdi/]	như [03time and motion study]
time trial [01/'taim,trai(ə) l/]	[01* dtừ]\n- cuộc đua tính giờ (đua xe đạp)\n[02= thousand metres time trial] cuộc đua xe đạp một ngàn mét
time warp [01/'taim'wɔ:p/]	[01* dtừ]\n- sự vặn vẹo của thời gian khiến cho quá khứ hoặc tương lai trở thành hiện tại (trong truyện khoa học viễn tưởng) 
time zone [01/'taim'zoun/]	[01* dtừ]\n- khu vực (nằm giữa hai kinh tuyến) có chung một giờ chuẩn
time-bargain [01/'taim,bɑ:gin/]	[01* dtừ]\n- hợp đồng bán hàng theo kỳ hạn
time-bill	[01* dtừ]\n- bảng giờ (tàu) 
time-bomb [01/'taim'bɔm/]	[01* dtừ]\n- bom nổ chậm
time-book [01/'taimbuk/]	[01* dtừ] ((Mỹ)(cũng) [03time-card)]\n- sổ ghi giờ làm việc\n- sổ kiểm diện
time-card [01/'taim'kɑ:d/]	như [03time-book]
time-cleck [01/'taimklɑ:k/]	[01* dtừ]\n- người ghi giờ làm việc\n- người ghi sự có mặt
time-clock [01/'taimklɔk/]	[01* dtừ]\n- đồng hồ ghi giờ làm việc
time-consuming [01/'taim kən'sju:miη/]	[01* ttừ]\n- tốn nhiều thời gian, đòi hỏi nhiều thời gian, cần nhiều thời gian
time-expired [01/'taimiks,paiəd/]	[01* ttừ]\n- (qsự) mãn hạn
time-fuse [01/'taim'fju:z/]	[01* dtừ]\n- ngòi cháy chậm, kíp nổ chậm
time-honored [01/'taim'ɔnəd/]	[01* ttừ]\n- được kính chuộng do lâu đời
time-honoured [01/'taim'ɔnəd/]	như [03time-honored]
timekeeper [01/'taim,ki:pə/]	[01* dtừ]\n- người ghi giờ làm việc\n- người ghi sự có mặt (của công nhân)\n- (thể thao) người bấm giờ
time-lag [01/'taim'læg/]	[01* dtừ]\n- khoảng cách thời gian giữa hai sự kiện có liên quan
timeless [01/'taimlis/]	[01* ttừ]\n- vô tận\n- không đúng lúc
timelessly [01/'taimlisli/]	[01* phtừ]\n- không chịu ảnh hưởng của thời gian\n- vô tận, mãi mãi\n- thường xuyên\n- không đúng lúc
timelessness [01/'taimlisnis/]	[01* dtừ]\n- tình trạng không chịu ảnh hưởng của thời gian\n- sự vô tận\n- sự thường xuyên\n- sự không đúng lúc
time-limit [01/'taim'limit/]	[01* dtừ]\n- hạn thời gian nhất định (phải xong công việc gì...) 
timeliness [01/'taimlinis/]	[01* dtừ]\n- tính chất đúng lúc, tính chất hợp thời
time-loan [01/'taimloun/]	[01* dtừ]\n- món tiền vay phải trả vào một thời gian nhất định
time-lock [01/'taimlɔk/]	[01* dtừ]\n- khoá hẹn giờ
timely [01/'taimli/]	[01* ttừ]\n- đúng lúc, hợp thời
timeout [01/'taim,aut/]	- thời gian trễ tạm ngưng
time-out [01/'taim,aut/]	[01* dtừ]\n- thời gian không tính (trong một trận đấu bóng đá, bóng rổ... vì hội ý, vì ngừng đấu...) 
timepiece [01/'taimpis/]	[01* dtừ]\n- đồng hồ
time-pleaser [01/'taim'seiviη/]	[01* dtừ]\n- kẻ xu thời, kẻ cơ hội
timeproof [01/'taimpru:f/]	[01* ttừ]\n- lâu dài; lâu bền; dài hạn; sống lâu
timer [01/'taimə/]	[01* dtừ]\n- người bấm giờ\n- đồng hồ bấm giờ
times [01/'taimz/]	[01* gtừ]\n- nhân với\n[01* dtừ]\n- gấp (dùng để chỉ sự nhân lên) 
time-saving	[01* ttừ]\n- không tốn nhiều thời gian
time-scale [01/'taim'skeil/]	[01* dtừ]\n- thời gian diễn ra một loạt sự kiện; các giai đoạn kế tiếp nhau (của một quá trình) ; một sự vận hành
time-server [01/'taim'sə:və/]	như [03time-pleaser]
time-serving [01/'taim'sə:viη/]	[01* ttừ]\n- xu thời, cơ hội
time-sharing [01/'taim'∫ɑ:iη/]	[01* dtừ]\n- việc sử dụng đồng thời\n- việc chia phiên sử dụng
time-sheet [01/'taim'∫i:t/]	[01* dtừ]\n- sổ chấm công, sổ ghi số giờ làm việc
time-signal [01/'taim,signl/]	[01* dtừ]\n- (rađiô) tín hiệu báo giờ
time-switch [01/'taim'swit∫/]	[01* dtừ]\n- nút định giờ (nút có thể được đặt để tự động hoạt động vào một giờ nào đó) 
time-table [01/'taim,teibl/]	[01* dtừ]\n- bảng giờ giấc, biểu thời gian
timetable [01/'taimtəbl/]	[01* dtừ]\n- (Mỹ) kế hoạch làm việc; lịch trình, bảng giờ giấc, biểu thời gian
time-tested [01/'taim,testid/]	[01* ttừ]\n- đã được thời gian thử thách
timework [01/'taimwə:k/]	[01* dtừ]\n- việc làm tính giờ
time-work [01/'taimwə:k/]	như [03timework]
time-worn [01/'taimwɔ:n/]	[01* ttừ]\n- mòn cũ, xơ xác vì thời gian
