re embark	382-16960-B
real tennis	379-20077-B
real time	379-20172-B
real wages	379-20346-B
realgar	379-20417-B
realia	379-20500-B
realign	379-20624-B
realignment	379-20704-B
realisation	379-20800-B
realise	379-20871-B
realism	379-21061-B,278-16867-S,428-20560-S
realist	379-21166-B,278-16961-S,428-20666-S
realistic	379-21309-B
reality	379-21446-B
realizability	379-21877-B
realizable	379-21977-B
realization	379-22119-B,410-12933-S
realize	379-22397-B
really	379-22887-B
realm	379-23234-B,334-4243-S
realness	379-23380-B
realpolitik	379-23452-B
realtor	379-23585-B
realty	379-23652-B
ream	379-23709-B
reamer	379-24133-B
reamimate	379-24252-B
reamimation	379-24399-B
reamrkable	379-24519-B
reanimate	379-24547-B
reannex	379-24687-B
reap	379-24755-B
reaper	379-25194-B
reaper and binder	379-25301-B
reaping	379-25367-B
reaping hook	379-25453-B
reaping machine	379-25523-B
reapparel	379-25590-B
reappear	379-25756-B
reappearance	379-25837-B
reapplication	379-26000-B
reappoint	379-26099-B
reappointment	379-26172-B
reappraisal	379-26256-B
rear	379-26392-B
rear admiral	379-27698-B
rear engined	379-27786-B
rear horse	379-28264-B
rear rank	379-29185-B
rear roasted	379-29252-B
rear view mirror	379-29316-B
rearer	379-27869-B
rearguard	379-28020-B
rearing	379-28326-B,179-21563-S
rearm	379-28532-B
rearmament	379-28664-B
rearmost	379-28823-B
rearrange	379-28901-B
rearrangement	379-29005-B
rearrangment	379-29130-B
rearward	379-29429-B
rearwards	379-29589-B
reascend	379-29672-B
reason	379-29824-B
reasonable	379-31063-B
reasonableness	379-31405-B
reasonably	379-31603-B
reasoned	379-32009-B
reasoner	379-32113-B
reasoning	379-32225-B,27-10589-S,36-2643-S
reasonless	379-32463-B
reasonnable	379-32522-B
reasonning	379-32555-B
reassemble	379-32599-B
reassert	379-32762-B
reassess	379-32944-B
reassume	379-33121-B
reassurance	379-33716-B
reassure	379-33933-B
reassuring	379-34062-B
reattatch	379-34146-B
reattempt	379-34220-B
reave	379-34315-B
reawaken	379-34500-B
rebake	379-34852-B
reballasting	379-34953-B
rebaptise	379-35026-B
rebaptism	379-35122-B
rebaptize	379-35277-B
rebarbarise	379-35326-B
rebarbarize	379-35382-B
rebarbative	379-35555-B
rebate	379-35603-B,385-28387-S
rebbe	379-35930-B
rebec	379-36061-B
rebeck	379-36097-B
rebel	379-36205-B
rebellion	379-36614-B
rebellious	379-36896-B
rebellow	379-37258-B
rebidding	379-37330-B
rebind	379-37395-B
rebinding	379-37542-B
rebirth	379-37712-B
reblossom	379-37793-B
reboant	379-37854-B
reboisement	379-37925-B
reboot	379-37998-B
rebore	380-0-B
reborn	380-60-B
rebound	380-160-B
rebroadcast	380-986-B
rebroadcasting	380-1139-B
rebuff	380-1238-B
rebuild	380-1381-B
rebuilding	380-1421-B
rebuilt	380-1489-B
rebuke	380-1561-B
rebuker	380-1917-B
rebukingly	380-2004-B
reburial	380-2108-B
rebury	380-2166-B
rebus	380-2217-B
rebut	380-2317-B
rebutment	380-2516-B
rebuttal	380-2724-B
rebutter	380-2767-B
rec	380-2843-B
rec room	380-2894-B
recalcitrance	380-2995-B
recalcitrant	380-3055-B
recalcitrate	380-3303-B
recalcitration	380-3427-B
recalculation	380-3578-B
recalesce	380-3655-B
recalescence	380-3739-B
recalescent	380-3837-B
recalibration	380-3902-B
recalking	380-4004-B
recall	380-4064-B
recallable	380-5605-B
recant	380-5923-B
recantation	380-6029-B
recap	380-6162-B
recapitulate	380-6291-B
recapitulation	380-6375-B
recapitulative	380-6498-B
recapture	380-6565-B
recast	380-6839-B
recce	380-7465-B
recede	380-7548-B
receipt	380-8064-B
receipt book	380-8729-B
receipt stamp	380-8875-B
receipter	380-8812-B
receivable	380-8957-B
receive	380-9102-B
received	380-10697-B
received pronunciation	380-10783-B
received standard	380-10956-B
received text	380-11078-B
receiver	380-11163-B,3-14863-S,3-15211-S,16-2776-S,16-3290-S,115-20518-S,128-12667-S,141-19101-S,149-281-S,150-7435-S,184-14915-S,202-1626-S,464-3302-S,475-12063-S
receiver general	380-11608-B
receiver transmitter	380-11946-B
receivership	380-11722-B
receiving	36-3682-S
receiving end	380-12025-B
receiving order	380-12116-B
receiving set	380-12332-B
receiving station	380-12390-B
recency	380-12459-B
recense	380-12557-B
recension	380-12626-B
recent	380-12796-B
recently	380-12992-B
receptacle	380-13139-B,15-16374-S,174-18624-S
reception	380-13270-B,34-16135-S,35-13173-S,130-9185-S,138-1749-S
reception class	380-14014-B
reception committee	380-14115-B
reception order	380-14311-B
reception room	380-14423-B
receptionist	380-14194-B
receptive	380-14494-B
receptivity	380-14660-B
receptor	380-14827-B
receptrix	380-14905-B
recess	380-14969-B
recession	380-15781-B
recessional	380-16094-B
recessionary	380-16365-B
recessive	380-16718-B
recessus	380-16899-B
rechange	380-16979-B
recharge	380-17076-B
rechargeable	380-17280-B
rechauffe	380-17354-B
recherche	380-17432-B
rechristen	380-17491-B
recidivism	380-17591-B
recidivist	380-17664-B
recidivous	380-17739-B
recipe	380-17837-B
recipient	380-18041-B
reciprocal	380-18198-B
reciprocal pronoun	380-18744-B
reciprocally	380-18893-B
reciprocate	380-19095-B
reciprocating engine	380-19707-B
reciprocation	380-19828-B
reciprocity	380-20073-B
recirculation	380-20383-B
recision	380-20491-B
recital	380-20536-B
recitation	380-20812-B
recitative	380-21108-B
recite	380-21198-B
reciter	380-21560-B
reck	380-21708-B
reckless	380-21972-B
recklessness	380-22312-B
reckon	380-22520-B
reckonable	380-23980-B
reckone	379-18310-S
reckoner	380-24058-B,379-17958-S
reckoning	380-24143-B,115-29800-S
reclaim	380-24901-B
reclaimable	380-25672-B
reclaimation	380-25873-B
reclame	380-26164-B
reclassify	380-26207-B
recleaning	380-26275-B
reclinate	380-26343-B
recline	380-26414-B
reclothe	380-26666-B
recluse	380-26778-B
reclusion	380-26897-B
reclusive	380-27038-B
reclusory	380-27106-B
recoal	380-27183-B
recoat	380-27291-B
recognisability	380-27378-B
recognisable	380-27526-B
recognisably	380-27708-B
recognisance	380-27766-B
recognise	380-27942-B
recognised	380-27989-B
recognition	380-28149-B,36-5775-S,74-12124-S
recognition scanner	74-12178-S
recognizability	380-28655-B
recognizable	380-28724-B
recognizably	380-28845-B
recognizance	380-29029-B
recognize	380-29268-B
recognized	380-29775-B
recognizer	380-30069-B
recoil	380-30138-B
recoiless	380-30995-B
recoin	380-31085-B
recoinage	380-31148-B
recollect	380-31240-B
recollection	380-31650-B
recollective	380-32168-B
recolonization	380-32256-B
recolonize	380-32327-B
recombination	380-32410-B,149-10452-S
recombine	380-32508-B
recommence	380-32591-B
recommend	380-32674-B
recommendable	380-33353-B
recommendation	380-33527-B
recommendatory	380-33902-B
recommender	380-34046-B
recommit	380-34139-B
recommitment	380-34412-B
recommittal	380-34468-B
recompense	380-34674-B
recompilation	380-35144-B
recompile	380-35220-B
recompose	380-35285-B
reconcentrate	380-35473-B
reconcilability	380-35544-B
reconcilable	380-35680-B
reconcile	380-35901-B
reconcilement	380-36684-B
reconciler	380-36745-B
reconciliation	380-36835-B
reconciliatory	380-37070-B
recondense	380-37197-B
recondite	380-37341-B
reconditeness	380-37514-B
recondition	380-37663-B
reconfiguration	36-4290-S,143-10582-S
reconnaissance	380-37887-B
reconnoitre	380-38166-B
reconquer	380-38363-B
reconquest	380-38446-B
reconsider	380-38512-B
reconsideration	380-38652-B
reconsolidate	380-38771-B
reconstituent	380-38846-B
reconstitute	380-38935-B
reconstitution	380-39129-B
reconstruct	380-39310-B
reconstruction	380-39620-B
reconstructive	380-39832-B
reconvene	380-40017-B
reconversion	380-40083-B
reconvert	380-40521-B
reconvey	380-40663-B
reconveyance	380-40729-B
recooler	380-40805-B
recopy	381-0-B
record	381-65-B,4-26732-S,15-6126-S,15-8782-S,19-8329-S,51-4084-S,52-4397-S,69-11949-S,104-12565-S,114-18040-S,180-11681-S,187-15741-S,359-4309-S,461-28549-S,473-20814-S,510-4761-S
record breaker	381-1519-B
record breaking	381-1618-B
record changer	36-2698-S
record film	381-1455-B
record holder	381-1973-B
record office	369-937-S
record player	381-2250-B
recorded delivery	381-1689-B
recorder	381-1768-B,18-12064-S,34-10192-S,36-4436-S,69-15906-S,69-15993-S,91-13487-S,114-18083-S,128-12736-S,150-2673-S,177-25553-S,182-10280-S,431-25777-S,461-28607-S,510-4828-S,510-5137-S
recording	381-2064-B,18-13025-S,74-24773-S,91-14996-S,128-14191-S,410-13038-S,431-25837-S,461-28666-S
recording equipment	150-1690-S,150-3147-S
recording head	381-2116-B
recording system	150-3354-S
recording tube	149-7261-S,150-1760-S
recordist	381-2190-B
recordsman	381-2328-B
recork	381-2433-B
recount	381-2629-B
recoup	381-2712-B
recoupment	381-3016-B
recourse	381-3100-B
recover	381-3293-B
recoverable	381-5375-B
recovering	410-13117-S
recovery	381-5587-B,114-18127-S
recovery diode	172-21402-S
recovery procedure	160-14073-S
recovery program	36-2780-S
recovery room	381-6110-B
recreance	381-6201-B
recreancy	381-6247-B
recreant	381-6337-B
recreate	381-6478-B
recreation	381-6807-B
recreation ground	381-7483-B
recreation room	381-7563-B
recreational	381-7637-B
recreative	381-7847-B
recrement	381-7918-B
recriminate	381-8030-B
recrimination	381-8175-B
recriminative	381-8344-B
recriminatory	381-8442-B
recross	381-8500-B
recrudesce	381-8615-B
recrudescence	381-8811-B
recrudescency	381-9007-B
recrudescense	381-9215-B
recrudescent	381-9272-B
recruit	381-9470-B
recruital	381-9937-B
recruitment	381-10074-B
recrushing	381-10300-B
recrystallization	381-10367-B
recta	381-10422-B
rectal	381-10486-B
rectangle	381-10644-B
rectangular	381-10706-B,450-18442-S
recti nerved	381-12322-B
rectifi	381-10845-B
rectifiable	381-10890-B
rectification	381-11224-B,21-11091-S,129-15771-S,208-10408-S
rectifier	381-11480-B,28-17429-S,37-10243-S,100-1825-S,148-14854-S,149-365-S,150-1828-S,192-20047-S,199-20474-S,207-10040-S
rectify	381-11660-B
rectifying	410-13212-S
rectilineal	381-11981-B
rectilinear	381-12192-B
rectilinearity	381-12245-B
