grittily	- xem [03gritty] 
gross modo [01/,grɔsou'mɔdou/]	[01* ttừ] đại khái
Gross National Product [01/'grous,næ∫ənl'prɔdʌkt/]	[01* dtừ]\n-, viết tắt là GNP sản lượng quốc gia gộp; tổng sản lượng quốc gia
grosser	- xem [03gross] 
grossly [01/'grousli/]	[01* phtừ]\n- thô tục, tục tĩu, thô bỉ, thô thiển\n- cực kỳ, hết sức, vô cùng\n- theo lối bán buôn
grossness [01/'grousnis/]	[01* dtừ]\n- tính thô bạo, tính trắng trợn; tính hiển nhiên (bất công, sai lầm...)\n- tính thô tục, tính tục tĩu (lời nói...), tính thô bỉ, tính thô thiển
grossularite [01/'grɔsjulərait/]	[01* dtừ]\n- cũng [03grosular]\n- (khoáng) groxularit
grot [01/grɔt/]	[01* dtừ]\n- (thơ ca) hang, động
grotesque [01/grou'tesk/]	[01* ttừ]\n- lố bịch, kỳ cục\n[02= grotesque manners] thái độ lố bịch kỳ cục\n[01* dtừ]\n- bức tranh kỳ cục, bức tượng kỳ cục
grotesquely [01/grou'teskli/]	[01* phtừ]\n- lố bịch, kỳ cục, kệch cỡm
grotesqueness [01/grou'tesknis/]	[01* dtừ]\n- tính lố bịch, tính kỳ cục
grotesquerie [01/grou'teskəri/]	[01* dtừ]\n- cũng [03grotesquery]\n- xem [03grotesque] chỉ cái, phong cách, sự
grottiness	- xem [03grotty] 
grotto [01/'grɔtou/]	[01* dtừ] s/n [02grottos, grottoes]\n- hang động
grottoes [01/'grɔtou/]	như [03grotto]
grotty [01/'grɔti/]	[01* ttừ]\n- khó chịu, cáu gắt
grouch [01/graut∫/]	[01* dtừ]\n- (Mỹ),(tục) tính bẳn, tính cáu kỉnh, tính gắt gỏng\n- người hay dỗi; người bẳn tính, người hay càu nhàu gắt gỏng\n[01* nđtừ]\n- (Mỹ),(tục) gắt gỏng, càu nhàu, cằn nhằn
grouchily	- xem [03grouchy] 
grouchiness	như [03grouchily]
grouchy [01/graut∫i/]	[01* ttừ]\n- hay dỗi; bẳn tính, cáu kỉnh
ground (GND)	- (kỹ) đất, nền, đáy, cơ sở; nối đất, nối âm (đ) 
ground [01/graund/]	[01* thời quá khứ & động tính từ quá khứ của] [03grind]\n[01* dtừ]\n- mặt đất, đất\n[02= to sit on the ground] ngồi trên (mặt) đất\n[02= to cut a tree to the ground] đốn cây sát góc (đất)\n[02= below ground] đã chết và chôn rồi\n[02= to break fresh ground] khai khẩn đất mới; khai hoang, vỡ hoang; (bóng) làm ra cái gì mới; tiếp xúc (vấn đề gì) lần đầu tiên\n- bâi đất, khu đất; ruộng đất (của ai)\n[02= a volleyball ground] bãi bóng chuyền\n- (số nhiều) đất đai vườn tược\n[02= an old mansion with extensive grounds] một toà lâu đài cổ với đất đai vườn tược rộng rãi\n- vị trí; khu đất; khoảng cách (trên mặt đất)\n[02= to keep one's ground] giữ vững vị trí; giữ vững lập trường lý lẽ\n[02= to give (lose) ground] rút lui, thoái lui; mất vị trí; suy sụp\n- đáy (biển, hồ...)\n[02= to touch ground] sát đất (đáy biển) ; (bóng) đạt tới một cái gì chắc chắn (sau khi bàn bạc lan man...)\n- nền\n[02= a design of pink roses on a white ground] mẫu trang trí hoa hồng trên nền tảng\n- (số nhiều) cặn bã\n- ((thường) số nhiều) lý lẽ, lý do, căn cứ, cớ\n[02= to have good ground(s) for the believing something] có đủ lý do để tin một điều gì\n[02= on what grounds do you suspect him?] vì cớ gì anh nghi kỵ anh ta?\n- (điện học) sự tiếp đất\n[04! common ground]\n- xem [03common]\n[04! to cover much ground]\n- đi được đường dài\n- đề cập nhiều vấn đề (bản báo cáo, bài tường thuật...)\n[04! to cut the ground from under somebody's feet]\n- năm trước ý đồ của ai mà làm cho tâng hẫng\n[04! down to the ground]\n- xem [03down]\n[04! forbidden ground]\n- (bóng) vấn đề cần nói đến\n[04! to gain ground]\n- xem [03gain]\n[04! hope are dashed to the ground]\n- hy vọng tan vỡ\n[04! plan falls to the ground]\n- kế hoạch thất bại\n[04! to run to ground]\n- đuổi đến tận hang\n- truy nguyên đến tận gốc\n[04! to shift one's ground]\n- xem [03shift]\n[01* ngđtừ]\n- (+ [04on]) dựa vào, căn cứ vào, đặt vào\n[02= to ground one's hopes on] đặt hy vọng vào\n- (+ [04in]) truyền thụ (cho ai) những kiến thức vững vàng\n[02= the teacher grounded his pupils in arithmetic] thầy giáo truyền thu cho học sinh những kiến thức vững vàng về số học\n- đặt nền (cho một bức hoạ, bức thêu...)\n- đặt xuống đất\n[02= ground arms!] (qsự) đặt súng xuống!\n- (hàng hải) làm cho (tàu) mắc cạn\n- (hàng không) làm cho (máy bay) không cất cánh; bắn rơi, làm rơi xuống đất\n[02= fog grounds all aircraft at N] sương mù làm cho tất cả máy bay ở sân N không cất cánh được\n- (điện học) tiếp đất\n[01* nđtừ]\n- (hàng hải) mắc cạn\n- (hàng không) hạ cánh
ground bus	- (kỹ) mẫu tuyến đất
ground cable	- (kỹ) cáp chôn dưới đất
ground circuit	- (kỹ) mạch đất
ground control [01/'graundkən'troul/]	[01* dtừ]\n- (raddiô) sự điều khiển từ mặt đất
ground crew [01/'graund'kru:/]	như [03ground staff]
ground effect [01/'graundi'fekt/]	[01* dtừ]\n- tác dụng của khí quyển trên mặt đất (tới máy bay khi hạ cánh) 
ground floor [01/'graund'flɔ:/]	[01* dtừ]\n- tầng dưới cùng\n[04! to get in on the ground_floor]\n- (tục) được kết nạp làm cổ đông cùng với những điều kiện như người sáng lập
ground forces [01/'ground'fɔ:siz/]	[01* dtừ s/n]\n- (qsự) lục quân
ground game [01/'graundgeim/]	[01* dtừ]\n- thú (săn) mặt đất (như thỏ, lợn rừng...) 
ground glass [01/'graundglɑ:s/]	[01* dtừ]\n- kính mờ
ground landlord [01/'graund,lænlɔ:d/]	[01* dtừ]\n- chủ cho thuê đất để xây dựng
ground line	- (kỹ) dây đất
ground plan [01/'graund'plæn/]	[01* dtừ]\n- (kiến trúc) sơ đồ mặt bằng\n- đề cương ((cũng) [03ground_plot] ) 
ground plane antenna	- (kỹ) ăngten mặt đất, ăngten địa diện
ground plot [01/'graund'plɔt/]	[01* dtừ]\n- mảnh đất để cất nhà\n- đề cương ((cũng) [03ground_plan] ) 
ground potential	- (kỹ) thế năng đất
ground return circuit	- (kỹ) mạch về đất
ground return coupling	- (kỹ) ghép về đất
ground rod	- (kỹ) thanh/que nối đất
ground rule [01/'graund'ru:l/]	[01* dtừ]\n- nguyên lý làm nền tảng, nguyên lý cơ bản
ground speed [01/'graund'spi:d/]	[01* dtừ]\n- (hàng không) tốc độ trên đường băng (của máy bay) 
ground staff [01/'graund'stɑ:f/]	[01* dtừ]\n- (hàng không) nhân viên kỹ thuật (ở sân bay) 
ground swell [01/'graundswel/]	[01* dtừ]\n- sông đáy
ground terminal	- (kỹ) đầu nối đất
ground torpedo [01/'graundtɔ'pi:dou/]	[01* dtừ]\n- ngư lôi đây
ground wire	như [03ground line]
ground zero	- (kỹ) điểm zêrô, điểm gốc, khởi điểm
groundage [01/'graundidʒ/]	[01* dtừ]\n- (hàng hải) phí lưu cảng
ground-bailiff [01/'graund,beilif/]	[01* dtừ]\n- người quản lý mỏ
ground-bait [01/'graundbeit/]	[01* dtừ]\n- mồi câu chìm (vứt xuống đáy hồ...) 
ground-colour [01/'graund,kʌlə/]	[01* dtừ]\n- màu nền (trên một bức tranh) 
ground-control approach [01/'graundkən'troulə'prout∫/]	[01* dtừ]\n- cách xử lý để điều khiển (máy bay) từ mặt đất (cho máy bay hạ cánh lúc sương mù dày đặc) 
grounded [01/'graundid/]	- (kỹ) được nối với đất
grounded circuit	- (kỹ) mạch nối đất
grounded emitter	- (kỹ) cực phát nối đất
grounded-base configuration	- (kỹ) cấu hình gốc nối đất
grounded-emitter amplifier	- (kỹ) bộ khuếch đại cực phát nối đất
grounded-emmiter configuration	- (kỹ) cấu hình cực phát nối đất
groundedly [01/'graundidli/]	[01* phtừ]\n- có cơ sở vững chắc
ground-fish [01/'graundfi∫/]	[01* dtừ]\n- cá tầng đáy
ground-fishing [01/'graund,fi∫iη/]	[01* dtừ]\n- sự câu chim
ground-gru [01/'graund,gru:/]	[01* dtừ]\n- cũng [03ground-ice]\n- băng ở đáy nước
ground-hog [01/'graund'hɔg/]	[01* dtừ]\n- (động vật) con macmôt Mỹ\n- (Mỹ),(tục) con chuột chũi
ground-ice [01/'graundais/]	[01* dtừ]\n- băng đáy
grounding [01/'graundiη/]	[01* dtừ]\n- sự mắc cạn (tàu thuỷ)\n- sự hạ cánh (máy bay) ; sự bắn rơi (máy bay)\n- sự truyền thụ kiến thức vững vàng\n- sự đặt nền (cho một bức hoạ, bức thêu)\n- (điện học) sự tiếp đất
groundless [01/'graundlis/]	[01* ttừ]\n- không căn cứ, không duyên cớ (tin đồn, mối lo ngại...)\n[02= groundless fear] những mối lo sợ không căn cứ\n[02= groundless rumours] những tin đồn đại không căn cứ
groundlessly [01/'graundlisli/]	[01* phtừ]\n- không căn cứ, vô cớ
groundlessness [01/'graundlisnis/]	[01* dtừ]\n- sự không căn cứ, sự không duyên cớ
groundling [01/'graundliη/]	[01* dtừ]\n- (động vật) cá tầng đáy\n- cây bò (trên mặt đất) ; cây lùa\n- khán giả ở khu vực trước sân khấu (ở Anh xưa)\n- khán giả dễ tính; độc giả dễ tính
groundloop [01/'graund,lu:p/]	[01* dtừ]\n- (hàng không) vòng lượn khi hạ cánh hay cất cánh
ground-man [01/'graundmæn/]	như [03groundsman]
ground-nut [01/'graundnʌt/]	[01* dtừ]\n- lạc
groundoak [01/'graund'ouk/]	[01* dtừ]\n- (thực vật) cây sồi lùn
ground-pine [01/'graundpain/]	[01* dtừ]\n- (thực vật) bạc hà Âu châu
ground-plane [01/'graund'plein/]	[01* dtừ]\n- mặt đáy
ground-reflected wave	- (kỹ) sóng phản xạ đất
ground-rent [01/'graund'rent/]	[01* dtừ]\n- tô đất, địa tô
groundsel [01/'graunsl/]	[01* dtừ]\n- cây cúc bạc
groundsheet [01/'graund∫i:t/]	[01* dtừ]\n- tấm vải lót làm chỗ nằm trên mặt đất
groundsman [01/'graundzmæn/]	[01* dtừ]\n- (thể thao) người coi sân bâi (crikê, bóng đá) 
ground-squirrel [01/'graund,skwirəl/]	[01* dtừ]\n- (động vật) con sóc đất
ground-to-air communication	- (kỹ) truyền thông địa không (truyền thông từ mặt đất lên không trung) 
ground-to-air missile [01/'graundtu'eə'misail/]	[01* dtừ]\n- tên lửa đất đối không
ground-to-ground missile [01/'graund tə'graund'misail/]	[01* dtừ]\n- tên lửa đất đối đất
ground-water [01/'graund,wɔ:tə/]	[01* dtừ]\n- nước ngầm
ground-wire [01/'graund'waiə/]	[01* dtừ]\n- (điện học) dây đất
groundwork [01/'graundwə:k/]	[01* dtừ]\n- nền\n- (ngành đường sắt) nền đường\n- chất nền (chất liệu chính để pha trộn...)\n- (bóng) căn cứ, cơ sở
group [01/gru:p/]	[01* dtừ]\n- nhóm\n[02= to lean in groups] học nhóm\n[02= to from a group] họp lại thành nhóm\n[02= atomic group] (lý) nhóm nguyên tử\n[02= group of algebras] (toán) nhóm các đại số\n[02= blood group] (y) nhóm máu\n- (hoá) nhóm, gốc\n[01* đtừ]\n- hợp thành nhóm; tập hợp lại\n[02= people grouped (themselves) round the speaker] mọi người tập họp lại xung quanh diễn giả\n- phân loại, phân loại, phân hạng, phân phối theo nhóm\n- (nghệ thuật) tạo nên sự hoà hợp màu sắc
group attribute	- (kỹ) thuộc tính nhóm
group captain [01/'gru:p,kæptin/]	[01* dtừ]\n- đại tá không quân hoàng gia Anh
group delay	- (kỹ) trì hoãn nhóm
group distribution frame	- (kỹ) khung phân bố nhóm
group frequency	- (kỹ) tần số nhóm
group icon	- (kỹ) hình tượng nhóm
group item	- (kỹ) mục nhóm
group practice [01/'gru:p,præktis/]	[01* dtừ]\n- một nhóm bác sự cùng chuyên khoa với nhau
group separator (GS)	- (kỹ) dấu tách nhóm dữ liệu
group therapist	- xem [03group therapy] 
group therapy [01/'gru:p,θerəpi/]	[01* dtừ]\n- phương thức trị liệu theo nhóm tâm lý
group-averaged [01/'gru:p'ævəridʒ/]	[01* ttừ]\n- quy trung bình theo nhóm
grouped	- đã nhóm lại |
grouper [01/'gru:pə/]	như [03groper]
groupie [01/'gru:pi/]	[01* dtừ]\n- cô gái đi theo cổ động các băng nhạc
grouping [01/'gru:piη/]	[01* dtừ]\n- sự họp thành nhóm\n- nhóm, tổ, đội
group-like	- tựa nhóm, giống nhóm |
groupment [01/'gru:pmənt/]	[01* dtừ]\n- nhóm, tổ, đội
groupoid	- (đại số) phỏng nhóm\n- metric g. (đại số) phỏng nhóm mêtric|
group-transfer [01/'gru:p'trænsfə/]	[01* dtừ]\n- (y) nhóm máu truyền
groupware	- phần mềm nhóm
groupware (software for workgroups)	- (kỹ) nhu liệu điều hành nhóm
grouse [01/graus/]	[01* dtừ, s/n không đổi]\n- gà gô trắng\n[02= white grouse] gà gô trắng\n[02= wood grouse] gà rừng\n[01* dtừ]\n- (lóng) sự càu nhàu, sự cằn nhằn\n[01* nđtừ]\n- (lóng) càu nhàu, cằn nhằn
grouser [01/'grausə/]	[01* dtừ]\n- (lóng) người hay càu nhàu, người hay cằn nhằn\n- (kỹ) tấm vấu dây xích (máy kéo) 
grout [01/graut/]	[01* dtừ]\n- (kiến trúc) vữa lỏng (để trát kẽ hở ở tường)\n[01* ngđtừ]\n- trát (kẽ hở ở tường) bằng vữa lỏng\n[01* đtừ]\n- ủi (đất) bằng mồm (lợn) 
grouter	- xem [03grout] 
grouty [01/'grauti/]	[01* ttừ]\n- (Mỹ),(lóng) hay nổi nóng, hay cáu
grove [01/grouv/]	[01* dtừ]\n- lùm cây, khu rừng nhỏ
grovel [01/'grɔvl/]	[01* nđtừ]\n- nằm phục xuống đất; bò; đầm\n[02= to grovel in the mud] đầm trong bùn\n- (bóng) quỳ gối, uốn gối, khom lưng uốn gối\n[02= to grovel to (before) somebody] khom lưng uốn gối trước mặt ai
groveler	như [03grovelingly]
grovelingly	- xem [03grovel] 
groveller [01/'grɔvələ/]	[01* dtừ]\n- kẻ khom lưng uốn gối, kẻ liếm gót
grovelling [01/'grɔvəliη/]	[01* ttừ]\n- khom lưng uốn gối, liếm gót, quy nạp
grow [01/grou/]	[01* nđtừ grew; grown]\n- mọc, mọc lên (cây cối) ; mọc mầm, đâm chồi nẩy nở\n[02= rice plants grow well] lúa mọc tồi\n[02= to be grown over with grass] cỏ mọc đầy lên\n- lớn, lớn lên (người)\n[02= to grow into a beautiful girl] lớn lên trở thành một cô gái đẹp\n[02= to find someone much grown] thấy ai chóng lớn quá\n- phát triển, tăng lên, lớn thêm\n[02= our national economy is growing] nền kinh tế quốc dân của ta đang phát triển\n[02= the crowd grows] đám đông tăng lên\n- dần dần trở thành, dần dần trở nên\n[02= it's growing gark] trời tối dần\n[02= to grow better] khá hơn lên\n[02= to grow worse] xấu đi\n[02= to grow old] già đi\n[02= to grow smaller] bé đi\n[02= to grow angry] nổi giận\n[02= to grow sleep] buồn ngủ\n[02= to grow weary of] chán ngấy (cái gì)\n[02= he grows to like painting] hắn đâm ra thích vẽ\n[01* ngđtừ]\n- trồng (cây, hoa)\n- để (râu, tóc...) mọc dài\n[04! to grow down]\n- mọc ngược, mọc đầu xuống dưới\n- giảm đi, bớt đi, kém đi, nhỏ đi\n[04! to grow downwards]\n- giảm đi, bớt đi\n[04! to grow in]\n- mọc vào trong\n- dính vào, cáu vào, khắc sâu vào\n- ăn sâu vào\n[04! to grow on (upon)]\n- nhiễm sâu vào, thấm sâu vào; ngày càng ảnh hưởng đến\n[02= the new way of life grows upon him] lối sống mới đã thấm sâu vào anh ấy\n- ngày càng thích hơn\n[02= the piece of music grows upon me] càng nghe bản nhạc ấy tôi càng thấy thích\n[04! to grow out (of)]\n- nảy sinh ra từ, phát sinh ra từ\n- bỏ (thói quen)\n[02= to grow out of a bad habit] bỏ một thói xấu\n- quá, vượt quá (khổ, cỡ)\n[02= to grow out of knowledge] lớn quá không nhận ra được nữa\n[04! to grow to]\n- đạt tới, tới, lên tới\n[02= to grow to manhood] tới tuổi trưởng thành\n[04! to grow up]\n- lớn lên, trưởng thành\n[02= to be grow up] đến tuổi trưởng thành, lớn lên\n- nảy sinh; lan rộng, trở thành phổ biến (phong tục, tập quán...) 
grower [01/'grouə/]	[01* dtừ]\n- người trồng\n- cây trồng\n[02= a rapid grower] cây lớn nhanh\n[02= a slow grower] cây mọc chậm
growing [01/'grouiη/]	[01* dtừ]\n- sự lớn lên\n- sự nuôi; sự trồng\n[02= the growing of bees] sự nuôi ong\n[02= the growing of grapes] sự trồng nho\n[01* ttừ]\n- đang lớn lên\n[02= growing pains] sốt đau đầu xương tuổi đang lớn, sốt vỡ da\n- (Mỹ) những khó khăn mới (của kế hoạch mới, của sự phát triển mau chóng)\n- giúp cho sự lớn lên\n[02= growing weather] thời tiết thuận lợi cho cây cối lớn lên
growing pains [01/'grouiηpeinz/]	[01* dtừ s/n]\n- cơn sốt khi trẻ đang lớn; cơn sốt vỡ da; (Mỹ) những vấn đề phát sinh trong quá trình phát triển một doanh nghiệp
growing process	- (kỹ) tiến trình tăng trưởng
growingly	- xem [03grow] 
growl [01/graul/]	[01* dtừ]\n- tiếng gầm, tiếng gầm gừ\n- tiếng càu nhàu, tiếng lẩm bẩm (giận dữ), tiếng làu bàu\n[01* đtừ]\n- gầm, gầm gừ, rền (thú vật, sấm)\n[02= thunder is growling in the distance] sấm rền ở phía xa\n- (+ [04at]) càu nhàu, lẩm bẩm, làu bàu\n[02= to growl at someone] càu nhàu với ai
growler [01/'graulə/]	[01* dtừ]\n- người hay càu nhàu\n- núi băng nhỏ\n- (Mỹ),(lóng) bình đựng bia\n- (cổ) xe ngựa bốn bánh
growly	- xem [03growl] 
grown [01/groun/]	[01* động tính từ quá khứ của] [03grow]\n[01* ttừ]\n- lớn, trưởng thành\n[02= a grown man] một người đã trưởng thành
grown diffusion	- (kỹ) khuếch tán tăng
grown junction	- (kỹ) tiếp giáp tăng
grown-up [01/'grounʌp/]	[01* ttừ]\n- đã lớn, đã trưởng thành\n[01* dtừ]\n- người lớn, người đã trưởng thành
growth [01/grouθ/]	[01* dtừ]\n- sự lớn mạnh, sự phát triển\n- sự tăng tiến, sự tăng lên, sự khuếch trương\n[02= the growth of industry] sự lớn mạnh của nền công nghiệp\n- sự sinh trưởng\n[02= a rapid growth] sự mau lớn, sự sinh trưởng mau\n- sự trồng trọt, vụ mùa màng\n[02= a growth of rice] một mùa lúa\n[02= wine of the 1954 growth] rượu vang vụ nho 1954\n- cái đang sinh trưởng, khối đã mọc\n[02= a thick growth of weeds] khối cỏ dại mọc dày\n- (y) khối u, u
growth industry [01/'grouθ'indʌstri/]	[01* dtừ]\n- ngành công nghiệp tăng trưởng nhanh (so với các ngành (công nghiệp) khác) 
growth promoting [01/'grouθprə,moutiη/]	[01* ttừ] kích thích sinh trưởng
growth rate	- (kỹ) tốc độ tăng trưởng, suất tăng
growth ring [01/'grouθriη/]	[01* dtừ]\n- vòng sinh trưởng (của cầy từng năm) 
groyne [01/grɔin/]	[01* dtừ]\n- đê biển\n[01* ngđtừ]\n- đắp đê (dọc theo bờ biển) 
groyned [01/'grɔind/]	[01* ttừ]\n- có đê biển
