crawling	258-26775-S
crisis ridden	107-5522-B
crisp	107-5609-B,355-1347-S
crisp winged	107-6867-B
crispate	107-6230-B
crispation	107-6314-B
crisper	107-6438-B
crispiness	107-6493-B
crisply	107-6522-B
crispness	107-6589-B
crispy	107-6929-B
criss cross	107-7016-B
criss crossing	107-7442-B
crissum	107-7526-B
crista	107-7602-B
cristate	107-7719-B
criteria	107-7781-B,91-14923-S
criterial	107-7830-B
criterion	107-7861-B,32-3102-S,117-13271-S
criterium	107-7938-B
critic	107-8028-B,187-11439-S
critical	107-8171-B,187-11515-S,364-13155-S,409-18857-S
critical data	107-8611-B
critical path	107-8653-B
critical point	107-8698-B
critical resistance	107-8742-B
critical value	107-8797-B
critically	107-8839-B
criticalness	107-8928-B
criticise	107-8961-B
criticism	107-9055-B,152-17985-S,187-11604-S,221-4122-S,275-24778-S,409-18924-S
criticizable	107-9246-B
criticize	107-9279-B
criticizer	107-9325-B
criticizm	103-15162-S
criticus	26-7504-S
critique	107-9357-B
croak	107-9441-B
croaker	107-9714-B
croakily	107-9847-B
croaky	107-9873-B
croceate	107-9898-B
crochet	107-9961-B
crochet wool	107-10116-B
crock	107-10199-B
crocked	107-10616-B
crockery	107-10682-B
crocket	107-10747-B
crocky	107-10821-B
crocodile	107-10890-B,392-16129-S
crocodilian	107-11058-B
crocoisite	107-11151-B
crocus	107-11216-B
croesus	107-11347-B
croft	107-11447-B
crofter	107-11526-B
crofting	107-11595-B
croissant	107-11654-B
croix de guerre	107-11731-B
croix rouge	107-11813-B
cromelech	107-11883-B
cromlech	107-11964-B
crone	107-12032-B
crony	107-12093-B
crook	107-12164-B
crook backed	107-12863-B
crook kneed	107-13459-B
crookback	107-12791-B
crooked	107-12913-B
crookedly	107-13185-B
crookedness	107-13257-B
croon	107-13525-B
crooner	107-13782-B
crop	107-13874-B,69-13340-S,70-11408-S,70-11871-S,104-20830-S,162-11250-S,174-3806-S,176-18781-S,204-18354-S,227-20357-S,227-23673-S,279-13686-S,394-6650-S,394-7223-S,440-20612-S,445-4770-S,447-22954-S,451-2811-S
crop dust	107-15228-B
crop dusting	107-15078-B,107-15262-B
crop ear	107-15365-B
crop eared	107-15432-B
crop land	107-15647-B
crop leather	107-15730-B
crop rotation	107-15158-B
cropful	107-15576-B
croppage	107-15808-B
cropped	83-7465-S
cropper	107-15868-B
cropping	107-16238-B,447-23092-S
cropping out	107-16327-B
croppy	107-16403-B
croquet	107-16475-B
croquette	107-16546-B
croquis	107-16658-B
crore	107-16728-B
crosier	107-16783-B
cross	107-16824-B,35-12072-S,78-2728-S,107-7016-S,138-4518-S,207-25626-S,251-13039-S,265-3188-S,282-22894-S,327-4732-S,333-11661-S,362-18762-S,381-19194-S,510-1183-S,510-1439-S
cross action	107-21354-B
cross arm	107-21460-B
cross arm bar	107-19938-B
cross armed	107-21648-B
cross arrow	107-21703-B
cross assembler	107-19979-B
cross bar	107-21779-B
cross beam	107-22222-B
cross bearer	107-22292-B
cross belt	107-22397-B
cross bench	107-22472-B
cross bencher	107-22736-B
cross bill	107-22846-B
cross bones	107-22920-B
cross bow	107-23115-B
cross bred	107-23176-B
cross breed	107-23276-B
cross bun	225-23636-S
cross cap	107-23355-B
cross check	107-20036-B,107-23402-B
cross code	208-138-S
cross compiler	107-20092-B
cross connect system	128-12535-S
cross connecting line	107-20155-B
cross correlation	107-20207-B
cross correlation analyzer	107-23504-B
cross country	107-23576-B
cross coupling	107-20253-B
cross court	107-23743-B
cross cultural	107-23851-B
cross current	107-23945-B
cross cut	107-24070-B
cross examination	107-24299-B
cross examine	107-24403-B
cross examiner	107-24471-B
cross eyed	107-24552-B
cross fecundation	107-24621-B
cross fertile	107-24704-B
cross fertilise	107-24749-B
cross fertilization	107-24830-B
cross fertilize	107-24908-B
cross fire	107-24991-B
cross grain	108-0-B
cross grained	108-78-B
cross handed	108-243-B
cross hatch	108-319-B
cross hatching	108-482-B
cross head	108-573-B
cross heading	108-682-B
cross interrogation	108-1285-B
cross kick	108-1400-B
cross legged	108-1577-B
cross light	108-1738-B
cross line	108-1912-B
cross marriages	108-2040-B
cross multiplication	107-20289-B
cross multiply	108-2139-B
cross over	108-2376-B
cross over point	107-20459-B
cross patch	108-2622-B
cross piece	108-2689-B
cross pin	108-2745-B
cross ply	108-2806-B
cross polarization	107-20504-B
cross pollinate	108-2986-B
cross pollination	108-3068-B
cross product	107-20553-B
cross purposes	107-20588-B,108-3158-B
cross question	107-20778-B,108-3496-B
cross reference	107-20928-B,108-3621-B
cross road	108-3864-B
cross rolls	107-21062-B
cross section	107-21173-B,108-4300-B,150-4041-S
cross staff	108-4542-B
cross stitch	108-4600-B
cross talk	107-21223-B,108-4747-B
cross term	108-5231-B
cross town	108-5359-B
cross trade	108-5443-B
cross trees	108-5670-B
cross voting	108-5847-B
cross wind	108-6193-B
cross wire	107-21291-B
cross word	108-6356-B
crossarm	107-21526-B
crossarm pin	107-21599-B
crossbar exchange	107-21897-B
crossbar office	107-21975-B
crossbar selector	107-22047-B
crossbar switch	107-22098-B
crossbar system	107-22156-B
crossbones	423-12600-S
crossed	107-24258-B,440-28654-S
crosser	107-24274-B,138-4721-S
crosses	306-19106-S
crosshair	108-208-B
crosshatching	108-418-B
crossing	108-796-B,107-7442-S,126-15428-S,205-22054-S,205-22464-S,268-8649-S,268-8834-S,333-16691-S
crossing over	108-997-B
crossing pole	108-1161-B
crossing sweeper	108-1204-B
crosslet	108-1680-B
crossly	108-1975-B
crossness	108-2230-B
crossover	108-2325-B
crossover area	108-2525-B
crossover voltage	108-2572-B
crosspoint	108-2882-B
crosspoint insulator	108-2915-B
crossroads	108-4062-B
crosstalk	108-4699-B,172-5820-S
crosstalk attenuation	108-4931-B,172-5868-S
crosstalk coupling	108-4984-B
crosstalk interference	108-5048-B
crosstalk level	108-5099-B
crosstalk loss	108-5141-B
crosstalk meter	108-5186-B
crosstown	108-5279-B
crosstrees	108-5595-B
crossvein	108-5784-B
crosswalk	108-5977-B
crossways	108-6057-B
crosswind	108-6105-B
crosswise	108-6260-B
crossword	108-6498-B
crossword puzzle	108-6553-B
crotch	108-6605-B
crotched	108-6687-B
crotchet	108-6714-B
crotchet rest	108-6821-B
crotcheteer	108-6929-B
crotchetiness	108-7075-B
crotchety	108-7161-B
croton	108-7229-B
crouch	108-7316-B
croucher	108-7545-B
croup	108-7606-B
croupe	108-7727-B
croupier	108-7761-B
croupous	108-7838-B
crouton	108-7877-B
crow	108-7952-B,68-22986-S,84-22857-S,224-15496-S,255-17921-S,255-18237-S
crow bar	108-8600-B
crow berry	108-8741-B
crow bill	108-8816-B
crow quill	108-13921-B
crow s feet	108-14035-B
crow s foot	108-14142-B
crow s nest	108-14191-B
crowbar	108-8558-B
