homicide	223-29725-B,410-4986-S
hope	224-24581-B,187-8859-S
hope chest	224-25229-B
hope pole	224-26715-B
hoped for	224-25353-B
hopeful	224-25486-B
hopefully	224-25932-B
hopefulness	224-26006-B
hopeless	224-26078-B
hopelessly	224-26555-B
hopelessness	224-26626-B
hophead	224-26912-B
hoplite	224-26976-B
hopped spread spectrum signals	190-14686-S
hopped up	224-27149-B
hopper	224-27224-B,217-36719-S
hopping	224-27685-B
hopple	225-0-B
hopsack	225-289-B
hopscotch	225-357-B
horary	225-489-B
horatian	225-624-B
horde	225-746-B
horehound	225-934-B
horespower	225-980-B
horizon	225-1011-B,26-8272-S
horizontal	225-1247-B
horizontal bar	225-1459-B
horizontality	225-1537-B
horizontally	225-1571-B
hormogonium	225-1642-B
hormonal	225-1765-B
hormone	225-1842-B,227-3798-S
hormonelike	225-1902-B
hormonic	225-1964-B
horn	225-2062-B,28-7906-S,60-10846-S,95-5257-S,140-19085-S,155-12551-S,184-21485-S,227-20633-S,227-23920-S,243-15854-S,355-18278-S,417-20683-S,444-5568-S
horn bar	225-2969-B
horn mad	225-4721-B
horn rimmed	225-5104-B
horn rims	225-5203-B
horn term	243-15917-S
hornbeam	225-3033-B
hornbill	225-3100-B
hornblend	225-3157-B
hornblende	225-3218-B
hornbook	225-3281-B
horned	225-3394-B,418-9454-S,439-22992-S
horned owl	225-3582-B
horned toad	225-3658-B
horned viper	225-3811-B
horner	225-3873-B
hornet	225-4035-B
hornet s nest	225-4235-B
hornfels	225-4387-B
horniness	225-4446-B
hornless	225-4598-B
hornlike	225-4652-B
hornpipe	225-4839-B
hornrimmed	225-5054-B
hornswoggle	225-5309-B
horntail	225-5399-B
hornwort	225-5468-B
horny	225-5530-B
horny handed	225-5723-B
horocycle	225-5805-B
horologe	225-5870-B
horologer	225-5918-B
horologic	225-5989-B
horological	225-6112-B
horologist	225-6169-B
horology	225-6281-B
horoscope	225-6381-B
horoscopic	225-6537-B
horoscopical	225-6592-B
horoscopy	225-6710-B
horosphere	225-6809-B
horrendous	225-6840-B
horrendously	225-6914-B
horrent	225-6969-B
horrible	225-7031-B
horribleness	225-7348-B
horribly	225-7549-B
horrid	225-7597-B
horridly	225-7741-B
horridness	225-7788-B
horrific	225-7959-B
horrifically	225-8043-B
horrify	225-8122-B
horrifying	225-8238-B
horrifyingly	225-8311-B
horripilant	225-8390-B
horripilate	225-8460-B
horripilation	225-8558-B
horror	225-8670-B
horror stricken	225-9011-B
horror struck	225-9073-B
horrors	73-21749-S
hors d oeuvre	225-9236-B
hors de combat	225-9131-B
horse	225-9311-B,43-11148-S,52-11872-S,69-2471-S,83-15183-S,85-995-S,114-4402-S,139-6215-S,139-20329-S,139-33174-S,139-33208-S,188-19623-S,188-19657-S,200-28454-S,222-19177-S,251-13497-S,254-1638-S,268-21318-S,313-11240-S,324-5416-S,324-23267-S,333-18802-S,348-14696-S,354-22278-S,379-28264-S,392-16510-S,393-3196-S,397-26950-S,399-8892-S,402-3412-S,407-3380-S,415-11673-S,416-1000-S,417-10540-S,439-26764-S,440-2991-S,444-15181-S,445-5549-S,448-10058-S,453-4671-S,467-10270-S,473-6542-S,478-17358-S,478-20802-S,507-2221-S,514-29368-S,518-24939-S,522-29937-S
horse and buggy	225-11980-B
horse artillery	225-12055-B
horse bean	225-12314-B
horse block	225-12386-B
horse box	225-12464-B
horse boy	225-12623-B
horse brass	225-11064-B
horse breaker	225-12687-B
horse chestnut	225-12759-B
horse cloth	225-12866-B
horse collar	225-12918-B
horse comb	225-13041-B
horse coper	225-13103-B
horse cover	225-13157-B
horse dealer	225-13264-B
horse fly	225-13468-B
horse guards	225-11182-B,225-13536-B
horse hoe	225-13916-B
horse latitudes	225-11335-B
horse laugh	225-14002-B
horse mackerel	225-14265-B
horse marines	225-14513-B
horse mastership	225-14785-B
horse mussel	225-11447-B
horse nuts	225-11532-B
horse opera	225-11614-B
horse pick	225-11693-B
horse pond	225-15124-B
horse power	225-15224-B
horse race	225-15512-B
horse radish	225-15574-B
horse sense	225-11754-B
horse show	225-11831-B
horse tail	225-16187-B
horse trading	225-16279-B
horseback	225-12158-B,20-4014-S,281-414-S
horsed	188-19782-S,313-11288-S
horseflesh	225-13324-B
horsehair	225-13710-B
horsehide	225-13863-B
horseleech	225-14072-B
horseless carriage	225-14191-B
horseman	225-14318-B
horsemanship	225-14417-B
horsemaster	225-14684-B
horsemen	225-14883-B
horsemint	225-14940-B
horseplay	225-15022-B
horsepower	225-15347-B,57-7197-S
horses	519-19042-S
horseshit	225-15657-B
horseshoe	225-15755-B
horseshoe bat	225-15924-B
horseshoe crab	225-16053-B
horseshoer	225-16115-B
horsewhip	225-16359-B
horsewoman	225-16455-B
horsie	225-16535-B
horsiness	225-16606-B
horst	225-16744-B
horsy	225-16814-B
hortative	225-16998-B
hortatory	225-17063-B
horticultural	225-17112-B
horticulture	225-17235-B
horticulturist	225-17307-B
hosanna	225-17388-B
hose	225-17449-B,178-28133-S,213-6726-S,479-21938-S
hose tops	225-17712-B
hosepipe	225-17652-B
hosier	225-17782-B
hosiery	225-17850-B
hospice	225-17906-B
hospitable	225-18010-B
hospitably	225-18068-B
hospital	225-18142-B,41-7802-S,42-18174-S,82-901-S,169-17847-S,176-16921-S,188-16498-S,253-2804-S,272-29361-S,284-10933-S,287-18547-S,463-1969-S
hospital bed	225-18429-B
hospital ship	225-19379-B
hospitaler	225-18532-B
hospitalisation	225-18582-B
hospitalise	225-18651-B
hospitalism	225-18705-B
hospitality	225-18860-B
hospitalization	225-19030-B
hospitalize	225-19182-B
hospitaller	225-19279-B
host	225-19448-B
hostage	225-20269-B
hostel	225-20550-B,524-27748-S
hosteler	225-20677-B
hostelry	225-20754-B
hostess	225-20814-B,12-232-S,12-7252-S
hostess gown	225-20998-B
hostie	225-21098-B
hostile	225-21187-B
hostilely	225-21322-B
hostility	225-21391-B
hostler	225-21740-B
hot	225-21825-B,40-9654-S,54-2978-S,54-3257-S,177-1196-S,381-28193-S,402-10886-S,442-232-S,519-21713-S
hot air	225-23265-B
hot air balloon	226-937-B
hot blast	225-23394-B
hot blooded	226-1216-B
hot brained	226-1410-B
hot cake	225-23456-B
hot cockles	225-23509-B
hot cross bun	225-23636-B
hot dog	225-23774-B
hot favourite	225-23866-B
hot flash	225-23971-B
hot flush	225-24041-B
hot gospeller	225-24188-B
hot headed	226-2049-B
hot headedly	226-2100-B
hot headedness	226-2155-B
hot line	225-24276-B
hot money	225-24418-B
hot pants	225-24535-B
hot plate	226-2567-B
hot pot	226-2672-B
hot potato	225-24667-B
hot press	226-2741-B
hot pressing	226-2863-B
hot rod	225-24859-B
hot seat	225-24939-B
hot short	226-2945-B
hot spring	225-25009-B
hot spririted	226-3105-B
hot stuff	225-25075-B
hot tempered	226-3307-B
hot tub	226-0-B
hot up	226-168-B
hot war	226-603-B
hot water	226-678-B
hot water bottle	226-3588-B
hot well	226-855-B
hotbed	226-985-B
hotbrain	226-1314-B
hotbrained	226-1357-B
hotch	226-1469-B
hotchpot	226-1565-B
hotchpotch	226-1614-B
hote	460-4503-S,460-4570-S
hotel	226-1668-B,279-18197-S,361-28267-S
hotel butter	279-18359-S
hotel keeper	226-1776-B
hotelier	226-1716-B
hotfoot	226-1828-B
hothead	226-1945-B
hothouse	226-2223-B
hotkey	226-2404-B
hotly	226-2438-B
hotplate	226-2502-B
hotpot	226-2632-B
hotshot	226-3038-B
hotspur	226-3178-B
hottentot	226-3394-B
hough	226-3675-B
hound	226-3802-B,10-7779-S,118-19599-S,151-4108-S,218-15324-S,318-12372-S,424-14867-S,521-37258-S
hound s tongue	226-4450-B
houndfish	226-4384-B
hour	226-4507-B,17-12159-S,66-2963-S,129-13424-S,213-6787-S,214-36454-S,220-11882-S,259-16607-S,276-14867-S,281-10238-S,310-27881-S,373-22873-S,397-2231-S,397-2558-S,419-22335-S,516-8172-S,525-4542-S,525-5868-S
hour circle	226-5875-B
hour glass	226-5998-B
hour hand	226-5828-B,226-6046-B
hour long	226-6221-B
hourglass	226-5937-B
houri	226-6104-B
hourly	226-6365-B,213-11969-S
hours	10-16291-S,62-18251-S,97-3270-S,97-3425-S,310-28812-S,397-2615-S,425-27228-S
house	226-6596-B,13-4866-S,14-22437-S,42-13823-S,43-10135-S,43-18466-S,48-617-S,53-10818-S,53-13714-S,54-2542-S,54-23470-S,58-12596-S,69-21662-S,70-20279-S,74-24043-S,77-18232-S,82-986-S,83-23946-S,84-3657-S,85-16244-S,99-15246-S,103-6486-S,103-23028-S,103-23207-S,104-0-S,104-832-S,104-11977-S,104-25968-S,111-16693-S,116-133-S,116-12578-S,116-13631-S,117-15841-S,133-5167-S,136-8580-S,136-17353-S,136-17412-S,137-16656-S,137-16862-S,138-18007-S,141-15381-S,142-18688-S,143-7309-S,143-9004-S,144-7384-S,144-17192-S,155-11028-S,169-24683-S,172-8276-S,176-17007-S,178-23327-S,178-28194-S,179-19768-S,181-5301-S,186-8340-S,189-9707-S,189-23394-S,190-9183-S,191-22251-S,192-19229-S,195-13228-S,195-16848-S,195-18437-S,200-32760-S,201-26788-S,205-11951-S,206-14333-S,210-12904-S,211-4449-S,213-17396-S,215-29766-S,219-1583-S,226-10742-S,226-15372-S,230-12346-S,243-6202-S,253-9630-S,255-12317-S,256-15000-S,265-33473-S,267-16586-S,269-1836-S,272-29435-S,273-6321-S,273-10728-S,273-22987-S,275-24945-S,279-12315-S,279-12501-S,280-21112-S,281-140-S,281-19873-S,281-21087-S,281-21177-S,286-7817-S,297-8031-S,297-20274-S,307-11694-S,307-21317-S,314-19017-S,324-5472-S,324-6278-S,325-18497-S,338-21792-S,343-25416-S,344-2667-S,347-18459-S,347-27046-S,353-9255-S,354-2434-S,354-22336-S,355-5108-S,355-18366-S,355-21843-S,355-23687-S,361-20444-S,361-25264-S,368-17905-S,369-4498-S,388-6088-S,392-21804-S,392-23336-S,393-2678-S,393-9982-S,394-3901-S,394-17583-S,395-111-S,395-1934-S,395-13239-S,398-2990-S,404-670-S,405-11733-S,418-23512-S,424-821-S,426-16384-S,429-16102-S,435-14578-S,436-25482-S,437-6997-S,441-6193-S,441-11144-S,441-12340-S,441-24623-S,452-14143-S,453-2082-S,461-20328-S,463-3003-S,464-26607-S,465-13779-S,469-6860-S,470-5990-S,471-10885-S,473-9824-S,476-12986-S,476-19294-S,478-606-S,504-3838-S,510-3805-S,515-7931-S,515-8743-S,515-20234-S,516-75-S,517-17336-S,518-6265-S,518-25107-S,519-19114-S,520-32847-S,522-12073-S
house agent	226-10905-B
house arrest	226-9133-B
house bound	226-11123-B
house breaking	226-11584-B
house cricket	226-9237-B
house detective	226-9294-B
house dinner	226-12057-B
house dog	226-12186-B
house estate	226-12345-B
house father	226-12468-B
house flag	226-12565-B
house flanned	226-12699-B
house flannel	226-12762-B
house fly	226-12818-B
house lights	226-9446-B
house manager	226-9533-B
