hydrotropic	228-15082-B
hypogynous	229-17207-B
hypogyny	229-17284-B
hypoid gear	229-17356-B
hypoinsulinism	229-17456-B
hypomania	229-17550-B
hypomanic	229-17619-B
hyponymous	229-17707-B
hyponymy	229-17771-B
hypoparathyroidism	229-18015-B
hypopharynx	229-18127-B
hypophyseal	229-18248-B
hypophysectomize	229-18315-B
hypophysectomy	229-18403-B
hypophysis	229-18500-B
hypopituitarism	229-18567-B
hypoplasia	229-18664-B
hypoplastic	230-0-B
hyposeal	230-67-B
hypostasis	230-132-B
hypostoma	230-291-B
hypostome	230-386-B
hypostyle	230-469-B
hyposulphite	230-546-B,429-2605-S
hypotatic	230-596-B
hypotaxis	230-683-B
hypotension	230-777-B
hypotensive	230-857-B
hypotenuse	230-1039-B
hypothalamic	230-1135-B
hypothalamus	230-1207-B
hypothec	230-1355-B
hypothecary	230-1487-B
hypothecate	230-1645-B
hypothecation	230-1719-B
hypotheque	230-1812-B
hypothermal	230-1950-B
hypothermia	230-2035-B
hypothermia treatment	230-2137-B
hypothermic	230-2238-B
hypotheses	230-2359-B
hypothesi	164-12351-S
hypothesis	230-2456-B,8-11053-S,15-16523-S
hypothesise	230-2507-B
hypothesize	230-2640-B
hypothetic	230-2694-B,230-2755-B
hypothetical	230-2833-B
hypothetically	230-2908-B
hypothyroid	230-2984-B
hypothyroidism	230-3058-B
hypotonic	230-3170-B
hypotonicity	230-3234-B
hypotrochoid	230-3308-B
hypoventilation	230-3337-B
hypoxia	230-3429-B
hyppogriph	230-3499-B
hyppogryph	230-3547-B
hypsographic	230-3627-B
hypsography	230-3720-B
hypsometer	230-3830-B
hypsometric	230-3894-B
hypsometrical	230-3972-B
hypsometry	230-4049-B
hyrax	230-4141-B
hyson	230-4232-B
hyssop	230-4354-B
hysterectomise	230-4391-B
hysterectomy	230-4470-B
hysteresis	230-4591-B
hysteria	230-4776-B,283-17878-S
hysteric	230-4956-B
hysterical	230-5107-B
hysterically	230-5284-B
hysterics	230-5362-B
hysterogenic	230-5468-B
hysteroid	230-5535-B
hysterotomy	230-5599-B
hz	230-5682-B
i	230-5702-B,71-14023-S,194-8478-S,194-8624-S
i beam	230-7235-B
i ching	230-6046-B
i d	231-642-B
i e	230-6136-B,230-6186-B
i ll	232-1063-B
i m	232-19579-B
i noor	261-8419-S
i o	230-6350-B
i q	230-6221-B,230-6317-B
i spy	253-6711-B
i ve	253-16773-B
iac	230-6377-B
iaea	230-6416-B
iamb	230-6525-B
iambi	230-6558-B
iambic	230-6670-B
iambus	230-6833-B
iata	230-6872-B
iatrogenic	230-7003-B
iba	230-7123-B
iberian	230-7292-B
ibex	230-7453-B
ibexes	230-7579-B
ibices	230-7619-B
ibid	230-7747-B
ibidem	230-7825-B
ibis	230-7955-B
ible	230-8014-B
ibm	230-8247-B
ibo	230-8362-B
ibrd	230-8473-B
ic	230-8659-B,111-14427-S
icao	230-8722-B
icbm	230-8838-B
ice	230-8966-B,50-11000-S,70-20356-S,77-8362-S,120-55-S,140-13702-S,141-13502-S,176-19966-S,182-24543-S,209-15824-S,324-5525-S,425-1308-S,428-77-S,515-31771-S
ice age	230-10331-B
ice axe	230-10393-B
ice bag	230-10475-B
ice blue	230-10688-B
ice boat	230-10747-B
ice bound	230-10834-B
ice box	230-10950-B
ice breaker	230-11035-B
ice cap	230-11193-B
ice cold	230-11267-B
ice cream	230-11319-B
ice cream cone	230-11365-B
ice cube	230-9969-B
ice dancing	230-10044-B
ice drift	230-11705-B
ice fall	230-11765-B
ice field	230-11818-B
ice fishing	230-11889-B
ice floe	230-12002-B
ice free	230-12061-B
ice hockey	230-12261-B
ice house	230-12346-B
ice lolly	230-10124-B
ice pack	230-12830-B
ice pick	230-12943-B
ice plant	230-13039-B
ice pudding	230-13180-B
ice rain	230-13253-B
ice rink	230-13318-B
ice run	230-13379-B
ice sheet	230-13486-B
ice show	230-13541-B
ice skate	230-13633-B
ice skater	230-10184-B
ice skating	230-13715-B
ice tray	230-13793-B
ice water	230-10216-B
ice wool	230-13848-B
ice yacht	230-13898-B
iceberg	230-10545-B
iceblink	230-10601-B
iced	230-11485-B
icelander	230-12460-B
icelandic	230-12525-B,311-19980-S
iceless	230-12628-B
iceman	230-12651-B
icer	23-11764-S,120-136-S
ichneumon	230-13971-B
ichneumon fly	230-14083-B
ichnography	230-14187-B
ichnolite	230-14314-B
ichnology	230-14381-B
ichor	230-14431-B
ichorous	230-14574-B
ichthyographer	230-14686-B
ichthyography	230-14764-B
ichthyoid	230-14877-B
ichthyolatry	230-14969-B
ichthyolite	230-15041-B
ichthyologic	230-15104-B
ichthyological	230-15165-B
ichthyologist	230-15269-B
ichthyology	230-15363-B,325-7827-S
ichthyophagist	230-15509-B
ichthyophagous	230-15594-B
ichthyophagy	230-15655-B
ichthyornis	230-15726-B
ichthyosaur	230-15830-B
ichthyosaurian	230-15885-B
ichthyosaurus	230-16051-B
ichthyosis	230-16132-B
ichthyotic	230-16198-B
ichthys	230-16300-B
ici	230-16378-B
icicle	230-16493-B
icily	230-16554-B
iciness	230-16653-B
icing	230-16774-B,23-11863-S
icing sugar	230-17043-B
ickiness	230-17126-B
ickle	230-17151-B
icky	230-17221-B
iclinology	230-17346-B
icon	230-17436-B,132-21077-S,206-17250-S,209-19191-S
iconic	230-17578-B
iconnographical	230-17776-B
iconoclasm	230-17915-B
iconoclast	230-18139-B
iconoclastic	230-18375-B
iconoclastically	230-18589-B
iconodule	230-18628-B
iconodulist	230-18680-B
iconoduly	230-18794-B
iconographer	230-18896-B
iconographic	230-18932-B
iconographical	230-19068-B
iconography	230-19132-B
iconolater	230-19246-B
iconolatric	230-19301-B
iconolatry	230-19335-B
iconological	230-19388-B
iconologist	230-19575-B
iconology	230-19741-B
iconomachy	230-20024-B
iconometer	230-20110-B
iconoscope	230-20207-B
icosahedral	230-20253-B
icosahedron	231-0-B
icteric	231-83-B
icterical	231-125-B
icterus	231-301-B
ictus	231-362-B
icy	231-488-B
id	231-705-B,231-930-B
id card	231-821-B
id est	231-871-B
iddd	231-960-B
ide	231-1100-B
idea	231-1161-B
idea d	231-2314-B,313-11453-S
idea man	231-2231-B
ideaed	231-2388-B,313-11504-S
ideaful	231-2426-B
ideal	231-2488-B,44-14789-S
ideal point	231-2959-B
idealess	231-3037-B
idealisation	231-3062-B
idealise	231-3122-B
idealism	231-3167-B
idealist	231-3276-B
idealistic	231-3437-B
idealistically	231-3493-B
ideality	231-3530-B
idealization	231-3780-B
idealize	231-3856-B
idealizer	231-3917-B
ideally	231-3989-B
idealzed	231-4109-B
ideamonger	231-4147-B
ideate	231-4234-B
ideation	231-4333-B
ideational	231-4525-B
idee fixe	231-4757-B
idem	231-4835-B
idemfactor	231-5023-B
idempotence	231-5073-B
idempotent	231-5106-B
identic	231-5314-B
identical	231-5700-B
identical twins	231-5746-B
identically	231-5841-B
identicalness	231-5921-B
identifiabbolity	231-5956-B
identifiable	231-6084-B
identifiableness	231-6244-B
identifiably	231-6435-B
identification	231-6468-B
identification block	177-16585-S
