blamefully	như [03blamefulness]
blanket [01/'blæηkit/]	[01* dtừ]\n- mền, chăn\n- lớp phủ\n[02= a blanket of snow] một lớp tuyết phủ\n[04! born on the wrong side of the blanket]\n- để hoang\n[04! to play the wet blanket]\n- làm giảm hào hứng, làm cụt hứng\n[02= to put a wet blanket on somebody; to throw a wet blanket over somebody] làm nhụt nhuệ khí của ai; làm giảm nhiệt tình của ai; giội một gáo nước lạnh vào lòng hăng hái của ai;, làm ai cụt hứng\n[02= wet blanket] người làm mất vui (cuộc vui chung, vì bản thân ủ rũ buồn rầu)\n[01* ttừ]\n- (Mỹ) có tính chất chung, có tính chất phổ biến, bao trùm\n[01* ngđtừ]\n- trùm chăn, đắp chăn\n- ỉm đi, bịt đi (một chuyện xấu, một vấn đề)\n- làm cho không nghe thấy, làm nghẹt (tiếng động) ; phá, làm lấp tiếng đi (một buổi phát thanh trên đài)\n- phủ lên, che phủ\n- (hàng hải) hứng gió của (thuyền khác)\n- phạt tung chăn (trừng phạt bằng cách cho vào chăn rồi tung lên tung xuống) 
blanket bath [01/'blæηkit'baθ/]	[01* dtừ]\n- sự tắm cho người ốm nằm liệt giừơng
blanket finish [01/'blæηkit'fini∫/]	[01* dtừ]\n- sự tới đích sát nút (trong đó các vận động viên về đích rất sát nhau) 
blanket stitch [01/'blæηkit'stit∫/]	[01* dtừ]\n- sự khầu lược bên mép, (ngđtừ) khầu lược bên mép
blanking	- (kỹ) xóa (d) 
blankly [01/'blæηkli/]	[01* phtừ]\n- ngây ra, không có thần\n[02= to look blankly] nhìn ngây ra, nhìn đi đâu\n- thẳng, thẳng thừng, dứt khoát\n[02= to deny something blankly] phủ nhận một cái gì thẳng thừng
blankness	- xem [03blank] 
blanquette [01/blæη'ket/]	[01* dtừ]\n- món ragu hoặc thịt bê hầm
blare [01/bleə/]	[01* dtừ]\n- tiếng kèn\n- tiếng om sòm\n[01* đtừ]\n- thổi kèn\n- làm om sòm
blarney [01/'blɑ:ni/]	[01* dtừ]\n- lời dỗ ngọt, lời tán tỉnh đường mật\n[01* đtừ]\n- tán tỉnh, dỗ ngọt
blaspheme [01/blæs'fi:m/]	[01* đtừ]\n- báng bổ\n- chửi rủa, lăng mạ
blasphemer [01/blæs'fi:mə/]	[01* dtừ]\n- người ăn nói báng bổ
blasphemous [01/'blæsfiməs/]	[01* ttừ]\n- báng bổ
blasphemously [01/'blæsfiməsli/]	[01* phtừ]\n- báng bổ, hồ đồ
blasphemousness	- xem [03blasphemous] 
blasphemy [01/'blæsfimi/]	[01* dtừ]\n- lời báng bổ
blast [01/blɑ:st/]	[01* dtừ]\n- luồng gió; luồng hơi (bễ lò), hơi (bom...)\n- tiếng kèn\n[02= the blast of a trumpet] tiếng kèn trompet\n- sự nổ (mìn)\n[01* ngđtừ]\n- làm tàn, làm khô héo, làm thui chột\n[02= frost blasts buds] sương giá làm thui chột nụ cây\n- làm nổ tung, phá (bằng mìn)\n- phá hoại, làm tan vỡ (hạnh phúc, kế hoạch...) ; làm mất danh dự\n- gây hoạ; nguyền rủa\n[04! blast you!]\n- đồ trời đánh thánh vật!
blasted [01/'blɑ:stid/]	[01* ttừ]\n- đáng nguyền rủa, đáng cho trời đánh thánh vật
blastema [01/blæs'ti:mə/]	[01* dtừ]\n- (sinh vật) mầm gốc, nha bào
blastemal	như [03blastematic]
blastematic	- xem [03blastema] 
blaster	- xem [03blast] 
blast-furnace [01/blɑ:st,fə:nis/]	[01* dtừ]\n- (kỹ) lò cao
blasting [01/'blɑ:stiη/]	[01* dtừ]\n- sự làm nổ tung, sự phá bằng thuốc nổ\n- sự làm tan vỡ (hy vọng, cơ đồ...) 
blastocoel [01/'blæstou,si:l/]	[01* dtừ]\n- cũng [03blastocoele]\n- (sinh học) khoang phôi
blastoderm [01/'blæstoudə:m/]	[01* dtừ]\n- (sinh vật) bì phôi
blastodermatic	như [03blastodermic]
blastodermic	- xem [03blastoderm] 
blast-off [01/'blɑ:st'ɔf/]	[01* dtừ]\n- sự phóng tàu vũ trụ lên không trung
blastomere [01/'blæstou,miə/]	[01* dtừ]\n- (sinh học) phôi bào
blastomycete [01/,blæstə'maisi:t/]	[01* dtừ]\n- họ nấm chồi
blastomycosis [01/,blæstə'mai'kousis/]	[01* dtừ]\n- bệnh nấm chồi
blastoporal [01/blæstou'pɔ:rəl/]	- Cách viết khác : [03blastoporic]
blastopore [01/'blæstou,pɔ:/]	[01* dtừ]\n- (sinh học) lỗ phôi, miệng phôi
blastosphere [01/'blæstə,sfiə/]	[01* dtừ]\n- (sinh học) phôi cầu
blastospheric [01/,blæstə'sfiərik/]	[01* ttừ]\n- thuộc phôi cầu
blastula [01/'blæstjulə/]	[01* dtừ] s/n [02blastulas, blastulae]\n- (sinh học) phôi nang
blastular [01/'blæstjulə/]	[01* ttừ]\n- thuộc phôi nang
blastulation [01/,blæstju'lei∫n/]	[01* dtừ]\n- sự hình thành phôi túi
blatancy [01/'bleitənsi/]	[01* dtừ]\n- tính hay la lối\n- sự rõ rành rành, sự hiển nhiên\n[02= a blatancy lie] lời nói dối rành rành
blatant [01/'bleitənt/]	[01* ttừ]\n- hay kêu la, hay la lối, hay làm om xòm\n- rành rành, hiển nhiên\n[02= a blatant lie] lời nói dối rành rành
blatantly [01/'bleitəntli/]	[01* phtừ]\n- rành rành, hiển nhiên
blate [01/bleit/]	[01* ttừ]\n- nhút nhát; rụt rè
blather [01/'blæđə/]	như [03blether]
blatherer	- xem [03blather] 
blatherskite [01/'blæđəskait/]	như [03bletherskite]
blaze [01/'bleiz/]	[01* dtừ]\n- ngọn lửa\n- ánh sáng chói; màu sắc rực rỡ\n- sự rực rỡ, sự lừng lẫy (đen & bóng)\n[02= the flowers make a blaze of colour in the garden] trong vườn hoa đua nở phô màu rực rỡ\n[02= in the full blaze of one's reputation] trong thời kỳ tiếng tăm lừng lẫy nhất\n- sự bột phát; cơn bột phát\n[02= a blaze of anger] cơn giận đùng đùng\n- (số nhiều)(lóng) địa ngục\n[04! to go blazes!]\n- xem [03go]\n[04! like blazes]\n- dữ dội, mãnh liệt, điên lên
blazer [01/'bleizə/]	[01* nđtừ]\n- cháy rực; bùng lửa\n- sáng chói, rực sáng, chiếu sáng\n- (bóng) bừng bừng nổi giận\n[02= he was balzing with fury] anh ta bừng bừng nổi giận\n[04! to blaze away]\n- bắn liên tục\n- nói nhanh và sôi nổi\n- hăng hái nhiệt tình làm (một công việc gì)\n[04! blaze away!]\n- cứ nói tiếp đi!\n[04! to baze up]\n- cháy bùng lên\n- nổi giận đùng đùng\n[01* ngđtừ]\n- đồn, truyền đi (tin tức)\n[02= the news was soon blazerd abroad] tin đó được truyền đi tức khắc\n[01* dtừ]\n- vết lang trán (vết trắng trên trán ngựa hoặc bò)\n- dấu đánh vào cây (để chỉ đường...)\n[01* ngđtừ]\n- đánh dấu vào (cây)\n[04! to blaze a trail]\n- chỉ đường qua rừng bằng cách đánh dấu vào cây\n- (bóng) đi tiên phong; mở đường\n[02= the Soviet Union is the first country to blazer a trail into space] Liên xô là nước đầu tiên mở đường đi vào vũ trụ\n[01* dtừ]\n- (thể thao) áo màu sặc sỡ (bơi thuyền...)\n- (lóng) lời nói dối trắng trợn
blazing [01/'bleiziη/]	[01* ttừ]\n- nóng rực; cháy sáng, rực sáng, sáng chói\n[02= a blazing hot day] một ngày nóng như thiêu như đốt\n[02= blazing sun] mặt trời sáng chói\n- rõ ràng, rành rành, hiển nhiên\n[02= a blazing lie] lời nói dối rành rành\n- (săn bắn) ngửi thấy rõ (hơi con thú)\n[02= blazing scent] hơi (con thú) còn ngửi thấy rõ
blazingly	- xem [03blaze] 
blazon [01/'bleizn/]	[01* dtừ]\n- huy hiệu (in trên mộc)\n- sự tuyên dương công đức (của ai) ; sự ca ngợi (ai)\n[01* ngđtừ]\n- vẽ huy hiệu lên; tô điểm bằng huy hiệu\n- tuyên dương công đức, ca ngợi (ai)\n- (thường) + [02forth, out, abroad]) công bố, truyền đi khắp nơi\n- tô điểm, làm hào nhoáng
blazoner	- xem [03blazon] 
blazonment [01/'bleiznmənt/]	[01* dtừ]\n- sự vẽ huy hiệu; sự tô điểm bằng huy hiệu\n- sự tuyên dương công đức, sự ca ngợi\n- sự công bố\n- sự tô điểm, sự làm hào nhoáng
blazonry [01/'bleizənri/]	[01* dtừ]\n- nghệ thuật làm huy hiệu\n- sự trang trí màu sắc rực rỡ
bldg	- (vt) [03building] công trình xây dựng\n[02= engineering bldg] xưởng cơ khí công trình
bleach [01/bli:t∫/]	[01* đtừ]\n- tẩy trắng, chuội (vải) 
bleacher [01/'bli:t∫ə/]	[01* dtừ]\n- thợ chuội (vải)\n- thuốc chuội\n- thùng chuội\n- ((thường) số nhiều)(Mỹ),(thể thao) chỗ ngồi ở khán đài không có mái che (ở sân vận động) 
bleaching powder [01/'bli:tʃiɳ,paudə/]	[01* dtừ]\n- vôi clorua
bleaching-powder [01/'bli:t∫iη'paudə/]	[01* dtừ]\n- chất tẩy màu trên vải nhuộm (clorua vôi chẳng hạn) ; bột tẩy
bleak [01/bli:k/]	[01* ttừ]\n- trống trải; lạnh lẽo, hoang vắng; ảm đạm\n[02= bleak house] căn nhà lạnh lẽo hoang vắng\n- dãi gió\n[02= a bleak hillside] sườn đồi dãi gió\n[01* dtừ]\n- (động vật) cá mương Âu
bleakly [01/'bli:kli/]	[01* phtừ]\n- thất vọng, chán chường
bleakness	- xem [03bleak] 
blear [01/bliə/]	[01* ttừ]\n- mờ; không nhìn rõ (nắt)\n- lờ mờ, không rõ ràng (đường nét...)\n- không minh mẫn, u mê, đần độn (trí óc)\n[01* ngđtừ]\n- làm mờ (mắt)\n- làm cho lờ mờ\n- làm u mê, làm đần độn
blear-eyed [01/'bliə'aid/]	[01* ttừ]\n- mờ mắt\n- u mê, đần độn
blearily [01/'bliərili/]	[01* phtừ]\n- lờ đờ, mệt mỏi
bleariness	- xem [03bleary] 
bleary [01/'bliəri/]	[01* ttừ]\n- mờ mắt\n- lờ mờ
bleat [01/bli:t/]	[01* dtừ]\n- tiếng be be (của cừu, bê, dê)\n[01* đtừ]\n- kêu be be\n- nói nhỏ nhẻ\n- nói ngớ ngẩn
bleater	- xem [03bleat] 
bled [01/bled/]	[01* dtừ]\n- mụn nước, mụn phỏng (ở da)\n- bong bóng nước, tăm (nước, rượu) ; bọt (thuỷ tinh)\n- (kỹ) rỗ không khí\n[01* thời quá khứ & động tính từ quá khứ của] [03bleed] 
bleed [01/bli:d/]	[01* (bất qui tắc) đtừ bled]\n- chảy máu, mất máu\n- rỉ nhựa (cây cối)\n- đổ máu, hy sinh\n[02= to bleed for one's country] hy sinh cho tổ quốc\n- (y) lấy máu (để thử)\n- bòn rút, ((bóng)) hút máu hút mủ\n- dốc túi, xuỳ tiền ra; bị bòn rút\n- (bóng) thương xót, đau đớn\n[04! to bleed white]\n- xem [03white] 
bleeder [01/'bli:də/]	[01* dtừ]\n- người trích máu\n- (y) người ưa chảy máu (chảy nhiều máu dù chỉ bị một vết thương nhỏ)\n- lẻ bòn rút, kẻ bóc lột, kẻ hút máu hút mủ
bleeding [01/'bli:diη/]	[01* dtừ]\n- sự chảy máu\n- sự trích máu\n- sự rỉ nhựa (cây)\n[01* ttừ]\n- chảy máu
bleeding heart [01/'bli:diη'ha:t/]	[01* dtừ]\n- loại cầy có hoa hình trái tim màu đỏ, hoặc hồng
bleep [01/bli:p/]	[01* dtừ]\n- tiếng bíp bíp (từ vệ tinh Liên xô đầu tiên phát ra)\n[01* nđtừ]\n- phát ra tiếng bíp bíp (vệ tinh) 
bleeper [01/'bli:pə/]	[01* dtừ]\n- thiết bị phát ra tiếng bíp bíp
blellum [01/'bleləm/]	[01* dtừ]\n- (từ cổ, từ Xcôtlân) một người lười biếng chỉ nói mồm
blemish [01/'blemi∫/]	[01* dtừ]\n- tật; nhược điểm, thiếu sót\n- vết nhơ (cho thanh danh, tiếng tăm...)\n[01* ngđtừ]\n- làm hư, làm hỏng, làm xấu\n- làm nhơ nhuốc, làm ô uế (thanh danh của ai...) 
blemisher	- xem [03blemish] 
blench [01/blent∫/]	[01* nđtừ]\n- lùi bước, chùn bước (vì sợ hãi, kinh tởm) ; lẫn tránh\n[01* ngđtừ]\n- nhắm mắt làm ngơ
blencher	- xem [03blench] 
blend [01/blend/]	như [03blent]
blende [01/blend/]	[01* dtừ]\n- (khoáng) blenđơ, xfaêit
blended whisky [01/'blendid,wiski/]	[01* dtừ]\n- úytxki pha (pha những loại úytxki khác với nhau) 
blender [01/'blendə/]	[01* dtừ]\n- máy xay sinh tố
blenny [01/'bleni/]	[01* dtừ]\n- cá lon mây
blent [01/bli:p/]	[01* dtừ]\n- thứ (thuốc lá, chè...) pha trộn\n[01* (bất qui tắc) đtừ blended] /'blendid/, blent\n- /blent/\n- trộn lẫn, pha trộn\n- hợp nhau (màu sắc)\n[02= these two colours blend well] hai màu này rất hợp nhau
blepharitis [01/,blefə'raitis/]	[01* dtừ]\n- bệnh viêm mí mắt
blepharoplast [01/'blefə'rə,plæst/]	[01* dtừ]\n- (sinh học) thể gốc lông
blesbok [01/'bles,bʌk/]	[01* dtừ]\n- loại linh dương ở Nam Phi
bless [01/bles/]	như [03blest]
blessed [01/'blesid/]	[01* ttừ]\n- thần thánh; thiêng liêng\n- hạnh phúc sung sướng; may mắn\n- (nói trại) đáng nguyền rủa; quỷ quái\n[02= that blessed boy!] thằng ranh con quỷ quái
blessed sacrament [01/'blesid 'sækrəmənt/]	[01* dtừ]\n- lễ phước (bánh thánh và rượu dùng trong lễ ban thánh thể) 
blessedly [01/'blesidli/]	như [03obliquely]
blessedness [01/'blesidnis/]	[01* dtừ]\n- phúc lành\n- hạnh phúc; sự sung sướng\n[02= single blessedness] (đùa) thân thể của người không lập gia đình
blesser	- (kỹ) chương trình chuyển hệ thống = [03system switcher] 
blessing [01/'blesiη/]	[01* dtừ]\n- phúc lành\n- kinh (được đọc trước và sau khi ăn)\n- hạnh phúc, điều sung sướng, sự may mắn\n[02= health is the greatest of blessings] sức khoẻ là hạnh phúc lớn nhất\n[02= what a blessing!] thật may mắn quá!\n[02= a blessing in disguise] chuyện không may mà lại hoá may
blest [01/bles/]	[01* (bất qui tắc) ngđtừ] [03blessed] /'blest/, [03blest] /blest/\n- giáng phúc, ban phúc\n- ((thường) dạng bị động) làm cho may mắn, làm cho hạnh phúc\n[02= to be blessed with good health] được may mắn là có sức khoẻ tốt\n- tôn sùng\n- cầu Chúa phù hộ cho\n[04! bless me!; bless my soul!]\n- chao ôi!; trời ôi!\n[04! blest if I saw him!]\n- tớ mà có gặp nó thì trời đánh thánh vật tớ\n[04! to have not a penny to bless oneself with]\n- nghèo rớt mồng tơi, nghèo xác xơ
blet [01/blet/]	[01* dtừ]\n- chỗ ủng, chỗ thối (quả chín quá) 
blether [01/'bleđə/]	[01* dtừ]\n- sự nói bậy bạ; sự ba hoa rỗng tuếch\n[01* nđtừ]\n- nói bậy bạ; nói ba hoa rỗng tuếch
bletherskate [01/'bleđəskeit/]	như [03bletherskite]
bletherskite [01/'bləðəskait/]	[01* dtừ]\n- (tục) người hay nói huyên thiên, người lắm lời, người hay ba hoa
blew [01/blu:/]	[01* thời quá khứ của] [03blow] 
blewits [01/'blu:its/]	[01* dtừ] s/n [02blewits]\n- một loại nấm ăn được (màu hoa cà khi còn non) 
blight [01/blait/]	[01* dtừ]\n- bệnh tàn rụi (cây cối)\n- (động vật) rệp vừng\n- không khì mờ sương\n- ảnh hưởng xâu; tai hoạ\n[01* ngđtừ]\n- làm hại, làm hỏng, làm tàn rụi\n[02= a life blighted by illness] một cuộc đời tàn rụi vì bệnh hoạn
blighter [01/'blaitə/]	[01* dtừ]\n- kẻ phá hoại\n- (lóng) kẻ quấy rầy, thằng cha kho chịu
blighty [01/'blaiti/]	[01* dtừ]\n- (qsự),(lóng) nước Anh\n- nước quê hương (đối với lính ở nước ngoài)\n[04! to have a blighty one]\n- bị một vết thương có thể trở về nước (lính đi đanh nhau ở nước ngoài) 
blimey [01/'blaimi/]	[01* thán từ]\n- ùi !, ồ!
blimp [01/blimp/]	[01* dtừ]\n- khí cầu nhỏ\n- blimp anh chàng ngoan cố phản động (một nhân vật tranh biếm hoạ Anh tượng trưng cho sự ngoan cố, phản động)((cũng) [03Col. blimp] ) 
blimpery [01/'blimpəri/]	[01* dtừ]\n- thái độ ngoan cố, phản đông
blimpish [01/'blimpi∫/]	[01* ttừ]\n- ngoan cố phản động
blimpishness [01/'blimpi∫nis/]	[01* dtừ]\n- tính ngoan cố phản động
blin [01/blin/]	[01* dtừ] s/n [02blini, blinis]\n- bánh kếp truyền thống của nga
blind [01/blaind/]	[01* ttừ]\n- đui mù\n[02= to be blind in (of) one eye] chột mắt\n- (bóng) không nhìn thấy, không thấy được\n[02= she was blind to her son's faults] bà ta không nhìn thấy khuyết điểm của con trai mình\n- mù quáng\n- không có lối ra, cụt (ngõ...)\n[02= a blind wall] tường không có cửa sổ, tường không có cửa ra vào\n[02= blind path] đường không lối ra, ngõ cụt\n- không rõ ràng, khó thấy, khó nhìn\n[02= blind hand] chữ viết khó đọc\n[02= blind letter] thư đề địa chỉ không rõ ràng; thư đề địa chỉ sai\n[02= blind man; blind reader] người phụ trách giải quyết những thư không rõ hoặc sai địa chỉ\n[02= blind stitch] đường khâu lẩn\n[02= a blind ditch] cống ngầm\n- (lóng) say bí tỉ ((cũng) [03blind drunk] )\n[02= blind to the world] say khướt, say bí tỉ\n[04! one's blind side]\n- mặt sơ hở của mình\n[01* dtừ]\n- bức màn che; mành mành, rèm\n[02= roller blind] mành mành cuốn\n[02= venitian blind] mành mành\n- miếng (da, vải) che mắt (ngựa)\n- cớ, bề ngoài giả dối\n- (lóng) chầu rượu bí tỉ\n- (qsự) luỹ chắn, công sự\n- (the blind)(số nhiều) những người mù\n[04! among the blind, the one-eyed man is king]\n- (tục ngữ) xứ mù thằng chột làm vua\n[01* ngđtừ]\n- làm đui mù, làm loà mắt\n- làm mù quáng\n[01* nđtừ]\n- đi liều, vặn ẩu (ô tô, mô tô) 
blind alley [01/'blaind'æli/]	[01* dtừ]\n- ngõ cụt
blind area	- (kỹ) khu vực mù
blind coal [01/'blaind'koul/]	[01* dtừ]\n- antraxit
blind date [01/'blaind 'deit/]	[01* dtừ]\n- cuộc gặp gỡ giữa hai người khác phái mà trước đó chưa hề quen biết nhau
blind flying [01/'blaind'flaiiη/]	[01* dtừ]\n- (hàng không) sự lái mò (không trông thấy được dưới đất hoặc không có hướng dẫn bằng rađiô) 
blind gut [01/'blaindgʌt/]	[01* dtừ]\n- (phẫu) ruột tịt
blind man's holiday [01/'blaindmænz'hɔlədi/]	[01* dtừ]\n- lúc chạng vạng, lúc hoàng hôn
blind pig [01/'blaind'pig/]	[01* dtừ]\n- (Mỹ),(lóng)(như) [03blindtiger] 
blind sopt [01/'blaindspɔt/]	[01* dtừ]\n- (phẫu) điểm mù\n- rađiô vùng cấm
blind spot [01/'blaindspɔt/]	- (kỹ) điểm mù
blind tiger [01/'blaind'taigə/]	[01* dtừ]\n- (Mỹ),(lóng) nơi bán rượu lậu
blind zone	- (kỹ) vùng mù, vùng tối
blindage [01/'blaindidʒ/]	[01* dtừ]\n- (qsự) luỹ chắn công sự
blind-alley [01/'blaind'æli/]	[01* ttừ]\n- không có lối ra, không có tiền đồ\n[02= blind-alley occupation] nghề nghiệp không có tiền đồ
blinder [01/'blaində/]	[01* dtừ]\n- (Anh lóng) lúc say bí tỉ\n- thành tích xuất sắc (trong một trò chơi) 
blinders [01/'blaindəz/]	[01* (bất qui tắc) dtừ s/n]\n- miếng (da, vải) che mắt (ngựa) 
blindfish [01/'blaind,fi∫/]	[01* dtừ]\n- loại cá mắt nhỏ không nhìn thấy được
blindfold [01/'blaindfould/]	[01* ttừ & phtừ]\n- bị bịt mắt\n- mù quáng\n[01* ngđtừ]\n- bịt mắt\n- làm mù quáng
blindfolded	- xem [03blindfold] 
blinding [01/'blaindiη/]	[01* dtừ]\n- đá dăm (cát...)(để) lấp khe nứt ở đường mới làm\n- sự lấp khe nứt ở đường mới làm
blindingly	- xem [03blind] 
blindl-man's-buff [01/,blaindmænz'bʌf/]	như [03blind-man's-buff]
blindly [01/'blaindli/]	[01* phtừ]\n- mù, mù quáng\n- mò mẫm
blind-man's-buff [01/,blaindmænz'bʌf/]	[01* dtừ]\n- trò chơi bịt mắt bắt dê
blindness [01/'blaindnis/]	[01* dtừ]\n- sự đui mù\n- sự mù quáng
blind-story [01/'blaind'stɔ:ri/]	[01* dtừ]\n- (kiến trúc) gác không cửa sổ; tầng vòm không cửa sổ (ở nhà thờ) 
blind-worm [01/'blaind'wɔ:m/]	[01* dtừ]\n- (như) [03slow-worm] 
blingual [01/bai'liɳgwəl/]	[01* ttừ]\n- biết nói hai thứ tiếng\n- (bằng) hai thứ tiếng
blink [01/bliηk/]	[01* dtừ]\n- cái nháy mắt, cái chớp mắt\n- ánh lửa chập chờn, ánh lửa lung linh, ánh sáng nhấp nháy\n- ánh băng (phản chiếu lên chân trời)((cũng) [03ice blink] )\n- (bóng) cái nhìn qua, cái nhìn thoáng\n[04! on the blink]\n- (Mỹ),(lóng) trong tình trạng xấu, trong tình trạng rối loạn lộn xộn\n- hấp hối, sắp chết\n- say khướt, say bí tỉ\n[01* nđtừ]\n- nháy mắt, chớp mắt\n- chập chờn, lung linh, nhấp nháy (ánh sáng)\n- bật đèn, nhấp nháy\n- nhắm mắt lam ngơ\n[02= to blink at someone's fault] nhắm mắt làm ngơ trước lỗi lầm của ai\n[01* nđtừ]\n- nháy, chớp (mắt) ; bật (đèn) nhấp nháy\n- nhắm mắt trước (vấn đề) ; tránh, lẩn tránh\n[02= to blink the facts] không thấy sự thật, nhắm mắt trước sự thật\n[02= to blink the question] lẩn tránh vấn đề
blinker [01/'bliηkə/]	[01* dtừ]\n- (số nhiều) miếng (da, vải) che mắt (ngựa)\n[02= to be (run) in blinker] bi che mắt (đen & bóng)\n- (số nhiều)(lóng) mắt\n- (Mỹ),(qsự) đèn tín hiệu
blinkered [01/'bliηkəd/]	[01* ttừ]\n- (nói về ngựa) bị che mắt\n- hẹp hòi, phiếm diện
blinkers [01/'bliɳkəz/]	[01* dtừ]\n-(số nhiều) miếng (da, vải) che mắt (ngựa)\n[02= to be (run) in blinkers] bị che mắt (đen & bóng) ; (số nhiều)(lóng) mắt; (Mỹ),(qsự) đèn tín hiệu
blinking [01/'bliɳkiɳ/]	- (kỹ) chớp tắt, nhấp nháy () 
blinking cursor	- (kỹ) con trỏ nhấp nháy
blintze [01/'blintsə/]	- Cách viết khác : [03blintz]
blip [01/blip/]	[01* dtừ]\n- đốm sáng trên màn hình radar\n- tiếng nổ lách tách
bliss [01/blis/]	[01* dtừ]\n- hạnh phúc; niềm vui sướng nhất
blissful [01/'blisful/]	[01* ttừ]\n- hạnh phúc, sung sướng
blissfully [01/'blisfʊli/]	[01* phtừ]\n- hạnh phúc, sung sướng
blissfulness [01/'blisfulnis/]	[01* dtừ]\n- niềm hạnh phúc, nỗi sung sướng
blister [01/'blistə/]	[01* dtừ]\n- vết bỏng giộp; chỗ giộp da; chỗ phồng da\n[02= to raise blisters] làm giộp da\n- chỗ bị phồng lên, chỗ bị giộp lên (sơn) ; chỗ rỗ (thuỷ tinh, kim loại)\n- (y) thuốc làm giộp da, cao làm giộp da\n[01* đtừ]\n- làm giộp lên, làm phồng da lên; giộp lên; nổi phồng lên\n- (tục) đánh giập mông đít\n- (tục) quấy rầy, làm phiền (ai) 
blister gas [01/'blistə'gæs/]	[01* dtừ]\n- hơi độc, làm giộp da
