fyord	194-8169-B
garden party	196-7652-B
garden pot	196-7739-B
garden pump	196-7816-B
garden seat	196-6926-B
garden stuff	196-7883-B
garden suburb	196-7000-B
garden truck	196-7088-B
gardener	196-7366-B,263-21247-S,282-23144-S,282-24467-S
gardenia	196-7493-B
gardening	196-7568-B,263-21199-S,263-21313-S,282-23232-S,282-24584-S
garder	196-7948-B
garderobe	196-8005-B
gardism	37-5718-S
gardist	37-5755-S
garefowl	196-8059-B
garfish	196-8132-B
gargantuan	196-8175-B
garget	196-8260-B
gargety	196-8376-B
gargle	196-8461-B
gargoyle	196-8580-B
garibaldi	196-8719-B
garish	196-8836-B
garishly	196-9010-B
garishness	196-9078-B
garland	196-9178-B
garlic	196-9477-B,217-36301-S
garlic eater	196-9554-B
garlicky	196-9621-B
garment	196-9693-B,188-14952-S
garner	196-9903-B
garnet	196-10048-B
garnet berry	196-10105-B
garnet sand	196-10250-B
garnetiferous	196-10184-B
garnierite	196-10337-B
garnish	196-10399-B
garnishee	196-10713-B
garnishing	196-10811-B
garniture	196-10920-B
garote	196-11150-B
garotte	196-11197-B
garotter	196-11402-B
garou	275-11383-S
garpike	196-11551-B
garret	196-11607-B
garret master	196-11883-B
garreteer	196-11687-B
garreting	196-11800-B
garrison	196-12063-B
garrison staff	196-12272-B
garrison town	196-12349-B
garrotte	196-12440-B
garrulity	196-12480-B
garrulous	196-12556-B
garrulously	196-12687-B
garrulousness	196-12741-B
garrupa	196-12795-B
garter	196-12865-B
garter snake	196-13070-B
garth	196-13161-B,179-19276-S
gas	196-13235-B,37-11675-S,51-26507-S,65-4194-S,84-7335-S,241-2668-S,265-11326-S,265-11465-S,282-2757-S,283-5832-S,298-21136-S,300-17146-S,350-14835-S,363-4395-S,378-4280-S,414-30742-S,427-14212-S,463-5083-S,473-9594-S,515-31079-S,517-14139-S
gas alarm	196-14777-B
gas alert	196-14826-B
gas attack	196-14903-B
gas bag	196-14957-B
gas board	196-14044-B
gas bomb	196-15038-B
gas bracket	196-14138-B
gas buoy	196-15094-B
gas burner	196-15151-B
gas chamber	196-15229-B
gas coductor	196-15389-B
gas collector	196-15458-B
gas cooker	196-15811-B
gas cylinder	196-14261-B
gas defence	196-14319-B
gas engine	196-16026-B
gas fared	196-16222-B
gas field	196-16351-B
gas filled capacitor	196-16404-B
gas filled relay	196-16463-B
gas filled thyratron	196-16536-B
gas fire	196-16592-B
gas fired	196-16667-B
gas fitter	196-16742-B
gas fitting	196-16825-B
gas fixture	196-16895-B
gas furnace	196-16976-B
gas heater	196-17264-B
gas helmet	196-17347-B
gas holder	196-17422-B
gas indicator	196-17776-B
gas jar	196-17863-B
gas jet	196-17923-B
gas laser	196-14397-B
gas laser hologram	196-14431-B
gas lime	196-18243-B
gas lit	196-18317-B
gas main	196-18419-B
gas man	196-18583-B
gas mask	196-18695-B
gas meter	196-18742-B
gas mobile	196-18800-B
gas motor	196-18876-B
gas oil	196-19092-B
gas oven	196-19568-B
gas over	196-19708-B
gas phototube	196-14485-B
