telegraphy [01/ti'legrəfi/]	[01* dtừ]\n- phép điện báo, thuật điện báo
telescreen [01/'teliskri:n/]	[01* dtừ]\n- màn ảnh đài truyền hình
telescript	[01* dtừ]\n- kịch bản phim truyền hình
telescriptor [01/,teli'skriptə/]	như [03teleprinter]
telestereoscope [01/,teli'stiəriəskoup/]	[01* dtừ]\n- kính nhìn nổi cảnh xa
teletext [01/'telitekst/]	[01* dtừ]\n- dịch vụ điện toán cung cấp tin tức và các thông tin khác trên màn hình ti vi cho những người đặt thuê
telethon [01/'teliθɒn/]	[01* dtừ]\n- chương trình từ thiện trên truyền hình, chương trình đặc biệt bất thường trên TV nhằm quyên góp cho việc từ thiện
teletype [01/'telitaip/]	[01* dtừ]\n- máy điện báo đánh chữ, têlêtip\n[01* đtừ]\n- dùng máy điện báo đánh chữ\n- gửi bằng điện báo đánh chữ
teletypewriter [01/,teli'taipraitə/]	như [03tranquilize]
teleview [01/'telivju:/]	[01* đtừ]\n- xem truyền hình
televiewer [01/'telivju:ə/]	[01* dtừ]\n- người xem truyền hình
televise [01/'telivaiz/]	[01* ngđtừ]\n- truyền hình\n[02= the meeting will be televised] cuộc mít tinh sẽ được truyền hình
television [01/'teliviʒn/]	[01* dtừ]\n- sự truyền hình\n[02= television set] máy truyền hình
television set [01/,teli'viʒn'set/]	[01* dtừ]\n- máy truyền hình; ti-vi
televisor [01/'telivaizə/]	[01* dtừ]\n- máy truyền hình
telex [01/'teleks/]	[01* dtừ]\n- tê-lếch; hệ thống thông tin liên lạc bằng máy điện báo ghi chữ\n- tê-lếch (tin, thư gửi đi hoặc nhận được bằng tê-lếch)\n- (tục) máy phát và nhận thư bằng tê-lếch; máy tê-lếch\n[01* ngđtừ]\n- gửi (một bức thư) bằng tê-lếch, liên lạc với (ai) bằng tê-lếch
tell [01/tel/]	như [03told]
tell that to the marines!	- tell that to the marines!; (thngữ tell) nói cho ma nó nghe!; tôi không tin anh!
tellable [01/'teləbl/]	[01* ttừ]\n- có thể nói ra được, đáng nói
teller [01/'telə/]	[01* dtừ]\n- người kể chuyện, người hay kể chuyện; người tự thuật\n- người kiểm phiếu\n- người thủ quỹ (ở nhà ngân hàng) 
tellies [01/teliz/]	[01* dtừ s/n]\n- (tục) kỹ thuật truyền hình
telling [01/'teliη/]	[01* ttừ]\n- mạnh, có hiệu quả, đích đáng, đanh thép\n[02= a telling shot] một phát bắn có kết quả\n[02= a telling argument] một lý lẽ đanh thép\n[02= a telling blow] một đồn đích đáng
tellingly	[01* phtừ]\n- có hiệu quả đáng chú ý; gân ấn tượng mạnh
telling-off [01/'teliη'ɔv/]	[01* dtừ]\n- sự rầy la, sự mắng nhiếc
telltale [01/'telteil/]	[01* dtừ]\n- người mách lẻo, người hớt lẻo\n- cái làm lộ chân tướng, cái làm lộ tẩy\n- đồng hồ kiểm tra; thiết bị báo hiệu\n[01* ttừ]\n- mách lẻo, hớt lẻo\n- (bóng) làm lộ chân tướng, làm lộ tẩy\n[02= telltale blushes] những cái đỏ mặt làm lộ tẩy
telluric [01/te'ljuərik/]	[01* ttừ]\n- (thuộc) đất\n[02= the telluric current] dòng điện đất\n- (hoá) Teluric
tellurium [01/te'ljuəriəm/]	[01* dtừ]\n- (hoá) Telua
telly [01/'teli/]	[01* dtừ]\n- (tục) máy truyền hình
telnet	- Trong các máy dựa vào hệ điều hành UNIX và được nối vào mạng Internet, đây là một chương trình cho phép người sử dụng tiến hành thâm nhập vào các máy tính ở xa thông qua các ghép nối TCP/IP
telo- [01/'telo(u) -/]	- (hiếm) xem [03tele-] 
telotype [01/'telətaip/]	như [03teleprinter]
telpher [01/'telfə/]	[01* dtừ]\n- xe chạy cáp treo\n[01* ttừ]\n- bằng cáp treo
telpherage [01/'telfəridʒ/]	[01* dtừ]\n- sự vận tải bằng cáp treo
tem	- mười
temblor [01/tem'blɔ:/]	[01* dtừ]\n- (Mỹ) trận động đất
temerarious [01/,temə'reəriəs/]	[01* ttừ]\n- táo bạo, cả gan, liều lĩnh\n[02= temerarious hypothesis] giả thuyết táo bạo\n[02= a temerarious act] một hành động liều lĩnh
temerity [01/ti'merəti/]	[01* dtừ]\n- sự táo bạo, sự cả gan, sự liều lĩnh
temp [01/'temp/]	[01* dtừ]\n- nhân viên tạm thời (nhất là thư ký)\n[01* nđtừ]\n- (tục) làm công việc tạm thời\n[01* (vt)]\n- nhiệt độ ([03temperature] ) 
temper [01/'tempə/]	[01* dtừ]\n- tính tình, tình khí, tâm tính, tính\n[02= to have a violent (quick) temper] tính nóng nảy\n- tâm trạng\n[02= to be in a bad temper] bực tức, cáu kỉnh\n- sự tức giận, sự cáu kỉnh; cơn giận, cơn thịnh nộ\n[02= a fit of temper] cơn giận\n[02= to get (fly) into a temper] nổi cơn giận, nổi cơn tam bành\n[02= to be in a temper] đang lúc giận dữ\n- sự bình tĩnh\n[02= to keep (control) one's temper] giữ bình tĩnh\n[02= to be out of temper; to lose one's temper] mất bình tĩnh, nổi nóng, cáu\n- tính cứng (của thép...)\n- sự nhào trộn (vữa...)\n[01* ngđtừ]\n- hoà (vôi...), nhào trộn (vữa...)\n- tôi (thép...)\n- tôi luyện\n- làm dịu đi, làm giảm đi, bớt đi; cầm lại, ngăn lại, kiềm chế\n[02= to temper one's impetuosity] kiềm chế được tính hăng của mình
tempera [01/'tempərə/]	[01* dtừ]\n- (hội họa) màu keo
temperament [01/'temprəmənt/]	[01* dtừ]\n- khí chất, tính khí, tính\n[02= an artistic temperament] tính nghệ sĩ
temperamental [01/,temprə'mentl/]	[01* ttừ]\n- (thuộc) khí chất, (thuộc) tính khí\n- hay thay đổi, bất thường; đồng bóng (tính tình) 
temperamentally [01/,temprə'mentəli/]	[01* phtừ]\n- do tính khí một người gây ra\n- thất thường, hay thay đổi; không bình tựnh, không kiên định; đồng bóng (tính khí của người, xe) 
temperance [01/'tempərəns/]	[01* dtừ]\n- sự chừng mực, sự vừa phải; tính điều độ\n- sự giữ gìn, sự thận trọng, sự đắn đo (trong lời nói...)\n- sự ăn uống điều độ; sự không dùng rượu mạnh\n[02= temperance hotel] khách sạn không bán rượu mạnh\n[02= temperance movement] phong trào vận động hạn chế rượu mạnh
temperate [01/'tempərət/]	[01* ttừ]\n- có chừng mực, vừa phải, điều độ\n- ôn hoà\n[02= temperate climate] khí hậu ôn hoà\n- đắn đo, giữ gìn (lời nói) 
temperately [01/'tempərətli/]	[01* phtừ]\n- cư xử có chừng mực; tỏ ra tự kiềm chế; điều độ\n- có nhiệt độ ôn hoà (khí hậu không nóng quá, không lạnh quá) 
temperateness [01/'tempərətnis/]	[01* dtừ]\n- tính có chừng mực, tính điều độ\n- tính ôn hoà (khí hậu)\n- tính đắn đo, tính giữ gìn (trong lời nói...) 
temperature [01/'temprət∫ə/]	[01* dtừ]\n- nhiệt độ\n[02= to take someone's temperature] đo (lấy) độ nhiệt cho ai\n[02= to have (run) a temperature] lên cơn sốt
temperer [01/'tempərə/]	[01* dtừ]\n- (kỹ) thợ tôi (sắt, thép)\n- người nhào trộn (hồ, vữa) 
tempering [01/'temp(ə) riη/]	[01* dtừ]\n- sự tôi (thép)\n- (kiến trúc) sự trộn vữa\n- sự hoà trộn; sự xáo trộn
tempest [01/'tempist/]	[01* dtừ]\n- bão, dông tố\n- (bóng) sự hỗn loạn, sự huyên náo\n[01* ngđtừ]\n- (Mỹ) gây bão tố, làm náo động dữ dội
tempest-beaten [01/'tempist'bi:tn/]	[01* ttừ]\n- bị bão vùi dập tàn phá
tempest-tossed [01/'tempist'tost/]	[01* ttừ]\n- bị bão làm tròng trành (tàu thuyền) 
tempestuous [01/tem'pest∫uəs/]	[01* ttừ]\n- dông bão, dông tố, bão tố\n- (bóng) dữ dội, huyên náo
tempestuously [01/tem'pest∫uəsli/]	[01* phtừ]\n- giông bão, giông tố, rung chuyển dữ dội, mãnh liệt\n- <bóng> dữ dội, huyên náo, náo động
tempestuousness [01/tem'pest∫uəsnis/]	[01* ttừ]\n- giông bão, giông tố, sự rung chuyển dữ dội, sự mãnh liệt\n- <bóng> sự dữ dội, sự huyên náo, sự náo động
tempi [01/'tempai/]	[01* dtừ] s/n [02tempos, tempi]\n- (âm nhạc) độ nhanh\n- nhịp, nhịp độ\n[02= at a quick tempo] với nhịp độ nhanh
templar [01/'templə/]	[01* dtừ]\n- học sinh luật; nhà luật học
template [01/'templeit/]	[01* dtừ]\n- (kỹ) mẫu, dưỡng
temple [01/'templ/]	[01* dtừ]\n- đến, điện, miếu, thánh thất, thánh đường\n- (phẫu) thái dương\n- cái căng vải (trong khung cửi) 
templet [01/'templit/]	như [03template]
tempo [01/'tempou/]	như [03tempi]
temporal [01/'tempərəl/]	[01* ttừ]\n- (thuộc) thời gian\n[02= temporal concept] khái niệm thời gian\n- (thuộc) trần tục, (thuộc) thế tục; (thuộc) thế gian\n[02= the temporal power of the pope] quyền thế tục của giáo hoàng\n[01* ttừ]\n- (phẫu)(thuộc) thái dương\n[01* dtừ]\n- xương thái dương
temporality [01/,tempə'ræliti/]	[01* dtừ]\n- (pháp lý) tính chất tạm thời\n- ((thường) số nhiều) tài sản hoa lợi thế tục (của một tổ chức tôn giáo)((cũng) [03temporalty] ) 
temporalty [01/'tempərəlti/]	[01* dtừ]\n- người ngoài đạo, ngương lương, người tục\n- ((thường) số nhiều) tài sản hoa lợi thế tục (của một tổ chức tôn giáo)((cũng) [03temporality] ) 
temporariness [01/'temprərənis/]	[01* dtừ]\n- tính chất tạm thời, tính chất nhất thời, tính chất lâm thời
temporary [01/'temprəri/]	[01* ttừ]\n- tạm thời, nhất thời, lâm thời\n[02= temporary success] thắng lợi nhất thời\n[02= temporary power] quyền hành tạm thời\n[02= temporary rest] sự nghỉ ngơi chốc lác
temporisation [01/,tempərai'zei∫n/]	như [03temporization]
temporise [01/'tempəraiz/]	như [03temporize]
temporization [01/,tempərai'zei∫n/]	[01* dtừ]\n- sự trì hoãn, sự chờ thời; kế hoãn binh\n- sự điều đình, sự thoả thuận, sự hoà giải tạm thời\n- sự thích ứng với hoàn cảnh, sự tuỳ cơ ứng biến
temporize [01/'tempəraiz/]	[01* nđtừ]\n- trì hoãn, chờ thời, chờ cơ hội, đợi thời cơ\n- điều đình, thoả thuận, hoà giải tạm thời\n- thích ứng với hoàn cảnh, tuỳ cơ ứng biến\n[02= a temporizing politician] một nhà chính trị biết tuỳ cơ ứng biến
temporizer [01/'tempəraizə/]	[01* dtừ]\n- người trì hoãn, người chờ thời\n- người biết thích ứng với hoàn cảnh, người biết tuỳ cơ ứng biến
tempt [01/tempt/]	[01* ngđtừ]\n- xúi, xúi giục\n[02= to tempt someone to evil] xúi ai làm điều ác\n- cám dỗ, quyến rũ, nhử, làm thèm, gợi thèm\n[02= to tempt the appetite] làm cho thèm ăn
temptation [01/tem(p) 'tei∫(ə) n/]	[01* dtừ]\n- sự xúi giục\n- sự cám dỗ, sự quyến rũ\n[02= to resist temptation] chống lại sự cám dỗ
tempter [01/'temptə/]	[01* dtừ]\n- người xúi giục\n- người cám dỗ, người quyến rũ\n[04! the Tempter]\n- ma vương, quỷ xa tăng
tempting [01/'temptiη/]	[01* ttừ]\n- xúi giục\n- cám dỗ, lôi cuốn, khêu gợi, gây thèm
temptingly [01/'temptiηli/]	[01* phtừ]\n- xúi giục, khích, lôi kéo\n- hấp dẫn, khêu gợi, mời chào, cám dỗ, lôi cuốn, gây thèm
temptress [01/'temptris/]	[01* dtừ]\n- người đàn bà cám dỗ, người đàn bà quyến rũ
tempura [01/tem'pʊərə/]	[01* dtừ]\n- món ăn Nhật, món Tem-pu-ra (cá, hải sâm chiên với nước sốt, món sốt cá-cua-tôm...) 
ten [01/ten/]	[01* ttừ]\n- mười, chục\n[02= to be ten] lên mười (tuổi)\n[01* dtừ]\n- số mười\n- nhóm mười, bộ mười\n[02= in tens] từng mười, từng bộ mười\n- quân bài mười\n- (Mỹ),(tục) tờ mười đô la\n[04! the upper ten]\n- tầng lớp quý tộc
ten pence [01/,ten'pi:/]	[01* dtừ]\n- đồng tiền trị giá mười penni mới (10 p) 
tenability [01/,tenə'biləti/]	như [03tenableness]
tenable [01/'tenəbl/]	[01* ttừ]\n- giữ được, bảo vệ được, cố thủ được (vị trí, địa vị, đồn luỹ...)\n[02= a tenable town] thành phố cố thủ được\n- cãi được, biện hộ được, bảo vệ được (lập luận, lý lẽ...) ; lôgic\n[02= a tenable theory] một lý thuyết có thể bảo vệ được\n[02= a tenable solution] một giải pháp lôgic
tenableness [01/'tenəblnis/]	[01* dtừ]\n- tính có thể giữ được, tính có thể bảo vệ được, tính có thể cố thủ được\n- tính chất có thể cãi được, tính chất có thể biện hộ được; tính chất lôgic
tenacious [01/ti'nei∫əs/]	[01* ttừ]\n- dai, bền, bám chặt\n[02= tenacious memory] trí nhớ dai\n[02= the colonialists are very tenacious of their privileges] bọn thực dân bám chặt lấy những đặc quyền của chúng\n- bền bỉ, dẻo dai, ngoan cường, kiên trì\n[02= tenacious courage] sự dũng cảm ngoan cường\n- gan lì, ngoan cố
tenaciously [01/ti'nei∫əsli/]	[01* phtừ]\n- dai, không quên (trí nhớ)\n- siết chặt, bám chặt (vào một vật)\n- ngoan cường, kiên trì; kiên quyết; nắm giữ, bám chắc (tài sản, nguyên tắc, đời sống)\n- gan lì, ngoan cố (người) 
tenaciousness [01/ti'nei∫əsnis/]	[01* dtừ]\n- tính chất dai, tính chất bền, tính bám chặt\n- tính bền bỉ, tính dẻo dai, tính ngoan cường, tính kiên trì\n- tính gan lì, tính ngoan cố
tenacity [01/ti'næsəti/]	như [03tenaciousness]
tenancy [01/'tenənsi/]	[01* dtừ]\n- sự thuê, mướn (nhà, đất...), sự lĩnh canh\n[02= expiration of tenancy] sự mãn hạn thuê\n- thời gian thuê mướn, thời gian lĩnh canh\n[02= during his tenancy of the house] trong thời gian anh ta thuê nhà\n- nhà thuê, đất thuê mướn
tenant [01/'tenənt/]	[01* dtừ]\n- người thuê mướn (nhà, đất...)\n- tá điền\n- người ở, người chiếm cứ\n[01* ngđtừ]\n- thuê (nhà, đất)\n- ở, ở thuê
tenantable [01/'tenəntəbl/]	[01* ttừ]\n- có thể thuê được, có thể ở thuê được (nhà đất...) 
tenantless [01/'tenəntlis/]	[01* ttừ]\n- không có người thuê\n- không có người ở
tenantry [01/'tenəntri/]	[01* dtừ]\n- những tá điền; những người thuê nhà đất
ten-cent store [01/'ten'sent'stɔ:/]	[01* dtừ]\n-(Mỹ) cửa hàng bách hoá bán giá rẻ
tench [01/tent∫/]	[01* dtừ]\n- (động vật) cá tinca (họ cá chép) 
tend [01/tend/]	[01* ngđtừ]\n- trông nom, săn sóc, chăm sóc, chăm nom, giữ gìn\n[02= to tend a patient] chăm sóc người bệnh\n[02= to tend a garden] chăm nom khu vườn\n[02= to tend a machine] trông nom giữ gìn máy móc\n[01* nđtừ]\n- (+[04 on, upon]) theo, theo hầu, hầu hạ, phục vụ\n[02= to tend upon someone] phục vụ ai\n- quay về, xoay về, hướng về, đi về\n- hướng tới, nhắm tới\n[02= all their efforts tend to the same object] tất cả những cố gắng của chúng đều cùng nhằm tới một mục đích\n- có khuynh hướng
tendance [01/'tendəns/]	[01* dtừ]\n- sự trông nom; sự chăm sóc\n- sự phục vụ; sự hầu hạ\n- những người phục vụ (nói chung) ; đoàn tùy tùng
tendencious [01/ten'den∫əs/]	- xem [03tendentious] 
tendency [01/'tendənsi/]	[01* dtừ]\n- xu hướng, khuynh hướng\n[02= the tendency to socialism] xu hướng về chủ nghĩa xã hội\n[02= a growing tendency] một khuynh hướng ngày càng rõ
tendential [01/ten'den∫əl/]	[01* ttừ]\n- có xu hướng, có khuynh hướng\n- có dụng ý, có tính toán; có mục đích, có động cơ\n[02= tendentious reports] những bản báo cáo có dụng ý
tendentious [01/ten'den∫əs/]	như [03tendential]
tendentiously [01/ten'den∫əsli/]	[01* phtừ]\n- có xu hướng, có khuynh hướng\n- có dụng ý, có tính toán; có mục đích, có động cơ, có ý đồ; thiên vị
tendentiousness [01/ten'den∫əsnis/]	[01* ttừ]\n- sự có xu hướng, sự có khuynh hướng\n- sự có dụng ý, sự có tính toán; sự có mục đích, sự có động cơ, sự sự có ý đồ; sự thiên vị
tender [01/'tendə/]	[01* ttừ]\n- mềm\n[02= tender meat] thịt mềm\n- non\n[02= tender grass] cỏ non\n[02= to be of tender age] còn non trẻ\n- dịu, phơn phớt\n[02= tender green] màu lục dịu\n- mỏng mảnh, mảnh dẻ, yếu ớt\n- nhạy cảm, dễ cảm, dễ xúc động\n[02= a tender heart] trái tim dễ xúc động, tấm lòng nhạy cảm\n- dịu dàng, êm ái, mềm mỏng, dễ thương, dễ thương, âu yếm\n[02= a tender mother] bà mẹ dịu dàng\n- tế nhị, tinh vị, khó xử, khó nghĩ\n[02= a tender subject (question)] một vấn đề tế nhị\n[02= a tender place (spot)] điểm dễ làm chạm lòng\n- kỹ lưỡng, cẩn thận, thận trọng, giữ gìn; rụt rè, câu nệ\n[02= very tender of one's honour] rất thận trọng giữ gìn danh dự\n[01* dtừ]\n- người trôn nom, người chăn, người giữ\n- toa than, toa nước (xe lửa)\n- (hàng hải) tàu liên lạc, xuống tiếp liệu\n- sự đề nghị, sự mời, sự yêu cầu\n- sự bỏ thầu\n[01* ngđtừ]\n- đề nghị, mời, yêu cầu, xin\n[02= to tender one's service] đề nghị xin được phục vụ\n[02= to tender one's resignation] đưa đơn xin từ chức\n- (pháp lý) bắt thề, bắt tuyên thệ\n[02= to tender an oath to someone] bắt người nào thề\n- bỏ thầu\n[02= to tender money] bỏ thầu tiền mặt\n[01* nđtừ]\n- bỏ thầu\n[02= to tender for the construction of a bridge] bỏ thầu xây dựng một cái cầu
tenderer [01/'tendərə/]	[01* dtừ]\n- người bỏ thầu
tender-eyed [01/'tendəraid/]	[01* ttừ]\n- có con mắt dịu hiền\n- kém mắt
tenderfeet [01/'tendərə/]	[01* dtừ] s/n [03tenderfeet]\n- người mới đến (một vùng khai hoang, chưa quen gian khổ)\n- (Mỹ) sói con (hướng đạo)\n- (tục) người mới gia nhập (đoàn thể) ; người mới học việc; người mới tu
tenderfoot [01/'tendəfut/]	như [03tenderfeet]
tender-hearted [01/'tendə'hɑ:tid/]	[01* ttừ]\n- dịu hiền; nhạy cảm; có bản chất tốt bụng và dịu dàng
tenderise [01/'tendəraiz/]	[01* ngđtừ]\n- làm cho (thịt) mềm hơn (bằng cách giần) 
tenderize [01/'tendəraiz/]	như [03tenderise]
tenderloin [01/'tendəlɔin/]	[01* dtừ]\n- thịt thăn\n- (Mỹ) khu vực giải trí (ở Niu-oóc và các thành phố lớn) 
tenderloin steak [01/'tendəlɔin'steik/]	[01* dtừ]\n- thịt thăn (phần giữa mềm nhất của miếng thịt lưng bò, lợn) 
tenderly [01/'tendəli/]	[01* phtừ]\n- mềm, dễ nhai, không dai (thịt)\n- non\n- dịu, phơn phớt\n- mềm yếu, mỏng mảnh, dễ gẫy, dễ vỡ, dễ bị hỏng\n- nhạy cảm, dễ xúc động, dễ tổn thương; tốt; nhân hậu (người)\n- âu yếm, dịu dàng\n- tế nhị; khó xử, khó nghĩ\n- kỹ lưỡng, cẩn thận, thận trọng, giữ gìn; rụt rè, câu nệ
tenderness [01/'tendənis/]	[01* dtừ]\n- tính chất mềm (của thịt...)\n- tính chất non (của rau...)\n- sự mỏng mảnh, sự yếu ớt, sự mềm yếu\n- tính nhạy cảm, tính dễ cảm\n- sự dịu hiền, sự thương mến âu yếm\n- sự chăm sóc, sự ân cần\n- sự tế nhị\n- tính kỹ lưỡng, tính cẩn thận, tính thận trọng, tính giữ gìn
tendiness [01/'tendini:z/]	- số nhiều của [03tendo]
tendinous [01/'tedinəs/]	[01* ttừ]\n- (thuộc) gân
tendo [01/'tendou/]	[01* dtừ s/n tendines]\n- xem [03tendon] 
tendon [01/'tendən/]	[01* dtừ]\n- (phẫu) gân
tendresse [01/ta:η'dres/]	[01* dtừ]\n- xem [03tenderness] 
tendril [01/'tendrəl/]	[01* dtừ]\n- (thực vật) tua (của cây leo)\n- vật xoán hình tua\n[02= a tendril of hair] một sợi tóc xoắn
tenebrous [01/'tenibrəs/]	[01* ttừ]\n- (cổ) tối tăm, u ám
tenement [01/'tenəmənt/]	[01* dtừ]\n- nhà ở, phòng ở\n- (pháp lý) đất đai nhà cửa hưởng dụng\n- nhà nhiều buồng, nhà tập thể
tenement house [01/'tenəmənt'haus/]	[01* dtừ]\n- (Mỹ) nhà tập thể, chung cư
tenet [01/'tenit/]	[01* dtừ]\n- giáo lý; chủ nghĩa
tenfold [01/'tenfould/]	[01* ttừ & phtừ]\n- gấp mười, mười lần\n[02= tenfold bigger] mười lần to hơn\n[02= to increase tenfold] tăng lên gấp mười lần
tenia [01/'ti:niə/]	- xem [03taenia] 
tenner [01/'tenə/]	[01* dtừ]\n- (tục) giấy mười bảng (Anh) ; giấy mười đô la (Mỹ) 
tennis [01/'tenis/]	[01* dtừ]\n- (thể thao) quần vợt
tennis elbow [01/'tenis'elbou/]	[01* dtừ]\n- sự sưng và đau khủyu tay (do chơi quần vợt) 
tennis-ball [01/'tenis'bɔ:l/]	[01* dtừ]\n- bóng quần vợt
tennis-court [01/'tenis'kɔ:t/]	[01* dtừ]\n- sân quần vợt
tennis-racket [01/'tenis,rækit/]	[01* dtừ]\n- vợt quần vợt
tenon [01/tenən/]	[01* dtừ]\n- mộng (đồ mộc...)\n[01* ngđtừ]\n- cắt mộng\n- ghép mộng
