foresightedness	186-23551-B
four	188-17321-B,84-3184-S,339-1747-S,414-26138-S,482-14178-S
four ale	188-18265-B
four by two	188-18139-B
four colour	188-18513-B
four cornered	188-18573-B
four coupled	188-18638-B
four course	188-18713-B
four dimensional	188-18817-B
four engined	188-18944-B
four flusher	188-19011-B
four foot way	188-19191-B
four footed	188-19290-B
four group	188-19425-B
four handed	188-19477-B
four horse	188-19623-B,188-19657-B
four horsed	188-19782-B
four in hand	188-20332-B
four legged	188-20389-B
four letter word	188-20439-B
four limbed	188-20515-B
four master	188-20572-B
four o clock	188-20783-B
four oar	188-20662-B
four part	188-20863-B
four pence	188-20938-B
four penny	188-18207-B
four pin	188-21047-B
four place	188-21099-B
four ply	188-21223-B
four pole	188-21316-B
four post	188-21363-B
four poster	188-21433-B
four pounder	188-21533-B
four seater	188-21964-B
four square	188-22360-B
four stage	188-22483-B
four stroke	188-22541-B
four way	188-23646-B
four wheel	188-23742-B
four wheeler	188-23800-B
fourchette	188-18384-B
fourfold	188-19123-B
fourgon	188-19368-B
fourhorsed	188-19729-B
fourier analysis	188-19849-B
fourier s integral	188-20284-B
fourier series	188-19907-B
fourier theorem	188-19967-B
fourier transform	188-20012-B
fourier transformation	172-18314-S
fourierism	188-20060-B
fourierist	188-20202-B
fourmo	481-31814-S
fourplex	188-21161-B
fours	188-21640-B,13-22822-S,349-9257-S
fourscore	188-21849-B
foursome	188-22032-B
foursquare	188-22153-B
fourteen	188-22649-B
fourteenth	188-22785-B
fourth	188-22972-B
fourth estate	188-23256-B
fourth generation language	188-23442-B
fourth normal form	188-23379-B
fourthly	188-23514-B
fourto	188-23565-B
fovea	188-23869-B
foveae	188-23906-B
foveal	188-23969-B
foveate	188-24009-B
foveola	189-0-B
foveolae	189-45-B
foveolate	189-118-B
foveolated	189-166-B
foward	457-9909-S
fowl	189-231-B,195-16710-S,210-19421-S,257-11829-S,407-2721-S,420-17153-S
fowl pest	189-427-B
fowl run	189-723-B
fowler	189-496-B
fowling	189-580-B
fowling piece	189-658-B
fox	189-806-B,184-11065-S,420-21524-S
fox brush	189-1573-B
fox burrow	189-1630-B
fox chase	189-1685-B
fox cub	189-1745-B
fox earth	189-1798-B
fox sleep	189-2590-B
fox terrier	189-2743-B
fox trap	189-2903-B
foxglove	189-1846-B
foxhole	189-1926-B
foxhound	189-1989-B
foxhunt	189-2046-B
foxhunter	189-2152-B
foxhunting	189-2227-B
foxiness	189-2378-B
foxlike	189-2455-B
foxship	189-2532-B
foxtail	189-2656-B
foxtrot	189-2956-B
foxy	189-3057-B
foyer	189-3259-B
fpa	189-3332-B
fr	189-3438-B
fra	189-3590-B
fracas	189-3666-B
fractal	189-3771-B
fractile	189-3839-B
fractinal	189-3883-B
fraction	189-3929-B,90-12520-S,151-11089-S,153-6011-S,235-27803-S,364-27007-S,421-4163-S,513-10272-S
fractional	189-4059-B
fractional dimension	189-4244-B
fractional part	189-4296-B
fractionary	189-4357-B
fractionate	189-4455-B
fractionator	189-4534-B
fractionise	189-4611-B
fractionize	189-4727-B
fractious	189-4781-B
fractiousness	189-4966-B
fracture	189-5112-B,421-4336-S
fraenulum	189-5350-B
fraenum	189-5484-B
frag	189-5591-B
frag bomb	189-5664-B
fragile	189-5764-B
fragileness	189-6005-B
fragility	189-6086-B
fragment	189-6260-B
fragmentary	189-6646-B
fragmentation	189-6847-B
fragmentation bomb	189-6927-B
fragrance	189-6994-B
fragrancy	189-7041-B
fragrant	189-7131-B
frail	189-7206-B
frailty	189-7578-B
fraise	189-7823-B
framboesia	189-7939-B
framboise	189-8023-B
frame	189-8105-B,12-6633-S,82-14407-S,82-14547-S,82-14749-S,86-13773-S,90-17391-S,114-16329-S,137-7625-S,139-22114-S,152-3711-S,193-18404-S,196-7415-S,201-26253-S,209-19092-S,324-5355-S,361-20382-S,401-4862-S,402-3225-S,435-14501-S,443-8097-S,444-17823-S,461-12338-S,468-13879-S,520-26051-S,520-28175-S
frame blanking	189-9232-B
frame buffer	189-9267-B
frame check sequence	189-9313-B
frame house	189-9707-B
frame level	189-9900-B
frame of reference	189-9368-B
frame relay	189-9444-B
frame saw	189-10004-B
frame synchronize	189-9505-B
frame timebase	189-9556-B
frame tracking	189-9601-B
frame transfer device	189-9642-B
frame up	189-10064-B
frameless	189-9816-B
framework	189-10136-B
framing	189-10570-B
framing bit	189-10781-B
framing control	189-10821-B
