deliberate	120-6845-B
deployment	122-19791-B
deplumation	122-19880-B
deplume	122-20004-B
depolarisation	122-20046-B
depolarise	122-20129-B
depolarization	122-20181-B
depolarize	122-20262-B
depolarizer	122-20330-B
depone	122-20405-B
deponent	122-20468-B
depopulate	122-20628-B
depopulation	122-20815-B
depopulator	122-20890-B
deport	122-20968-B
deportation	122-21089-B
