iniquity	243-8212-B
innumeracy	244-3628-B
innumerate	244-3728-B
innumerous	244-3862-B
innutrition	244-3914-B
innutritious	244-3990-B
inobservance	244-4074-B
inobservant	244-4239-B
inoccupation	244-4383-B
inoculability	244-4469-B
inoculable	244-4597-B
inoculant	244-4704-B
inoculate	244-4798-B
inoculation	244-5016-B
inoculative	244-5160-B
inoculator	244-5265-B
inoculum	244-5379-B
inodorous	244-5426-B
inodorousness	244-5474-B
inoffensive	244-5547-B
inoffensively	244-5699-B
inoffensiveness	244-5775-B
inofficious	244-5958-B
inofficiousness	244-6186-B
inoperable	244-6319-B
inoperably	244-6401-B
inoperative	244-6434-B
inoperativeness	244-6640-B
inopportune	244-6798-B
inopportunely	244-6898-B
inopportuneness	244-6990-B
inordinacy	244-7115-B
inordinate	244-7148-B
inordinately	244-7314-B
inordinateness	244-7388-B
inorganic	244-7556-B
inorganically	244-7688-B
inorganization	244-7772-B
inornate	244-7876-B
inosculate	244-7973-B
inosculation	244-8119-B
inotropic	244-8288-B
inpatient	244-8456-B
inpectable	244-8592-B
inpetto	244-8643-B
inpour	244-8726-B
inpouring	244-8785-B
input	244-8860-B,67-20646-S,91-10811-S,114-16581-S
input circuit	244-9233-B
input device	244-9330-B
input filter	77-13473-S
input output	244-9444-B
input output statement	187-15652-S
input to computers	177-25393-S
inqiury	244-9544-B
inquest	244-9626-B
inquietude	244-10038-B
inquiline	244-10177-B
inquirable	244-10316-B
inquire	244-10385-B
inquirer	244-10726-B
inquiring	244-10811-B
inquiringly	244-11021-B
inquiry	244-11090-B,104-10134-S,114-19699-S,130-7499-S,156-1895-S
inquiry agent	244-11210-B
inquiry character	156-1956-S
inquisition	244-11281-B
inquisitional	244-11449-B
inquisitionist	244-11651-B
inquisitive	244-11809-B
inquisitively	244-11891-B
inquisitiveness	244-11974-B
inquisitor	244-12081-B
inquisitorial	244-12134-B
inquisitorially	244-12416-B
inquisitorialness	244-12493-B
inradius	244-12701-B
inroad	244-12748-B
inrush	244-12825-B
ins	442-20389-S
ins and outs	244-12911-B
insalivate	244-13383-B
insalivation	244-13482-B
insalubrious	244-13589-B
insalubriously	244-13695-B
insalubrity	244-13734-B
insane	244-13850-B
insane asylum	244-13921-B
insanely	244-14045-B
insaneness	244-14114-B
insanitariness	244-14209-B
insanitary	244-14304-B
insanitation	244-14381-B
insanity	244-14516-B
insatiability	244-14660-B
insatiable	244-14781-B
insatiableness	244-14881-B
insatiably	244-14918-B
insatiate	244-14985-B
insatiately	244-15058-B
insatiateness	244-15091-B
insatiety	244-15177-B
inscape	244-15230-B
inscribable	244-15411-B
inscribableness	244-15582-B
inscribe	244-15843-B
inscriber	244-16106-B
inscription	244-16152-B
inscriptional	244-16334-B
inscriptionless	244-16481-B
inscriptive	244-16634-B
inscriptively	244-16898-B
inscroll	244-16935-B
inscrutability	244-17023-B
inscrutable	244-17088-B
inscrutableness	244-17373-B
inscrutably	244-17536-B
inseam	244-17609-B
insect	244-17700-B,84-19527-S,210-12991-S,266-10546-S
insect eater	244-18246-B
insectan	244-17838-B
insectaria	244-17897-B
insectarium	244-18103-B
insectary	244-18158-B
insecticidal	244-18314-B
insecticidally	244-18376-B
insecticide	244-18414-B
insectifuge	244-18479-B
insectile	244-18534-B
insectival	244-18637-B
insectivore	244-18720-B
insectivorous	244-18799-B
insectologer	244-18878-B
insectology	244-18960-B
insecure	244-19059-B
insecurely	244-19314-B
insecureness	244-19412-B
insecurity	244-19532-B
inseminate	244-19735-B
insemination	244-19834-B
inseminator	244-19986-B
insensate	244-20020-B
insensately	244-20140-B
insensateness	244-20226-B
insensibility	244-20383-B
insensible	244-20537-B
insensibleness	244-20778-B
insensibly	244-20815-B
insensitive	244-20885-B
insensitively	244-21033-B
insensitiveness	244-21070-B
insensitivity	244-21177-B
insentience	244-21238-B
insentiency	244-21308-B
insentient	244-21362-B
inseparability	244-21426-B
inseparable	244-21491-B
inseparableness	244-21736-B
inseparably	244-21869-B
inseribed	244-21973-B
inserible	244-21998-B
insert	244-22027-B
inserter	244-22384-B
insertion	244-22411-B
insertional	244-22716-B
insessorial	244-22877-B
inset	244-22995-B
inseverable	244-23236-B
inshore	244-23347-B
inside	244-23451-B
inside lane	244-23972-B
inside left	244-24068-B
inside right	244-24150-B
inside track	244-24234-B
insider	244-24369-B
insider dealing	244-24636-B
insidious	245-0-B
insidiously	245-108-B
insidiousness	245-181-B
insight	245-320-B
insightful	245-507-B
insightfully	245-575-B
insightfulness	245-612-B
insigne	245-649-B
insignia	245-729-B
insignificance	245-889-B
insignificancy	245-951-B
insignificant	245-1096-B
insignificantly	245-1215-B
insincere	245-1300-B
insincerely	245-1397-B
insincerity	245-1430-B
insinuate	245-1611-B
insinuating	245-1923-B
insinuatingly	245-2043-B
insinuation	245-2080-B
insinuative	245-2315-B
insinuator	245-2450-B
insinuatory	245-2578-B
insipid	245-2611-B
insipidity	245-2722-B
insipidly	245-2870-B
insipidness	245-2935-B
insipience	245-2985-B
insipient	245-3063-B
insist	245-3130-B
insistence	245-3377-B
insistency	245-3676-B
insistent	245-3822-B
insistently	245-3970-B
insister	245-4039-B
insistingly	245-4066-B
insobriety	245-4096-B
insociability	245-4213-B
insociable	245-4306-B
insociably	245-4379-B
insofa	245-4412-B
insolate	245-4561-B
insolation	245-4655-B
insole	245-4796-B
insolence	245-4853-B
insolent	245-4989-B
insolently	245-5056-B
insolubility	245-5128-B
insolubilization	245-5187-B
insolubilize	245-5287-B
insoluble	245-5374-B
insolubleness	245-5476-B
insolubly	245-5612-B
insolvability	245-5643-B
insolvable	245-5770-B
insolvably	245-5877-B
insolvency	245-5910-B
insolvent	245-5997-B
insomnia	245-6325-B
insomniac	245-6391-B
insomnolence	245-6571-B
insomnolency	245-6628-B
insomnolent	245-6717-B
insomuch	245-6804-B
insouciance	245-7055-B
insouciant	245-7139-B
insouciantly	245-7210-B
insp	245-7245-B
inspan	245-7288-B
inspect	245-7385-B
inspectability	245-7498-B
inspectable	245-7664-B
inspection	245-7804-B,4-4454-S,29-6475-S,75-7708-S
inspectional	245-7932-B
inspective	245-7967-B
inspector	245-8140-B,404-1021-S
inspectoral	245-8235-B
inspectorate	245-8268-B
inspectorial	245-8431-B
inspectorship	245-8556-B
inspectress	245-8693-B
insphere	245-8752-B
inspirable	245-8802-B
inspiration	245-8909-B
inspirational	245-9214-B
inspirationally	245-9357-B
inspirative	245-9398-B
inspirator	245-9450-B
inspiratory	245-9525-B
inspire	245-9628-B
inspired	245-9876-B
inspiredly	245-10120-B
inspirer	245-10151-B
inspiring	245-10292-B,37-20481-S
inspiringly	245-10394-B
inspirit	245-10427-B
inspiriter	245-10542-B
inspiriting	245-10664-B
inspiritingly	245-10778-B
inspissate	245-10812-B
inspissation	245-10892-B
inspissator	245-10990-B
insribableness	245-11024-B
insribe	245-11222-B
insriber	245-11532-B
inst	245-11621-B,245-11724-B
instability	245-11785-B,91-8440-S
instable	245-11908-B
instal	245-12005-B
install	245-12194-B
installant	245-12234-B
installation	245-12372-B,91-10868-S,148-7505-S
installer	245-12704-B
installment	245-12792-B
instalment	245-13147-B
instalment plan	245-13200-B
instament	245-13268-B
instance	245-13342-B
instancy	245-13917-B
instant	245-14013-B
instant replay	245-14661-B
instantane	245-14734-B
instantaneity	245-14848-B
instantaneous	245-15018-B
instantaneously	245-15282-B
instantaneousness	245-15371-B
instanter	245-15439-B
instantiate	245-15534-B
instantiation	245-15666-B
instantly	245-15807-B
instantness	245-15955-B
instar	245-15986-B
instate	245-16074-B
instauration	245-16158-B
instaurator	245-16248-B
instead	245-16337-B
instep	245-16700-B
instigant	245-16840-B
instigate	245-16938-B
instigation	245-17029-B
instigative	245-17193-B
instigator	245-17226-B
instil	245-17275-B
instill	245-17407-B
instillation	245-17445-B
instiller	245-17546-B
instillment	245-17575-B
instilment	245-17626-B
instinct	245-17776-B,414-32394-S
instinctive	245-18006-B
instinctively	245-18058-B
instinctual	245-18142-B
instinctually	245-18245-B
institute	245-18282-B
institute of education	245-18934-B
instituter	245-19110-B
institution	245-19141-B
institutional	245-19465-B
institutionalisation	245-19732-B
institutionalise	245-19820-B
institutionalism	245-19942-B
institutionalist	245-20104-B
institutionalization	245-20149-B
institutionalize	245-20298-B
institutionally	245-20371-B
institutor	245-20412-B
instruct	245-20444-B
instructed	410-7024-S
instructible	245-20644-B
instruction	245-20789-B,2-24633-S,6-22434-S,7-13845-S,15-8343-S,29-6528-S,31-22260-S,82-721-S,90-20369-S,91-10942-S,91-11407-S,92-3044-S,92-5741-S,93-21762-S,94-13354-S,146-14619-S,157-5798-S,187-14669-S,410-7103-S
instruction code	91-11003-S
instruction set	91-11073-S
instructional	245-20954-B
instructive	245-21234-B
instructively	245-21405-B
instructiveness	245-21487-B
instructor	245-21594-B
instructorial	245-21706-B
instructorship	245-21831-B
