nanism [01/'neinizm/]	[01* dtừ]\n- chứng lùn
narce [01/'neikə/]	[01* dtừ]\n- xà cừ\n- (động vật) con xà cừ
narced [01/'neikəd/]	[01* ttừ]\n- khảm xà cừ
narcism [01/'na:sizm/]	- xem [03narcissism] 
narcissi [01/nɑ:'sisəs/]	như [03narcissus]
narcissism [01/nɑ:'sisizm/]	[01* dtừ]\n- tính tự yêu mình; tính quá chú ý chăm sóc đến vẻ đẹp của mình
narcissist [01/nɑ:'sisist/]	[01* dtừ]\n- người tự yêu mình; người quá chú ý chăm sóc đến vẻ đẹp của mình
narcissistic [01/,nɑ:sə'sistik/]	[01* ttừ]\n- tự yêu mình; quá chú ý đến vẻ đẹp của mình
narcissus [01/nɑ:'sisəs/]	[01* dtừ] s/n [02narcissuses, narcissi]\n- (thực vật) hoa thuỷ tiên
narcist [01/'na:sist/]	- xem [03narcissist] 
narcistic [01/'na:'sistik/]	- xem [03narcissistic] 
narcolepsy [01/'nɑ:kəlepsi/]	[01* dtừ]\n- (y) chứng ngủ rũ
narcomania [01/,na:kə'meinjə/]	[01* dtừ]\n- bệnh nghiện ma túy
narcomaniac [01/,na:kə(u) 'meiniæk/]	[01* dtừ]\n- người nghiện ma túy
narcoses [01/,na:kousi:z/]	- số nhiều của [03narcosis]
narcosis [01/nɑ:'kousis/]	[01* dtừ (y)]\n- trạng thái mê man, trạng thái mơ mơ màng màng\n- giấc ngủ\n- sự gây mê
narcotic [01/nɑ:'kɔtik/]	[01* ttừ]\n- làm mơ mơ màng màng\n- (thuộc) thuốc mê; gây mê\n- (thuộc) thuốc ngủ; gây ngủ\n[01* dtừ]\n- thuốc mê; thuốc ngủ
narcotical [01/nɑ:'kɔtik(ə) l/]	[01* ttừ]\n- gây ngủ, ru ngủ
narcotise [01/'nɑ:kətaiz/]	như [03narcotize]
narcotism [01/'nɑ:kətizm/]	[01* dtừ]\n- trạng thái mê man, trạng thái mơ mơ màng màng\n- sự gây ngủ\n- hiệu lực thuốc ngủ
narcotization [01/,nɑ:kətai'zei∫n/]	[01* dtừ]\n- sự gây mê\n- sự cho uống thuốc ngủ; sự gây ngủ
narcotize [01/'nɑ:kətaiz/]	[01* ngđtừ]\n- gây mê\n- cho uống thuốc ngủ; gây ngủ
nard [01/nɑ:d/]	[01* dtừ]\n- (thực vật) cây cam tùng\n- chất thơm cam tùng
narghile [01/'nɑ:gili/]	như [03hooka]
nargil [01/'nɑ:gili/]	như [03hooka]
nark [01/nɑ:k/]	[01* dtừ]\n- (lóng) chỉ điểm, cớm, mật thám; cò mồi\n[01* nđtừ]\n- (lóng) làm chỉ điểm, làm mật thám; làm cò mồi
narrate [01/nə'reit/]	[01* ngđtừ]\n- kể lại, thuật lại
narration [01/nə'rei∫n/]	[01* dtừ]\n- sự kể chuyện, sự tường thuật, sự thuật lại\n- chuyện kể, bài tường thuật
narrative [01/'nærətiv/]	[01* dtừ]\n- chuyện kể, bài tường thuật\n- thể văn kể chuyện, thể văn tường thuật\n[01* ttừ]\n- dưới hình thức kể chuyện; có tính chất tường thuật
narrator [01/nə'reitə/]	[01* dtừ]\n- người chuyện kể, người tường thuật
narrow [01/'nærou/]	[01* ttừ]\n- hẹp, chật hẹp, eo hẹp\n[02= a narrow street] một phố hẹp\n[02= within narrow bounds] trong phạm vi chật hẹp\n- hẹp hòi, nhỏ nhen\n[02= narrow mind] trí óc hẹp hòi nhỏ nhen\n- kỹ lưỡng, tỉ mỉ\n[02= a narrow examination] sự xem xét kỹ lưỡng\n[04! to have a narrow escape]\n- xem [03escape]\n[04! to have a narrow squeak (shave)]\n- (tục) may mà thoát được, may mà tránh được\n[04! narrow victory]\n- thắng lợi đạt được một cách khó khăn; sự thắng chật vật\n[04! narrow majority]\n- đa số ít ỏi (số phiếu trong cuộc bầu cử)\n[04! the narrow bed (home, house)]\n- nấm mồ\n[01* dtừ, (thường) số nhiều]\n- khúc sông hẹp; đoạn đường phố hẹp; hẽm núi; cửa biển hẹp, cửa sông hẹp\n[01* đtừ]\n- thu hẹp, làm hẹp lại, co lại, rút lại, thành hẹp hòi
narrow-eyed [01/'nærou'aid/]	[01* ttừ]\n- thiển cận
narrow-fisted [01/'nærou'fistid/]	[01* ttừ]\n- hà tiện, keo kiệt; chi ly
narrowly [01/'nærouli/]	[01* phtừ]\n- chật hẹp, hẹp hòi (đen & bóng)\n- kỹ lưỡng, tỉ mỉ, từng ly từng tí\n[02= to watch somebody narrowly] để ý theo dõi ai từng lui từng tí\n- suýt, suýt nữa\n[02= he narrowly escaped drowing] nó suýt chết đuối
narrow-minded [01/'nærou'maindid/]	[01* ttừ]\n- hẹp hòi, nhỏ nhen
narrow-mindedly [01/'nærou'maindidli/]	[01* phtừ]\n- hẹp hòi, nhỏ nhen
narrow-mindedness [01/'nærou'maindidnis/]	[01* dtừ]\n- tính hẹp hòi, tính nhỏ nhen
narrow-necked [01/'nærə(u)(') nekt/]	[01* ttừ]\n- hẹp cổ (chai) 
narrowness [01/'nærounis/]	[01* dtừ]\n- sự chật hẹp\n- tính hẹp hòi, tính nhỏ nhen\n- tình trạng nghèo nàn, tình trạng eo hẹp
narrows [01/'nærouz/]	[01* dtừ s/n]\n- cửa biển hẹp\n- eo sông; hẻm núi
narwhal [01/'nɑ:wəl/]	[01* dtừ]\n- (động vật) kỳ lân biển
nasa [01/'næsə/]	- vt của [03National Aeronautics and Space Administration]\n- Cơ quan hàng không và không gian Hoa Kỳ
nasal [01/'neizəl/]	[01* ttừ]\n- (thuộc) mũi\n[02= a nasal sound] âm mũi\n[02= to suffer from nasal cartarh] bị viêm chảy mũi\n[01* dtừ]\n- âm mũi
nasalise [01/'neizəlaiz/]	như [03nasalize]
nasality [01/nə'zæliti/]	[01* dtừ]\n- tính chất âm mũi
nasalization [01/,neizəlai'zei∫n/]	[01* dtừ]\n- sự phát âm theo giọng mũi; hiện tượng mũi hoá
nasalize [01/'neizəlaiz/]	[01* đtừ]\n- phát âm theo giọng mũi; nói giọng mũi; mũi hoá
nasally [01/'neizəli/]	[01* phtừ]\n- bằng giọng mũi
nascence,-cy [01/'næs(ə) ns,-si/]	[01* dtừ]\n- sự ra đời, sự nảy sinh
nascency [01/'næsnsi/]	[01* dtừ]\n- trạng thái mới sinh, trạng thái mới mọc
nascent [01/'næsnt/]	[01* ttừ]\n- mới sinh, mới mọc
nasological [01/,neizə'lɔdʒikəl/]	[01* ttừ]\n- (thuộc) khoa nghiên cứu mũi
nasologist [01/nei'zɔlədʒist/]	[01* dtừ]\n- nhà nghiên cứu mũi
nasology [01/nei'zɔlədʒi/]	[01* dtừ]\n- khoa nghiên cứu mũi
nastily [01/'nɑ:stili/]	[01* phtừ]\n- kinh tởm, xấu xa, tồi tệ
nastiness [01/'nɑ:stinis/]	[01* dtừ]\n- tính bẩn thỉu; tính dơ dáy; sự kinh tởm\n- tính chất tục tĩu; sự thô tục; sự xấu xa ô trọc; sự dâm ô\n- tính xấu, tính khó chịu\n- tính cáu kỉnh, tính giận dữ; tính ác; tính hiểm
nasturtium [01/nəs'tə:∫əm/]	[01* dtừ]\n- (thực vật) cây sen cạn
nasty [01/'nɑ:sti/]	[01* ttừ]\n- bẩn thỉu; dơ dáy; kinh tởm, làm buồn nôn\n[02= a nasty smell] mùi kinh tởm\n[02= a nasty taste] vị buồn nôn\n- tục tĩu, thô tục; xấu xa, ô trọc; dâm ô\n[02= a nasty book] sách khiêu dâm\n[02= nasty stories] chuyện dâm ô\n- xấu, khó chịu, làm bực mình\n[02= nasty weather] thời tiết khó chịu\n[02= a nasty bit of road] một quâng đường xấu\n- cáu kỉnh, giận dữ; ác; hiểm\n[02= a nasty temper] tính tình cáu kỉnh\n[02= a nasty remark] một lời nhận xét ác\n[02= to play a nasty trick] chơi một vố ác\n[02= a nasty look] cái nhìn ác hiểm\n[02= a nasty sea] biển hung dữ, biển động mạnh\n[02= nasty illness] bệnh nặng, bệnh hiểm nghèo\n[04! a masty one]\n- điều khó chịu; điều làm bực mình; vố ác, vố điếng người
natal [01/'neitl/]	[01* ttừ]\n- (thuộc) sinh\n[02= natal day] ngày sinh\n[02= natal place] nơi sinh, nơi chôn nhau cắt rốn
natality [01/nə'tæliti/]	như [03birth-rate]
natation [01/nə'tei∫n/]	[01* dtừ]\n- sự bơi
natatorial [01/,neitə'tɔ:riəl/]	như [03natatory]
natatory [01/'neitətəri/]	[01* ttừ]\n- (thuộc) bơi
nates [01/'neiti:z/]	[01* dtừ s/n (phẫu)]\n- đít, mông đít\n- thuỷ thị giác
natheless [01/'neiθlis/]	như [03nathless]
nathless [01/'næθlis/]	[01* phtừ]\n- (cổ) ; (thơ ca) tuy nhiên, tuy vậy
natice grasses [01/'neitiv'grɑ:siz/]	[01* dtừ s/n]\n- cỏ dại, cỏ mọc tự nhiên
nation [01/'nei∫n/]	[01* dtừ]\n- dân tộc\n- nước, quốc gia
national [01/'næ∫nəl/]	[01* ttừ]\n- (thuộc) dân tộc\n[02= the national liberation movement] phong trào giải phóng dân tộc\n- (thuộc) quốc gia\n[02= the national assembly] quốc hội\n[02= the national anthem] quốc ca\n[04! national government]\n- chính phủ liên hiệp\n[04! national newspapers]\n- báo chí lưu hành khắp nước\n[01* dtừ, (thường) số nhiều]\n- kiều dân, kiều bào
national assistance [01/'næ∫nəl ə'sistəns/]	[01* dtừ]\n- trợ cấp của nhà nước
national debt [01/'næ∫nəl'det/]	[01* dtừ]\n- nợ quốc gia
national guard [01/'næ∫nəl'gɑ:d/]	[01* dtừ]\n- vệ binh quốc gia
national health service [01/'næ∫nəlhelθ'sə:vis/]	[01* dtừ]\n- cơ quan y tế quốc dân
national insurance [01/'næ∫nəl in'∫uərəns/]	[01* dtừ]\n- bảo hiểm quốc gia
national park [01/'næ∫nəl'pɑ:k/]	[01* dtừ]\n- vườn quốc gia
national service [01/'næ∫nəl'sə:vis/]	[01* dtừ]\n- quân dịch, nghĩa vụ quân sự
national trust [01/'næ∫nəl'trʌst/]	[01* dtừ]\n- Hội bảo tồn di tích lịch sử ở Anh
nationalisation [01/,næʃnəlai'zeiʃn/]	[01* dtừ]\n- như [03nationalization] 
nationalise [01/'næ∫nəlaiz/]	như [03nationalize]
nationalism [01/'næ∫nəlizm/]	[01* dtừ]\n- chủ nghĩa dân tộc
nationalist [01/'næ∫nəlist/]	[01* dtừ]\n- người theo chủ nghĩa dân tộc\n[01* ttừ]\n- dân tộc chủ nghĩa
nationalistic [01/,næʃnə'listik/]	[01* ttừ] ủng hộ mạnh mẽ chủ nghĩa dân tộc\n[02= nationalistic fervour during the World Cup] sự nhiệt tình đầy tính dân tộc trong Giải Bóng đá Thế giới
nationality [01/,næ∫ə'næliti/]	[01* dtừ]\n- tính chất dân tộc; tính chất quốc gia\n- dân tộc; quốc gia\n[02= men of all nationalities] người của mọi dân tộc\n- quốc tịch\n[02= what is your nationality?] anh thuộc quốc tịch nào?
nationalization [01/,næ∫nəlai'zei∫n/]	[01* dtừ]\n- sự quốc gia hoá\n- sự quốc hữu hoá\n[02= tge nationalization of the railways] sự quốc hữu hoá đường sắt\n- sự nhập quốc tịch; sự cho nhập quốc tịch
nationalize [01/'næ∫nəlaiz/]	[01* ngđtừ]\n- quốc gia hoá\n- quốc hữu hoá\n- cho nhập quốc tịch
nationally [01/'næ∫nəli/]	[01* phtừ]\n- về mặt dân tộc; về mặt quốc gia\n- toàn quốc
nationhood [01/'nei∫nhud/]	[01* dtừ]\n- tính trạng là một dân tộc; tính chất là một quốc gia
nationwide [01/'nei∫nwaid/]	[01* ttừ, phtừ]\n- khắp cả nước; toàn quốc\n[02= to launch a nationwide guerilla] phát động cuộc chiến tranh du kích trên khắp cả nước\n[02= anti-government leaflets were diffused nationwide] truyền đơn chống chính phủ được phổ biến khắp cả nước
nation-wide [01/'neiʃnwaid/]	[01* ttừ]\n- toàn quốc, toàn dân
native [01/'neitiv/]	[01* ttừ]\n- (thuộc) nơi sinh\n[02= native country; native place] nơi sinh, quê hương\n- tự nhiên, bẩm sinh\n[02= native ability] tài năng bẩm sinh, thiên tư\n- (thuộc) địa phương; (thuộc) thổ dân\n[02= native customs] những phong tục của dân địa phương\n- tự nhiên (kim loại, khoáng chất)\n[02= native gold] vàng tự nhiên\n[01* dtừ]\n- người sinh ở, người quê quán ở, người địa phương, thổ dân\n[02= a native of Hanoi] người quê ở Hà nội\n- loài (vật, cây) địa phương, loài nguyên sản; thổ sản\n- sò nuôi (ở bờ biển Anh) 
native grasses [01/'neitiv'grɑ:siz/]	[01* dtừ]\n- cỏ dại, cỏ mọc tự nhiên
native speaker [01/'neitiv, spi:kə/]	[01* dtừ]\n- người nói tiếng mẹ đẻ, người bản ngữ
native sugar [01/'neitiv'∫ugə/]	[01* dtừ]\n- đường thô
native-born [01/'neitiv'bɔ:n/]	[01* ttừ]\n- sinh ở địa phương
natively [01/'neitivli/]	[01* phtừ]\n- vốn, bẩm sinh, tự nhiên, vốn sinh ra đã có\n- với tính chất nơi sinh\n[02= to speak English natively] nói tiếng Anh với tính chất là tiếng mẹ đẻ của mình
nativism [01/'neitivizm/]	[01* dtừ]\n- thuyết cho rằng công dân sinh ra ở địa phương trội hơn người nhập cư
nativity [01/nə'tiviti/]	[01* dtừ]\n- sự sinh đẻ\n- (tôn giáo)(the nativity) lễ Thánh đản\n- (the nativity) ảnh Chúa giáng sinh\n- số tử vi\n[02= to cast (calculate) nativities] xem số tử vi, tính số tử vi
nativity play [01/nə'tiviti'plei/]	[01* dtừ]\n- vở kịch về sự ra đời của Chúa Giêxu
NATO [01/'neitou/]	- vt của [03North Atlantic Treaty Organization]\n- Tổ chức minh ước Bắc Đại Tây Dương
natrium [01/'neitriəm/]	như [03sodium]
natter [01/'nætə/]	[01* nđtừ (tục)]\n- nói ba hoa\n- càu nhàu\n- nói lia lịa, nói liến thoắng
natterjack [01/'nætədʒæk/]	[01* dtừ]\n- (động vật) cóc sọc vàng
nattery [01/'nætəri/]	[01* ttừ]\n- có tính cáu kỉnh
nattily [01/'nætili/]	[01* phtừ]\n- bảnh bao, đỏm dáng
nattiness [01/'nætinis/]	[01* dtừ]\n- vẻ đẹp, vẻ chải chuốt; vẻ đỏm dáng, vẻ duyên dáng\n- sự khéo tay
natty [01/'næti/]	[01* ttừ]\n- đẹp, chải chuốt; đỏm dáng, duyên dáng\n- khéo tay
natural [01/'næt∫rəl/]	[01* ttừ]\n- (thuộc) tự nhiên, (thuộc) thiên nhiên\n[02= natural law] quy luật tự nhiên\n[02= natural selection] sự chọn lọc tự nhiên\n- (thuộc) thiên tính; bẩm sinh, trời sinh\n[02= natural gift] thiên tư\n- tự nhiên, đương nhiên, tất nhiên, dĩ nhiên\n[02= a natural consequence] hậu quả tất nhiên\n[02= it is natural that you should think so] lẽ tất nhiên là anh phải nghĩ như vậy\n- tự nhiên, không giả tạo, không màu mè\n[02= natural manners] cử chỉ tự nhiên\n- đẻ hoang (con)\n[02= a natural child] đứa con hoang\n- mọc tự nhiên, dại\n[02= natural growth] cây cỏ dại\n[04! one's natural life]\n- tuổi thọ của con người\n[01* dtừ]\n- người bẩm sinh ngớ ngẩn, người bẩm sinh ngu đần\n- (âm nhạc) nốt thường\n- (âm nhạc) dấu hoàn\n- người có khiếu tự nhiên (về ngành gì)\n- điều thắng lợi tất nhiên; điều chắc chắn
natural childbirth [01/'næt∫rəl't∫aildbə:θ/]	[01* dtừ]\n- phương pháp sinh đẻ không cần gây mê đối với sản phụ
natural gas [01/'næt∫rəl'gæs/]	[01* dtừ]\n- khí tự nhiên
natural history [01/'næt∫rəl'histəri/]	[01* dtừ]\n- vạn vật học
naturalisation [01/,nætʃrəlai'zeiʃn/]	[01* dtừ]\n- như [03naturalization] 
naturalise [01/'næt∫rəlaiz/]	[01* ngđtừ]\n- tự nhiên hoá\n- nhập tịch (từ, phong tục...)\n[02= many Chinese words have been naturalized in the Vietnamese language] nhiều từ Hán được nhập tịch vào tiếng Việt\n- làm hợp thuỷ thổ (cây, vật)\n[01* nđtừ]\n- hợp thuỷ thổ (cây, vật)\n- nghiên cứu tự nhiên học
naturalism [01/'næt∫rəlizm/]	[01* dtừ]\n- tính tự nhiên, thiên tính\n- chủ nghĩa tự nhiên
naturalist [01/'næt∫ərəlist/]	[01* dtừ]\n- nhà tự nhiên học\n- người theo chủ nghĩa tự nhiên
naturalistic [01/,næt∫rə'listik/]	[01* ttừ]\n- (thuộc) tự nhiên, căn cứ vào tự nhiên\n- (thuộc) khoa tự nhiên học\n- (thuộc) chủ nghĩa tự nhiên
naturalization [01/,næt∫rəlai'zei∫n/]	[01* dtừ]\n- sự tự nhiên hoá\n- sự nhập quốc tịch; sự nhập tịch (ngôn ngữ)\n- sự làm cho hợp với thuỷ thổ (cây, vật) 
naturalize [01/'næt∫rəlaiz/]	như [03naturalise]
naturally [01/'næt∫rəli/]	[01* phtừ]\n- vốn, tự nhiên\n[02= to speak naturally] nói tự nhiên\n[02= she is naturally musical] cô ta vốn có năng khiếu về nhạc\n- đương nhiên, tất nhiên, cố nhiên
naturalness [01/'neit∫rəlnis/]	[01* dtừ]\n- tính cách tự nhiên
nature [01/'neit∫ə/]	[01* dtừ]\n- tự nhiên, thiên nhiên, tạo hoá\n[02= the struggle with nature] cuộc đấu tranh với thiên nhiên\n[02= according to the laws of nature] theo quy luật tự nhiên\n[02= in the course of nature] theo lẽ thường\n[02= to draw from nature] (nghệ thuật) vẽ theo tự nhiên\n- trạng thái tự nhiên; trạng thái nguyên thuỷ\n- tính, bản chất, bản tính\n[02= good nature] bản chất tốt, tính thiện\n- loại, thứ\n[02= things of this nature do not interest me] những cái thuộc loại này không làm cho tôi thích thú\n[02= in (of) the nature of] giống như, cùng loại với\n- sức sống; chức năng tự nhiên; nhu cầu tự nhiên\n[02= to ease (relieve) nature] đi ỉa, đi đái; thoả mãn một nhu cầu tự nhiên\n- nhựa (cây)\n[02= full of nature] căng nhựa\n[04! against (contrary to) nature]\n- phi thường, siêu phàm, kỳ diệu\n[04! debt of nature]\n- xem [03debt]\n[04! to pay one's debt to nature]\n- xem [03debt] 
nature study [01/'neit∫ə'stʌdi/]	[01* dtừ]\n- sự nghiên cứu thiên nhiên
nature trail [01/'neit∫ətreil/]	[01* dtừ]\n- đường mòn
natured [01/'neit∫əd/]	[01* ttừ(dùng trong ttừ ghép)]\n- vốn, có bản chất
naturism [01/'neit∫ərizm/]	như [03nudism]
naturist [01/'neit∫ərist/]	[01* dtừ]\n- người theo chủ nghĩa khoả thân
naturopath [01/'neit∫ərəpæθ/]	[01* dtừ]\n- người áp dụng thiên nhiên liệu pháp
naturopathic [01/,neit∫ərə'pæθik/]	[01* ttừ]\n- thuộc về thiên nhiên liệu pháp
naturopathically [01/,neit∫ərə'pæθikəli/]	[01* phtừ]\n- theo thiên nhiên liệu pháp, bằng thiên nhiên liệu pháp
naturopathy [01/,neit∫ə'rɔpəθi/]	[01* dtừ]\n- phép chữa bệnh dựa theo sự tập luyện cơ thể (chứ không dùng thuốc), thiên nhiên liệu pháp
naught [01/nɔ:t/]	[01* dtừ]\n- (cổ) không\n[02= to set at naught] chế giễu; coi thường\n- (toán) số không\n[01* ttừ]\n- (cổ) vô tích sự, vô ích
naughtily [01/'nɔ:tili/]	[01* phtừ]\n- nghịch ngợm\n- thô tục, bậy bạ
naughtiness [01/'nɔ:tinis/]	[01* dtừ]\n- tính hư, tính tinh nghịch\n- tính thô tục, tính tục tĩu, tính nhảm nhí
naughty [01/'nɔ:ti/]	[01* ttừ]\n- hư, hư đốn, nghịch ngợm\n[02= a naughty boy] thằng bé hư\n- thô tục, tục tĩu, nhảm\n[02= naughty words] những lời nói tục tĩu\n[02= naughty books] sách nhảm
naunt [01/'na:nt/]	[01* dtừ]\n- cô, dì, thím, mợ, bác gái
naupathia [01/nɔ:'pæθiə/]	[01* dtừ]\n- sự say sóng
nausea [01/'nɔ:sjə/]	[01* dtừ]\n- sự buồn nôn; sự lộn mửa\n- sự kinh tởm, sự tởm
nauseate [01/'nɔ:sieit/]	[01* nđtừ]\n- buồn nôn, lộn mửa\n- tởm, kinh tởm, ghê\n- chán (cơm, nghề...)\n[01* ngđtừ]\n- làm buồn nôn; làm lộn mửa\n- làm kinh tởm
nauseating [01/'nɔ:sieitiη/]	[01* ttừ]\n- làm cho buồn nôn, gây buồn nôn\n- đáng tởm
nauseatingly [01/'nɔ:sieitiηli/]	[01* phtừ]\n- đáng tởm
nauseous [01/'nɔ:siəs/]	[01* ttừ]\n- tanh tưởi, làm nôn mửa\n- tởm, gớm, gớm guốc, đáng ghê
nautch [01/nɔ:t∫/]	[01* dtừ]\n- cuộc biểu diễn của vũ nữ nhà nghề (Ân-ddộ) 
nautch-girl [01/nɔ:t∫gə:l/]	[01* dtừ]\n- vũ nữ nhà nghề (Ân-ddộ) 
nautical [01/'nɔ:tikəl/]	[01* ttừ]\n- (thuộc) biển; (thuộc) hàng hải\n[02= nautical almanac] lịch hàng hải
nautical mile [01/'nɔ:tikəl'mail/]	[01* dtừ]\n- hải lý
nautically [01/'nɔ:tikəli/]	[01* phtừ]\n- bằng đường biển, bằng đường hàng hải
nautics [01/'nɔ:tiks/]	[01* dtừ]\n- thể thao dưới nước\n- nghề (đi) biển
nautili [01/'nɔ:tiləs/]	[01* dtừ] s/n của [02nautili, nautiluses]\n- (động vật) ốc anh vũ\n- bạch tuộc
nautilus [01/'nɔ:tiləs/]	như [03nautili]
naval [01/'neivəl/]	[01* ttừ]\n- (thuộc) hải quân, (thuộc) thuỷ quân\n[02= naval officer] sĩ quan hải quân\n[02= naval base] căn cứ hải quân\n[02= naval battle] thuỷ chiến\n[02= naval school] trường hải quân\n[02= naval power] lực lượng hải quân; cường quốc hải quân
nave [01/veiv/]	[01* dtừ]\n- trục bánh xe\n[01* dtừ]\n- gian giữa của giáo đường
navel [01/'neivl/]	[01* dtừ]\n- rốn\n- trung tâm
navel orange [01/'neivəl'ɔrindʒ/]	[01* dtừ]\n- (nông nghiệp) cam naven
navel-cord [01/'neivəlkɔ:d/]	như [03navel-string]
navel-string [01/'neivəlstriη/]	[01* dtừ]\n- dây rốn
navicert [01/'nævisə:t/]	[01* dtừ]\n- (hàng hải) giấy chứng nhận không vi phạm quy định về hàng lậu thời chiến\n- giấy quá cảnh (cho từng chuyến hàng) 
navicular [01/nə'vikjulə/]	[01* ttừ]\n- hình thuyền\n[02= navicular bone] (phẫu) xương thuyền (ở tay) ; xương ghe (ở chân)\n[02= navicular disease] bệnh đau xương ghe (ở chân ngựa)\n[01* dtừ]\n- bệnh đau xương ghe (ở chân ngựa) 
navigability [01/,nævigə'biliti/]	[01* dtừ]\n- tình trạng tàu bè đi lại được (sông, biển)\n- tình trạng có thể đi sông biển được (tàu bè)\n- tình trạng có thể điều khiển được (khí cầu) 
navigable [01/'nævigəbl/]	[01* ttừ]\n- để tàu bè đi lại được (sông, biển)\n- có thể đi sông biển được (tàu bè)\n- có thể điều khiển được (khí cầu) 
navigate [01/'nævigeit/]	[01* đtừ]\n- lái (tàu, thuyền, máy bay...)\n- đi sông, đi biển, vượt biển, bay\n- đem thông qua\n[02= to navigate a bill through Parliament] đem thông qua một dự luật ở quốc hội
navigation [01/,nævi'gei∫n/]	[01* dtừ]\n- nghề hàng hải, sự đi biển, sự đi sông\n[02= aerial navigation] hàng không\n[02= inland navigation] sự đi lại bằng đường sông lạch\n- tàu bè qua lại\n[02= navigation on the Red river] số tàu bè qua lại trên sông Hồng
navigator [01/'nævigeitə/]	[01* dtừ]\n- nhà hàng gải, người đi biển; thuỷ thủ lão luyện\n- (hàng hải) ; (hàng không) hoa tiêu\n- (hiếm) thợ làm đất, thợ đấu ((cũng) [03navvy] ) 
navvy [01/'nævi/]	[01* dtừ]\n- thợ làm đất, thợ đấu\n- (kỹ) máy xúc, máy đào đất, máy nạo (vét) lòng sông\n[04! a mere navvy's work]\n- một công việc chỉ đòi hỏi sức khoẻ không cần có kỹ thuật\n[04! to work like a navvy]\n- làm việc vất vả cực nhọc; làm như trâu ngựa
navy [01/'neivi/]	[01* dtừ]\n- hải quân\n[02= Navy Department] (Mỹ) bộ hải quân\n[04! Secretary of the Navy]\n- (Mỹ) bộ trưởng bộ hải quân\n[04! Navy Day]\n- ngày hải quân\n- (thơ ca) hạm đội
navy blue [01/'neiviblu:/]	[01* dtừ]\n- màu xanh nước biển (màu đồng phục của hải quân) 
navy list [01/'neivi'list/]	[01* dtừ]\n- (qsự) danh sách sĩ quan hải quân
navy-blue [01/'neiviblu:/]	[01* ttừ]\n- xanh nước biển
navy-yard [01/'neivijɑ:d/]	[01* dtừ]\n- xưởng đóng tàu chiến
