ephemeris [01/i'feməris/]	như [03ephemerides]
epicureanism [01/,epikjuə'ri:ənizm/]	[01* dtừ]\n- thuyết E-pi-cua\n- chủ nghĩa hưởng lạc
epicurism [01/'epikjuərizm/]	[01* dtừ]\n- tính sành ăn
epicuticle [01/'epikju:tikl/]	[01* dtừ]\n- (động vật) tâm mô sừng ngoài
epicycle [01/'episaikl/]	[01* dtừ]\n- (toán) Epixic, ngoại luân
epicyclic [01/,epi'saiklik/]	[01* ttừ]\n- (toán) Epixic, ngoại luân
epicycloid [01/,epi'saiklɔid/]	[01* dtừ]\n- (toán) Epixicloit
epicycloidal [01/,epi'saiklɔidəl/]	[01* ttừ]\n- (toán)(thuộc) Epixicloit
epicyloid	- epixicloit
epideictic [01/,epi'daiktik/]	[01* ttừ]\n- để phô bày, để trưng bày
epidemic [01/,epi'demik/]	[01* ttừ]\n- dịch\n[02= an epidemic disease] bệnh dịch\n[01* dtừ]\n- bệnh dịch (đen & bóng) 
epidemical [01/,epi'demikəl/]	[01* ttừ]\n- dịch, có tính chất bệnh dịch
epidemically	- xem [03epidemic] 
epidemicity [01/,epidə'misiti/]	[01* dtừ]\n- tính chất dịch
epidemiologic	- xem [03epidemiology] 
epidemiologically	như [03epidemiologic]
epidemiologist	như [03epidemiologic]
epidemiology [01/,epi,di:mi'ɔlədʒi/]	[01* dtừ]\n- khoa nghiên cứu bệnh dịch, dịch tễ học
epidendrum [01/,epi'dendrəm/]	[01* dtừ]\n- (thực vật) giống lan biểu sinh
epiderma [01/'epidə:mə/]	[01* dtừ]\n- (sinh học) biểu bì; vỏ ngoài; da
epidermal [01/,epi'də:məl/]	như [03epidermic]
epidermic [01/,epi'də:mik/]	[01* ttừ]\n- (sinh vật)(thuộc) biểu bì
epidermis [01/,epi'də:mis/]	[01* dtừ]\n- (sinh vật) biểu bì
epidermoid [01/,epi'də:mɔid/]	[01* ttừ]\n- (sinh vật) dạng biểu bì
epidermophyte [01/,epi'də:məfit/]	[01* dtừ]\n- nấm ngoài da
epidiascope [01/,epi'dɑiəskoup/]	[01* dtừ]\n- (lý) đèn chiếu phản truyền
epididymis [01/,epi'didimis/]	[01* dtừ] s/n [02epididymides]\n- (sinh học) mào tinh hoàn
epidote [01/'epidout/]	[01* dtừ]\n- (khoáng) epidot
epidural [01/,epi'djuərəl/]	[01* ttừ]\n- <y> gây tê ngoài màng cứng\n[01* dtừ]\n- sự gây tê ngoài màng cứng
epifauna [01/,epi'fɔ:nə/]	- (sinh học) hệ động vật mặt đáy
epifaunal [01/,epi'fɔnəl/]	[01* ttừ]\n- thuộc hệ động vật mặt đáy
epifocal [01/,epi'foukl/]	[01* ttừ]\n- xem [03epicentre] 
epifocus [01/,epi'foukəs/]	như [03epicentre]
epigaster [01/'epigæstə/]	[01* dtừ]\n- (phẫu) mầm ruột kết
epigastric [01/,epi'gæstrik/]	[01* ttừ]\n- (phẫu)(thuộc) thượng vị
epigastrium [01/,epi'gæstriəm/]	[01* dtừ]\n- (phẫu) thượng vị
epigastroid [01/,epi'gæstrɔid/]	[01* dtừ]\n- (phẫu) sụn trên mu
epigeal [01/epi'dʒi:əl/]	- Cách viết khác : [03epigeous]
epigean [01/epi'dʒi:ən/]	[01* ttừ]\n- xem [03epigeal]\n- trên đất trồng
epigeic [01/epi'dʒi:ik/]	[01* ttừ]\n- trên mặt đất
epigene [01/'epidʒi:n/]	[01* ttừ]\n- (địa) biểu sinh
epigenesis [01/,epi'dʒenisis/]	[01* dtừ]\n- (sinh vật) thuyết biểu sinh, thuyết hậu thành
epigenetic [01/,epidʒi'netik/]	như [03epigene]
epigenous [01/e'pidʒi:nəs/]	[01* ttừ]\n- phát triển ở bề mặt; mọc trên bề mặt
epiglottal [01/,epi'glɔtl/]	[01* ttừ]\n- thuộc về nắp thanh quản
epiglottic [01/epi'glɔtik/]	[01* ttừ]\n- thuộc nắp thanh quản\n- mảnh trên hầu (côn trùng) 
epiglottis [01/,epi'glɔtis/]	[01* dtừ]\n- (phẫu) nắp thanh quản
epignathus [01/e'pignæθəs/]	[01* ttừ]\n- có hàm trên dài hơn hàm dưới
epigone [01/'epigoun/]	[01* dtừ]\n- người kế nghiệp, người bắt chước
epigonism [01/e'pigɔnizm/]	[01* dtừ]\n- chủ trương bắt chước
epigram [01/'epigræm/]	[01* dtừ]\n- thơ trào phúng\n- cách nói dí dỏm; lời nói dí dỏm
epigrammatic [01/,epigrə'mætik/]	[01* ttừ]\n- (thuộc) thơ trào phúng\n- dí dỏm, trào phúng
epigrammatically	- xem [03epigrammatic] 
epigrammatism [01/epi'græmətizm/]	[01* dtừ]\n- thể thơ châm biếm; có tác dụng châm biếm
epigrammatist [01/,epi'græmətist/]	[01* dtừ]\n- nhà thơ trào phúng
epigrammatize [01/,epi'græmətaiz/]	[01* nđtừ]\n- làm thơ trào phúng\n- nói dí dỏm; viết dí dỏm\n[01* ngđtừ]\n- viết thành thơ trào phúng
epigraph [01/'epigrɑ:f/]	[01* dtừ]\n- chữ khắc (lên đá, đồng tiền...)\n- đề từ
epigrapher	- xem [03epigraphy] 
epigraphic [01/,epi'græfik/]	[01* ttừ]\n- (thuộc) chữ khắc (lên đá, đồng tiền...)\n- (thuộc) đề từ
epigraphical	- xem [03epigraph] 
epigraphically	như [03epigraphical]
epigraphist [01/e'pigrəfist/]	[01* dtừ]\n- nhà nghiên cứu văn khắc (lên đá, đồng tiền...) 
epigraphy [01/e'pigrəfi/]	[01* dtừ]\n- khoa nghiên cứu văn khắc (lên đá, đồng tiền...) 
epigyne [01/e'pidʒin/]	[01* dtừ]\n- (thực vật) thể sinh dục cái ngoài
epigynium [01/epi'dʒiniəm/]	[01* dtừ]\n- xem [03epigyne] 
epigyny [01/e'pidʒini/]	[01* dtừ]\n- (thực vật) tính đính trên bầu
epilate [01/e'pileit/]	như [03unfeather]
epilation [01/,epi'lei∫n/]	[01* dtừ]\n- sự nhổ lông
epi-layer	- (kỹ) lớp kéo mặt ngoài = [03epitaxial layer] 
epilepsy [01/'epilepsi/]	[01* dtừ]\n- (y) động kinh
epileptic [01/,epi'leptik/]	[01* ttừ]\n- (thuộc) động kinh
epileptiform [01/epi'leptifɔ:m/]	[01* ttừ]\n- có dạng động kinh
epileptogenic [01/,epileptə'dʒenik/]	[01* ttừ]\n- gây động kinh
epilobium [01/,epi'loubjəm/]	[01* dtừ]\n- cây liễu thảo
epilog [01/'epilɔg/]	[01* dtừ]\n- như [03epilogue] 
epilogic [01/,epilɔdʒik/]	[01* ttừ]\n- cũng [03epilogical]\n- thuộc phần kết luận
epilogist [01/e'pilədʒist/]	[01* dtừ]\n- người viết phần kết thúc, người viết lời bạt\n- người đọc phần kết, người đọc lời bạt
epilogue [01/'epilɔg/]	[01* dtừ]\n- phần kết, lời bạt\n- (rađiô) lễ kết (sau một vài chương trình phát thanh của đài B.B.C) 
epimer [01/'epimə/]	[01* dtừ]\n- (hoá) epime (một loại đồng tâm lập thể) 
epimere [01/'epimərə/]	[01* dtừ]\n- khúc cơ lưng
epimeric [01/epi'merik/]	[01* ttừ]\n- thuộc epime
epimerization [01/i,pimərai'zei∫n/]	[01* dtừ]\n- sự epime hoá
epimerize [01/e'piməraiz/]	[01* ngđtừ]\n- epime hoá
epimeron [01/i'pimərən/]	[01* dtừ]\n- (động vật) tấm bên lưng sâu bọ
epimorphic [01/ipi'mɔ:fik/]	[01* ttừ]\n- giữ nguyên dạng
epimorphism	- (phép) toàn cấu
epimorphosis [01/ipimɔ:'fousis/]	[01* dtừ]\n- (sinh học) sự tái sinh nguyên dạng
epimysium [01/epi'miziəm/]	[01* dtừ]\n- (sinh học) bao mô khí
epinasty [01/e'pinæsti/]	[01* dtừ]\n- (thực vật) tính sinh trưởng cong
epinephrine [01/,epi'nefrin/]	[01* dtừ]\n- cũng [03epinephrin]\n- (sinh học) epinefrin, adrenalin
epineurium [01/epi'njuəriəm/]	[01* dtừ]\n- (phẫu) vỏ dây thần kinh
epineurral [01/epi'njuərəl/]	[01* ttừ]\n- thuộc vỏ dây thần kinh
epinytic [01/epi'niktik/]	[01* dtừ]\n- (thực vật) nở ban đêm (hoa) 
epiotic [01/epi'ɔtik/]	[01* ttừ]\n- trên tai; thuộc xương trên tai
epiparasite [01/epi'pærəsait/]	như [03exoparasite]
epiparasitic [01/epipærə'sitik/]	như [03ectoparasitic]
epiparasitism [01/epi'pærəsaitizm/]	[01* dtừ]\n- hiện tượng ký sinh ngoài
epipelagic [01/epi'pelædʒic/]	[01* ttừ]\n- thuộc tầng mặt biển khơi (sâu dưới 20 mét) 
epiperidium [01/epipe'ridiəm/]	[01* dtừ]\n- (thực vật) vỏ thể quả chén
epipetalous [01/,epi'petələs/]	[01* ttừ]\n- (thực vật) trên tràng
epiphany [01/i'pifəni/]	[01* dtừ]\n- (tôn giáo) sự hiện ra (của Giê-xu)\n- sự hiện ra (của một siêu nhân) 
epiphenomena [01/,epifi'nɔminən/]	như [03epiphenomenon]
epiphenomenal	như [03epiphenomenally]
epiphenomenalism [01/,epifə'nɔminli,zm/]	[01* dtừ]\n- (triết học) thuyết hiện tượng phụ
epiphenomenally	- xem [03epiphenomenon] 
epiphenomenon [01/,epifi'nɔminən/]	[01* dtừ] s/n [03epiphenomena]\n- (y) ; (triết học) hiện tượng phụ
epiphitic [01/,epi'fitik/]	[01* ttừ]\n- thuộc thực vật biểu sinh
epiphragm [01/'epifræm/]	[01* dtừ]\n- (sinh học) nắp màng
epiphyll [01/'epifil/]	[01* dtừ]\n- (thực vật) địa y sống trên lá
epiphyllous [01/,epi'filəs/]	[01* ttừ]\n- (thực vật) sống trên lá
epiphyllum [01/,epi'filəm/]	[01* dtừ]\n- (thực vật) thực vật sống trên lá
epiphysial	- xem [03epiphysis] 
epiphysis [01/e'pifisis/]	[01* dtừ]\n- (phẫu) mấu trên não
epiphyte [01/e'pifait/]	[01* dtừ]\n- (sinh vật) thực vật biểu sinh
epiphytic [01/,epi'fitik/]	[01* ttừ]\n- (sinh vật) biểu sinh
epiphytically	- xem [03epiphyte] 
epiphytotic [01/epifi'tɔtik/]	[01* ttừ]\n- thuộc bệnh dịch thực vật
epiplankton [01/epi'plæηktɔn/]	[01* dtừ]\n- (sinh học) sinh vật nổi tầng mặt
epiplasm [01/epi'plæzm/]	[01* dtừ]\n- (sinh học) sinh chất thừa; chất tế bào thừa
epiplastron [01/epi'plæstrən/]	[01* dtừ]\n- (sinh học) tấm đòn
epiploon [01/i'piplɔoun/]	[01* dtừ] s/n [02epiploa]\n- mạc nối
epipodite [01/i'pipədit/]	[01* dtừ]\n- (động vật) nhánh bên (chân động vật chân khép) 
episcopacy [01/i'piskəpəsi/]	[01* dtừ]\n- chế độ giám mục quản lý nhà thờ\n[04! the episcopacy]\n- các giám mục
episcopal [01/i'piskəpəl/]	[01* ttừ]\n- (thuộc) giám mục\n- (thuộc) chế độ giám mục quản lý nhà thờ\n[04! the Episcopal Church]\n- nhà thờ Tân giáo
episcopalian [01/i,piskə'peiljən/]	[01* dtừ]\n- người tán thành chế độ giám mục quản lý nhà thờ\n- người theo nhà thờ Tân giáo
episcopally	- xem [03episcopal] 
episcopate [01/i'piskəpeit/]	[01* dtừ]\n- chức giám mục; nhiệm kỳ giám mục\n[04! the episcopate]\n- các giám mục
episcope [01/,episkoup/]	[01* dtừ]\n- (lý) đèn chiếu phản xạ
episeme [01/'episem/]	[01* dtừ]\n- màu báo hiệu\n- tín hiệu; dấu hiệu
episepalous [01/epi'sepələs/]	[01* ttừ]\n- đính trên lá dài
episiotomy [01/ə,pi:zi'ɔtəmi/]	[01* dtừ]\n- <y> thuật rạch âm hộ
episkeletal [01/ipi'skelitəl/]	[01* ttừ]\n- ngoài bộ xương
episode [01/,episoud/]	[01* dtừ]\n- phần giữa (hai bài đồng ca trong bi kịch Hy-lạp)\n- đoạn, hồi; tình tiết (trong truyện...) 
episodic [01/,epi'sɔdik/]	[01* ttừ]\n- (thuộc) đoạn, (thuộc) hồi; (thuộc) tình tiết (trong truyện)\n- chia ra từng đoạn, chia ra từng hồi
episodical [01/,epi'sɔdikəl/]	như [03episodic]
episodically [01/,epi'sɔdikəli/]	[01* phtừ]\n- từng đoạn, từng hồi
episomal [01/'epi,souməl/]	[01* ttừ]\n- thuộc thể bổ sung
episome [01/'epi,soum/]	[01* dtừ]\n- (sinh học) thể bổ sung
epispastic [01/,epi'spæstik/]	[01* ttừ]\n- (y) làm giộp da\n[01* dtừ]\n- (y) thuốc giộp da
episperm [01/i'pispə:m/]	[01* dtừ]\n- vỏ (hạt) ; bao (tinh trùng) 
epispore [01/'ipispɔ:/]	[01* dtừ]\n- vỏ vách bào tử; vỏ ngoài bào tử
episporous [01/ipi'spɔ:rəs/]	[01* ttừ]\n- thuộc vỏ vách bào tử; thuộc vỏ ngoài bào tử
epistasis [01/i'pistəsis/]	[01* dtừ] s/n [02epistases]\n- (sinh học) tính át gen\n[02= dominant epistasis] tính lấn át gen trội\n[02= recessive epistasis] tính lấn át gen lặn
epistasy [01/i'pistəsi/]	[01* dtừ]\n- xem [03epistasis] 
epistatic [01/ipi'stætik/]	[01* ttừ]\n- (sinh học) lấn át gen
epistaxis [01/ipi'stæksis/]	[01* dtừ] s/n [02epistaxes]\n- sự chảy máu cam
epistemic [01/ipi'sti:mik/]	[01* ttừ]\n- thuộc trí thức
epistemologist [01/ipisti'mɔlədʒist/]	[01* dtừ]\n- (triết học) nhà nhận thức luận
epistemology [01/ipisti:'mɔlədʒi/]	[01* dtừ]\n- (triết học) nhận thức luận; sự nhận thức luận
episternum [01/'epi,stə:nəm/]	[01* dtừ]\n- xương gian đòn; xương cán ức
epistle [01/i'pisl/]	[01* dtừ]\n- thư của sứ đồ (truyền đạo) ;(đùa) thư (gửi cho nhau)\n- thư (một thể thơ) 
epistler [01/i'pislə/]	[01* dtừ]\n- người viết thể thơ bằng thư
epistolarian [01/i,pistə'leəriən/]	[01* ttừ]\n- hay biết thư\n[01* dtừ]\n- người viết thơ thể thư (trong văn học) 
epistolary [01/i'pistələri/]	[01* ttừ]\n- (thuộc) thư từ; bằng thư từ; hợp với thư từ
epistoler [01/i'pistələ/]	[01* dtừ]\n- (tôn giáo) người đọc thư sứ đồ
epistoma [01/i'pistəmə/]	[01* dtừ]\n- (động vật) tấm trên miệng sâu bọ
epistrophe [01/i'pistrəfi/]	[01* dtừ]\n- (ngôn) hiện tượng lập từ cuối (cuối câu, cuối mệnh đề) 
