eyelash	169-17914-B
facsimile	170-8563-B,173-11076-S
facsimile equipment	170-8823-B
facsimile fax	170-8729-B
fact	170-8878-B,284-17662-S,284-17785-S
fact finding	170-9565-B
faction	170-9767-B
factional	170-9868-B
factionalism	170-9976-B
factious	170-10088-B
factiousness	170-10195-B
factitious	170-10260-B
factitiousness	170-10338-B
factitive	170-10449-B
factness	284-17911-S
facto	170-10511-B,115-23083-S,251-7842-S
facto standard	115-23290-S
factor	170-10566-B,3-4319-S,15-4188-S,17-19201-S,34-6379-S,37-5038-S,52-6534-S,61-15835-S,89-5521-S,101-4385-S,101-15705-S,101-17743-S,106-17009-S,113-20190-S,119-12533-S,119-17662-S,130-9482-S,164-12699-S,167-15427-S,169-8387-S,177-22117-S,187-11686-S,287-12544-S,378-13596-S,390-14932-S,432-12811-S,437-24044-S
factorability	170-10878-B
factorable	170-10964-B
factorage	170-11019-B
factorgram	170-11116-B
factorial	170-11171-B
factoring	170-11275-B
factorisable	170-11406-B
factorisation	170-11439-B
factorise	170-11516-B
factorization	170-11564-B
factorize	170-11627-B
factorship	170-11711-B
factory	170-11792-B,202-17558-S,298-7618-S,311-13357-S,415-9844-S
factory automation	170-11944-B
factory built	170-12183-B
factory farming	170-12003-B
factory ship	170-12098-B
factotum	170-12231-B
factual	170-12330-B
factually	170-12447-B
factum	170-12541-B
facture	170-12609-B
facula	170-12692-B
faculaae	170-12792-B
faculae	170-12877-B
facular	170-12918-B
faculative	170-12999-B
faculous	170-13052-B
facultative	170-13096-B
faculty	170-13237-B,386-19763-S
fad	170-13795-B
fadaise	170-13967-B
faddiness	170-14039-B
faddish	170-14086-B
faddishness	170-14226-B
faddism	170-14400-B
faddist	170-14472-B
faddle	176-12142-S
faddy	170-14594-B
fade	170-14630-B
fade away	170-15016-B
fade in	170-15089-B
fade out	170-15342-B
fadeless	170-15224-B
fader	170-15477-B
fading	170-15511-B,18-458-S,302-17788-S
fading channel	170-15574-B
fading period	170-15629-B
faecal	170-15686-B
faeces	170-15723-B
faena	170-15760-B
faerie	170-15888-B
faery	170-15925-B
faff	170-16057-B
fag	170-16138-B,57-3573-S,179-19083-S
fag end	170-16813-B
fagger	170-17005-B
faggery	170-17108-B
faggot	170-17220-B
fagin	170-17338-B
fagot	170-17423-B
fagoting	170-17556-B
fah	170-17608-B
fahrenheit	170-17654-B
fahrer	170-17757-B
faience	170-17825-B
fail	170-17883-B,176-2896-S
fail safe	170-19603-B
fail safe system	170-19684-B
fail safety	170-19734-B
fail year	170-20521-B
failing	170-19071-B
faille	170-19528-B
failure	170-19814-B,4-6808-S,70-6646-S,124-22300-S,217-11604-S
failure detection	170-20293-B
failure logging	170-20344-B
failure prediction	170-20396-B
failure rate	170-20452-B
fain	170-20579-B
faineance	170-20610-B
faineancy	170-20703-B
faineant	170-20765-B
fains	170-20870-B
faint	170-21195-B
faint heart	170-21821-B
faint hearted	170-21907-B
faint heartedly	170-21967-B
faint heartedness	170-22045-B
fainting	170-22154-B
fainting fit	170-22214-B
faintish	170-22277-B
faintly	170-22380-B
faintness	170-22484-B
faints	170-22672-B
fair	170-22772-B,137-3429-S,171-27693-S,193-10769-S,376-17095-S
fair and square	170-24907-B
fair complexioned	170-25062-B
fair copy	170-25146-B
fair dealing	170-25295-B
fair dos	170-25208-B
fair faced	170-25447-B
fair ground	170-25589-B
fair haired	170-25658-B
fair maid	170-26856-B
fair minded	170-26919-B
fair natured	170-27030-B
fair seeming	170-27373-B
fair spoken	170-27446-B
fair weather	170-27750-B
faire	262-22162-S,263-0-S,402-291-S,402-459-S
fairily	170-25852-B
fairing	170-25961-B
fairish	170-26163-B
fairly	170-26271-B
fairly and squarely	170-26702-B
fairness	170-27093-B
fairway	170-27536-B
fairy	170-27938-B
fairy godmother	170-28177-B
fairy lamps	170-28286-B
fairy land	170-28928-B
fairy lights	170-28341-B
fairy like	170-29022-B
fairy queen	170-28406-B
fairy ring	170-28475-B
fairy scene	170-28552-B
fairy tale	170-29085-B
fairydom	170-28618-B
fairyhood	170-28716-B
fairyism	170-28771-B
fairyland	170-28831-B
fait	34-4160-S
fait accompli	170-29258-B
faith	170-29329-B,30-8412-S,204-16807-S,383-4368-S
faith cure	171-0-B
faith curer	171-158-B
faith healer	171-983-B
faith healing	171-1115-B
faith state	171-1645-B
faithful	171-214-B
faithfully	171-556-B
faithfulness	171-856-B
faithless	171-1203-B
faithlessly	171-1363-B
faithlessness	171-1434-B
faitour	171-1724-B
fajia	171-1803-B
fake	171-2235-B
fakement	171-2602-B
faker	171-2690-B,353-6147-S
fakery	171-2819-B
fakir	171-2893-B
fakirism	171-2960-B
fal lal	171-12699-B
falangist	171-3053-B
falbala	171-3177-B
falcate	171-3248-B
falcated	171-3326-B
falcation	171-3403-B
falchion	171-3479-B
falciform	171-3531-B
falcon	171-3605-B,336-8182-S
falconer	171-3682-B
falconet	171-3784-B
falconine	171-3942-B
falconry	171-4029-B
falcula	171-4154-B
falderal	171-4220-B
faldstool	171-4373-B
falernian	171-4496-B
faliau	171-4560-B
faliaux	171-4600-B
faliscan	171-4715-B
fall	171-4790-B,125-26339-S,136-6669-S,144-7095-S,176-2986-S,189-23273-S,230-11765-S,418-5441-S,427-28585-S
fall back	171-12781-B
fall cloud	171-12921-B
fall dipthong	171-12984-B
fall door	171-13112-B
fall guy	171-11885-B,171-13502-B
fall out	171-14111-B
fall time	171-12013-B
fall trap	171-14697-B
fallacious	171-12076-B
fallaciousness	171-12188-B
fallacy	171-12317-B,331-16742-S
fallal	171-12632-B
fallback	171-12848-B
fallen	171-13165-B,74-8037-S,74-9055-S,106-17443-S,302-20892-S
faller	171-13251-B
fallers	171-13396-B
fallibility	171-13616-B
fallible	171-13712-B
falling	302-17859-S,310-25952-S
falling star	171-13791-B
falling stone	171-13851-B
fallopian	171-13917-B
fallopian tube	171-14022-B
fallow	171-14198-B
fallow deer	171-14516-B
fallowing	171-14587-B
falschood	171-14784-B
false	171-14819-B
false bottom	171-15521-B
false faced	171-15900-B
false hearted	171-15970-B
false imprisonment	171-15648-B
false signal	171-15755-B
false step	171-15793-B
false swearer	171-16514-B
false swearing	171-16590-B
false teeth	171-16652-B
falsehood	171-16074-B
falsely	171-16277-B
falseness	171-16354-B
falsetto	171-16714-B
falsework	171-16927-B
falsi	171-16996-B
falsidial	171-17041-B
falsier	171-17120-B
falsies	171-17181-B
falsification	171-17238-B
falsify	171-17474-B
falsity	171-17688-B
falstaffian	171-17790-B
falstool	171-17940-B
falt boat	171-18210-B
falt bottomed	171-18256-B
falt tire	171-18076-B
falter	171-18339-B
faltering	171-18627-B
falteringly	171-18804-B
faltterer	171-18880-B
faltteringly	171-18927-B
faltung	171-19012-B
faluns	171-19035-B
falutin	221-4547-S
faluting	221-4604-S
falx	171-19105-B
fam	171-19210-B
fame	171-19281-B,213-19533-S
famed	171-19480-B,172-6392-S
familial	171-19609-B
familiar	171-19709-B
familiarisation	171-20090-B
familiarise	171-20159-B
familiarity	171-20489-B
familiarization	171-20886-B
familiarize	171-21051-B
familiarly	171-21105-B
famille	153-5945-S
family	171-21198-B,185-10330-S,306-27915-S,310-30319-S
family allowance	171-21637-B
family bible	171-21717-B
family butcher	171-21916-B
family circle	171-22064-B
family doctor	171-22171-B
family grouping	171-22253-B
family law	171-22372-B
family likeness	171-22453-B
family man	171-22528-B
family name	171-22686-B
family planning	171-22738-B
family tree	171-22861-B
famine	171-22942-B
famish	171-23161-B
famous	171-23253-B,522-37246-S
famously	171-23353-B
famousness	171-23437-B
famuli	171-23517-B
famulus	171-23559-B
fan	171-23664-B,99-16819-S,166-1186-S,505-10496-S
fan antenna	171-24373-B
fan blade	171-25242-B
fan dance	171-24415-B
fan in	171-28972-B
fan in loading	171-29029-B
fan letter	171-29198-B
fan light	171-29279-B
fan like	171-29446-B
fan mail	171-24516-B,171-29499-B
fan out	171-29732-B
fan out loading	171-29791-B
fan shaped	171-29825-B
fan stick	171-29885-B
fan tail	171-29939-B
fan tan	171-30098-B
fan tracery	171-24592-B,172-350-B
fan vaulting	171-24703-B
fan wise	172-454-B
fanatic	171-24808-B
fanatical	171-24852-B
fanatically	171-24948-B
fanaticise	171-25022-B
fanaticism	171-25073-B
fanaticize	171-25137-B
fancier	171-25304-B,49-9133-S,136-6772-S
fanciful	171-25451-B
fancifully	171-25707-B
fancifulness	171-25778-B
fanciless	171-25938-B
fancrested	171-26015-B
fancy	171-26095-B,171-27279-B
fancy ball	171-27307-B
fancy bazaar	171-27374-B
fancy colour	171-27456-B
fancy dog	171-27531-B
fancy dress	171-27598-B
fancy fair	171-27693-B
fancy free	171-27769-B
fancy man	171-27081-B
fancy woman	171-27193-B
fancy work	171-27933-B
fandangle	171-27996-B
fandango	171-28067-B
fane	171-28190-B
fanfare	171-28245-B
fanfaronade	171-28393-B
fang	171-28562-B
fanged	171-28770-B
fangled	302-20990-S
fangless	171-28858-B
fanion	171-29064-B
fanleaved	171-29117-B
fanlight	171-29374-B
fanner	171-29598-B
fanny	171-29671-B
fantail	171-30031-B
fantasia	171-30189-B
fantasied	171-30264-B
fantasise	171-30346-B
fantasist	171-30403-B
fantasize	171-30507-B
fantasm	171-30683-B
fantast	171-30739-B
fantastic	171-30782-B
fantasticality	171-31080-B
fantastically	171-31207-B
fantasticism	172-0-B
fantasy	172-159-B
fantoccini	172-202-B
fantom	172-285-B
fanzine	172-519-B
fao	172-661-B
faq	172-788-B
faq frequently asked questions	172-872-B
faquir	172-943-B
far	172-981-B
far away	172-3483-B
far between	172-3581-B
far end	172-2539-B,145-3693-S
far end crosstalk	172-5820-B
far end crosstalk attenuation	172-5868-B
far end echo	172-5939-B
far end echo canceller	172-5984-B
far famed	172-6392-B
far fetched	172-6474-B
far flung	172-6556-B
far gone	172-2566-B,172-6633-B
far off	172-9121-B
far reaching	172-9472-B
far seeing	172-10010-B
far sighted	172-10090-B
far sightedness	172-10175-B
farad	172-2860-B
faradaic	172-2917-B
faradaism	172-2996-B
faraday constant	172-3063-B
faradaýs law	172-3121-B
faradic	172-3167-B
faradmeter	172-3215-B
farallon	172-3271-B
farandola	172-3366-B
farce	172-3692-B
farceur	172-4055-B
farcical	172-4216-B
farcicality	172-4363-B
farcically	172-4515-B
farcin	172-4585-B
farcy	172-4654-B
