diversify	135-4322-B
dodger	136-1370-B,125-16554-S,139-6572-S,350-0-S,462-21838-S
dodging	139-6668-S
dodgy	136-1784-B
dodo	136-1892-B
dodoes	136-2026-B
dodos	136-2061-B
doe	136-2095-B,256-2731-S
doek	136-2208-B
doer	136-2282-B,164-7214-S,517-32314-S
does	136-2353-B
doeskin	136-2391-B
doff	136-2464-B
dog	136-2575-B,46-1793-S,49-9076-S,50-9796-S,66-14351-S,68-20553-S,70-5150-S,133-9646-S,136-6271-S,171-27531-S,178-26111-S,178-26390-S,184-20881-S,210-15219-S,211-2950-S,225-23774-S,226-12186-S,264-6774-S,318-12324-S,329-9002-S,332-920-S,343-14442-S,343-19708-S,350-25975-S,356-3174-S,369-12478-S,401-20318-S,407-1797-S,408-26512-S,414-18397-S,416-8404-S,416-20359-S,417-17679-S,424-23173-S,436-3787-S,437-14015-S,453-9818-S,473-21870-S,514-26742-S,515-18926-S,515-29748-S,521-37149-S,524-10892-S
dog biscuit	136-5006-B,136-5517-B
dog box	136-5586-B
dog cheap	136-5820-B
dog collar	136-5052-B,136-5907-B
dog days	136-5100-B,136-6018-B
dog ear	136-6182-B
dog eared	136-6224-B
dog eat dog	136-6271-B
dog end	136-6383-B
dog faced	136-6548-B
dog fall	136-6669-B
dog fancier	136-6772-B
dog fennel	136-6885-B
dog fund	524-12505-S
dog grass	136-8452-B
dog hole	136-8536-B
dog house	136-8580-B
dog hutch	136-8715-B
dog in a blanket	136-8895-B
dog latin	136-8974-B
dog lead	136-9067-B
dog leg	136-9187-B
dog license	136-9259-B
dog like	136-9525-B
dog nail	136-10366-B
dog paddle	136-10693-B
dog poor	136-10753-B
dog rose	136-10904-B
dog s chance	136-10999-B
dog s ear	136-11160-B
dog s eared	136-11323-B
dog s grass	136-11779-B
dog s letter	136-11419-B
dog s life	136-11474-B
dog s meat	136-12246-B
dog s nose	136-11544-B
dog s tail	136-12410-B
dog s tongue	136-12541-B
dog s tooth	136-12646-B
dog salmon	136-11614-B
dog sleep	136-12155-B
dog star	136-12456-B
dog story	415-12946-S
dog tail	136-12723-B
dog tired	136-12796-B
dog tooth	136-12868-B
dog tree	136-12955-B
dog trick	136-13001-B
dog trot	136-13124-B
dog watch	136-13193-B
dog weary	136-13321-B
dog whip	136-13369-B
dog wolf	136-13424-B
dogal	136-5160-B
dogate	136-5222-B
dogbane	136-5293-B
dogberry	136-5392-B
dogcart	136-5666-B
doge	136-6122-B
dogface	136-6471-B
dogfight	136-6958-B
dogfish	136-7144-B
dogged	136-7190-B
doggedly	136-7457-B
doggedness	136-7545-B
dogger	136-7711-B
doggerel	136-7785-B
doggery	136-7892-B
doggie	136-8014-B
doggie paddle	136-8104-B
doggish	136-8173-B
doggo	136-8255-B
doggone	136-8344-B
doggy	136-8501-B
dogie	136-8828-B
dogleg	136-9123-B
doglight	136-9330-B
dogma	136-9575-B
dogmata	136-9693-B
dogmatic	136-9731-B
dogmatically	136-9828-B
dogmatics	136-9882-B
dogmatise	136-9984-B
dogmatism	136-10032-B
dogmatist	136-10147-B
dogmatize	136-10214-B
dogrose	136-10835-B
dogsbody	136-11691-B
dogshore	136-11849-B
dogskin	136-11994-B
dogsled	136-12083-B
dogtrot	136-13078-B
dogwood	136-13497-B
doh	136-13568-B
doily	136-13617-B
doing	136-13703-B,164-7295-S,517-32382-S
doit	136-14329-B
doited	136-14510-B
dojo	136-14636-B
dol	136-14728-B
dolce	136-14752-B
dolce farniente	136-14833-B
dolce vita	136-14950-B
doldrums	136-15026-B
dole	136-15255-B
doleful	136-15765-B
dolefully	136-15881-B
dolefulness	136-15946-B
dolerite	136-16084-B
dolesman	136-16142-B
dolichocephalic	136-16291-B
dolichocephalism	136-16401-B
dolichocephaly	136-16488-B
dolichocranial	136-16597-B
dolichofacial	136-16667-B
doll	136-16737-B,329-9702-S,376-17872-S,516-13073-S
doll s house	136-17353-B,136-17412-B
dollar	136-16878-B,213-11041-S
dollar sign	136-17128-B
dollish	136-17207-B
dollop	136-17260-B
dolly	136-17461-B,113-27882-S
dolly bag	136-17694-B
dolly bird	136-17773-B
dolly girl	136-17869-B
dolly shop	136-17988-B
dolly tub	136-18081-B
dolman	136-18159-B
dolman sleeve	136-18360-B
dolmen	136-18485-B
dolomite	136-18552-B
dolomitic	136-18613-B
dolomitize	136-18674-B
dolor	136-18738-B
dolorous	136-18795-B
dolose	136-18888-B
dolour	136-19008-B
dolphin	136-19113-B
dolphinarium	136-19324-B
dolt	136-19400-B
doltish	136-19476-B
doltishness	136-19518-B
domain	136-19601-B,152-10434-S
domain memory	112-9572-S
domain synthesis	190-14414-S
domanial	136-19830-B
dome	136-20037-B,22-3391-S,199-8877-S,441-27821-S
domed	136-20326-B
domelike	136-20382-B
domesday book	136-20435-B
domestic	136-20557-B
domestic product	209-7293-S
domesticable	136-21018-B
domestically	136-21108-B
domesticate	136-21186-B
domestication	136-21505-B
domesticity	136-21842-B
domesticize	136-22179-B
domett	136-22250-B
domic	136-22336-B
domical	136-22373-B
domicile	136-22440-B
domiciled	136-22782-B
domiciliary	136-22827-B
domiciliate	136-22956-B
domiciliation	136-23100-B
dominance	136-23239-B
dominant	136-23386-B
dominate	136-23760-B
domination	136-24197-B
domineer	136-24312-B
domineering	136-24463-B
domineeringly	136-24592-B
domini	21-5893-S
dominical	136-24677-B
dominical letters	136-24893-B
dominican	136-25067-B
dominie	136-25244-B
dominion	136-25371-B
dominium	136-25984-B
domino	136-26075-B
dominoed	136-26344-B
dominus	136-26447-B
dominus vobiscum	136-26522-B
domo	279-20723-S
dompass	137-0-B
don	137-116-B
don juan	137-475-B
don quixote	137-559-B
don t	137-3831-B
dona	137-657-B
donah	137-742-B
donate	137-776-B
donation	137-857-B,52-9673-S
donative	137-1047-B
donatory	137-1276-B
done	137-1518-B,213-11110-S,382-2735-S,517-32452-S
done by	215-5497-S
donee	137-1822-B
dong	137-1885-B,129-11278-S
donga	137-1982-B
donjon	137-2032-B
donkey	137-2143-B
donkey engine	137-2522-B
donkey jacket	137-2670-B
donkey s years	137-2758-B
donkey work	137-2467-B,137-2831-B
donna	137-2944-B,361-1828-S
donnish	137-3036-B
donnishness	137-3159-B
donnybrook	137-3325-B
donnybrook fair	137-3429-B
donor	137-3482-B,52-9744-S,52-11536-S
donor atom	137-3627-B
donut	137-4029-B
doo	84-21658-S
doodah	137-4070-B
doodle	137-4134-B
doodle bug	137-4293-B
doodle doo	84-21658-S
doolan	137-4445-B
doolie	137-4503-B
doom	137-4583-B,105-6849-S
doomed	137-5439-B
dooms	137-5527-B
doomsday	137-5618-B
door	137-5803-B,38-21713-S,42-7562-S,86-9295-S,137-8970-S,152-7611-S,171-13112-S,178-26439-S,180-29593-S,191-20530-S,193-18346-S,255-14443-S,303-1580-S,314-10779-S,314-13647-S,319-15714-S,390-9954-S,419-19287-S,424-19360-S,439-11972-S,439-18703-S,445-20585-S,446-30431-S,457-28957-S,457-29585-S,465-2029-S,475-24261-S
door case	137-7442-B
door curtain	137-7488-B
door frame	137-7625-B
door handle	137-7680-B
door hinge	137-7763-B
door keeper	137-7914-B
door knob	137-8021-B
door money	137-8270-B
door plate	137-8542-B
door post	137-8619-B
door s man	137-8687-B
door stone	137-8788-B
door to door	137-8970-B
door yard	137-9268-B
doorbell	137-7382-B
doored	314-10897-S
doorframe	137-7584-B
doorkeeper	137-7825-B
doorknob	137-7962-B
doorless	137-8087-B
doorman	137-8112-B
doormat	137-8193-B
doornail	137-8332-B
doorplate	137-8470-B
doors	185-879-S,185-4901-S,318-22773-S,319-15774-S
doorstep	137-8732-B
doorstop	137-8863-B
doorway	137-9103-B
dop	137-9331-B
dopa	266-738-S
dopant	137-9431-B
dope	137-9514-B
dope addict	137-10441-B
doped crystal	137-10481-B
doped germanium	137-10530-B
doped junction	137-10576-B
doped semiconductor	137-10625-B
doper	137-10684-B
dopester	137-10915-B
dopey	137-11023-B
doping	137-11202-B
dopler	184-14670-S
doppelganger	137-11310-B
doppler effect	137-11401-B
doppler indicator	145-4001-S
doppler modulation	137-11457-B
doppler radar system	137-11569-B
doppler velocity	137-11637-B
dopy	137-11694-B
dor	137-11727-B
dor beetle	137-11845-B
dor bug	137-11891-B
dor fly	137-11953-B
dorado	137-11759-B,147-15708-S
doree	255-11490-S
dorhawk	137-12036-B
dorian	137-12103-B
doric	137-12224-B
doris	135-22844-S
dorking	137-12360-B
dorm	137-12432-B
dormancy	137-12497-B
dormant	137-12575-B
dormer	137-13230-B
dormer window	137-13275-B
dormeuse	137-13351-B
dormice	137-13458-B
dormient	137-13542-B
dormitive	137-13596-B
dormitory	137-13691-B
dormouse	137-13894-B
dorms	137-13936-B
dorothy bag	137-14007-B
dorp	137-14114-B
dorris	135-22952-S
dorsal	137-14160-B
dorsal fin	137-14272-B
dorsalis	137-14332-B
dorsicolumn	137-14402-B
dorsicornu	137-14475-B
