celluloid [01/'seljulɔid/]	[01* dtừ]\n- (hoá) xenluloit
cento [01/'sentou/]	[01* dtừ] s/n [03centos]\n- bài thơ chắp nhặt (gồm những đoạn lấy ở các nhà thơ khác)\n- cái chắp vá, vật chắp vá
central [01/'sentrəl/]	[01* ttừ]\n- ở giữa, ở trung tâm; trung ương\n[02= the central government] chính quyền trung ương\n[02= my house is very central] nhà tôi ở rất gần trung tâm (thành phố...)\n- chính, chủ yếu, trung tâm\n[02= the central figure in a novel] nhân vật trung tâm trong cuốn tiểu thuyết\n[04! central heating]\n- sự sưởi tập trung (sưởi ấm bằng hơi nước nóng hay nước nóng chảy qua một hệ thống ống từ một nguồn ở trung tâm)\n[01* dtừ]\n- (Mỹ) tổng đài điện thoại
central bank [01/'sentrəlbæηk/]	- (ktế) Ngân hàng trung ương
central computer	- (kỹ) máy điện toán trung ương
central data processor	- (kỹ) bộ xử lý dữ kiện trung ương
central heating [01/'sentrəl'hi:tiη/]	[01* dtừ]\n- hệ thống sưởi ấm một toà nhà từ một nguồn duy nhất bằng nước nóng hoặc hơi nóngluần chuyển qua các đường ống hoặc bằng các lò sưởi nối liền với nguồn đó; hệ thống sưởi trung tầm
central nervous system [01/'sentrəl,nə:vəs'sistəm/]	[01* dtừ]\n- hệ thần kinh trung ương
central processing unit (CPU)	như [03CPU (central processing unit)]
central processor [01/,sentrəl prou'sessə/]	[01* dtừ]\n- bộ xử lý trung tâm
central reservation [01/,sentrəl,resə'veiʃn/]	[01* dtừ]\n- dải cỏ hoặc nhựa đường ngăn cách hai làn đường của một xa lộ
Central Standard Time	[01* dtừ]\n-(Mỹ)((vt) CST) giờ tiêu chuẩn dùng trong khu vực bao gồm các bang miền rung của Hoa Kỳ
centralise [01/'sentrəlaiz/]	[01* ngđtừ]\n- tập trung\n- quy về trung ương
centralism [01/'sentrəlizm/]	[01* dtừ]\n- chế độ tập quyền trung ương; chế độ tập trung\n[02= democratic centralism] chế độ tập trung dân chủ
centralist	- xem [03centralism] 
centralistic	như [03centralist]
centrality [01/sen'træliti/]	[01* dtừ]\n- tình trạng ở trung tâm\n- xu hướng đứng ở trung tâm
centralization [01/,sentrəlai'zei∫n/]	[01* dtừ]\n- sự tập trung\n- sự tập quyền trung ương
centralize [01/'sentrəlaiz/]	như [03centralise]
centralized design	- (kỹ) thiết kế tập trung hóa
centralized routing	- (kỹ) lộ trình tập trung
centralizer	- xem [03centralize] 
centrally	- xem [03central] 
centre [01/'sentə/]	[01* dtừ]\n- điểm giữa, tâm; trung tâm; trung khu; trung ương\n[02= the centre of a circle] tâm vòng tròn\n[02= centre of commerce] trung tâm thương nghiệp\n[02= shopping centre] trung tâm buôn bán\n- nhân vật trung tâm\n- (thể thao) trung phong (bóng đá)\n- (chính trị) phái giữa\n- (qsự) đạo trung quân\n- (kỹ) mẫu, dưỡng (dùng trong luyện kim)\n- (kiến trúc) khung tò vò, khung bán nguyệt (bằng gỗ, dùng khi xây dựng)\n[01* đtừ]\n- đặt vào giữa, để vào giữa, tập trung vào, xoáy quanh\n[02= to centre one's hopes on] tập trung hy vọng vào\n[02= the discusion centred round one point] cuộc thảo luận quay quanh một điểm\n- (thể thao) đá (bóng) vào giữa\n- tìm tâm (của vật gì) 
centre = center	- (kỹ) trung tâm, trung ương
centre of gravity [01/'sentərɔv'græviti/]	[01* dtừ]\n- trọng tâm
centre spread [01/'sentəspred/]	[01* dtừ]\n- hai trang đối diện nhau (trong một tờ báo) 
centre-back [01/'sentəbæk/]	[01* dtừ]\n- hậu vệ phòng (bóng đá) 
centre-bit [01/'sentəbit/]	[01* dtừ]\n- mũi khoan
centreboard [01/'sentəbɔ:d/]	[01* dtừ]\n- tấm ván giữ cho thuyền buồm khỏi bị trôi giạt
centred [01/'sentəd/]	[01* ttừ]\n- có một trung tâm
centre-fold [01/'sentəfould/]	[01* dtừ]\n- ảnh màu phóng to lồng giữa các trang của một tờ tạp chí
centre-forward [01/'sentə,fɔ:wəd/]	[01* dtừ]\n- (thể thao) trung phong (bóng đá) 
centre-half [01/'sentəhɑ:f/]	[01* dtừ]\n- trung vệ bóng đá
centre-line [01/'sentə lain/]	[01* dtừ]\n- đường tâm
centre-piece [01/'sentəpi:s/]	[01* dtừ]\n- vật trang trí (đặt) giữa bàn
centre-rail [01/'sentəreil/]	[01* dtừ]\n- (ngành đường sắt) đường ray giữa (ở những đường leo núi) 
centrespread [01/,sentəs'pre:d/]	- xem [03centre-spread] 
centre-spread [01/,sentəs'pre:d/]	[01* dtừ]\n- hai trang giữa đối diện nhau của một tờ báo hoặc tạp chí
centric [01/'sentrik/]	như [03centrical]
centric(al)	- trung tâm chính
centrical [01/'sentrikəl/]	[01* ttừ]\n- (thuộc) chỗ chính giữa (thuộc) tung tâm; ở giữa, ở trung tâm\n- (sinh vật)(thuộc) trung khu thần kinh
centrically	như [03centricity]
centricity	- xem [03centric] 
centrifugal [01/sen'trifjugel/]	[01* ttừ]\n- ly tâm\n[02= centrifugal force] lực ly tâm\n[02= centrifugal machine] máy ly tâm
centrifugalism	như [03centrifugally]
centrifugally	- xem [03centrifugal] 
centrifugarl	- ly tâm
centrifugation	- xem [03centrifuge] 
centrifuge [01/'sentrifju:dʒ/]	[01* dtừ]\n- máy ly tâm
centring [01/'sentriη/]	[01* dtừ]\n- sự định tâm, khoan tâm
centriole [01/'sentrioul/]	[01* dtừ]\n- (sinh học) hạt trung tâm; hạt tâm; trung thể
centripetal [01/sen'tripitl/]	[01* ttừ]\n- hướng tâm\n[02= centripetal force] lực hướng tâm
centripetally	- xem [03centripetal] 
centrism [01/'sentrizəm/]	[01* dtừ]\n- chủ trương ôn hoà, đường lối ôn hoà <chtrị>
centrist [01/'sentrist/]	[01* dtừ]\n- người chủ trương ôn hoà
centrode	- đường tâm quay tức thời
centroid [01/'sentrɔid/]	[01* dtừ]\n- trung tâm khối lượng; trọng tâm
centromere [01/'sentrə,miə/]	[01* dtừ]\n- (sinh học) đoạn trung tâm; đoạn tâm; trung đoạn; vùng gắn thoi
centroplasm [01/'sentrə,plæzm/]	[01* dtừ]\n- (sinh học) chất trung tâm
centrosome [01/'sentrə,soum/]	[01* dtừ]\n- (sinh học) thể trung tâm; thể tâm; trung thể
centrosphere [01/'sentrə, sfiə/]	[01* dtừ]\n- (sinh học) cầu trung tâm; trung cầu
centrum [01/'sentrəm/]	[01* dtừ] s/n [02centrums, centra]\n- (sinh học) thân đốt sống; thể trung tâm; cầu trung tâm
centuple [01/'sentjupl/]	[01* ttừ]\n- gấp trăm lần\n[01* ngđtừ]\n- nhân lên trăm lần
centuplicate [01/sen'tju:plikit/]	[01* dtừ]\n- trăm bản\n[02= in centuplicate] thành trăm bản (in...)\n[01* ttừ]\n- như [03centuple]\n[01* ngđtừ]\n- (như) [03centuple] 
centurial	- xem [03centurion] 
centurion [01/sen'tjuriən/]	[01* dtừ]\n- sự quan chỉ huy một trăm binh sự
century [01/'sent∫əri/]	[01* dtừ]\n- trăm năm, thế kỷ\n- trăm (cái gì đó...)\n- (Mỹ),(tục) trăm đô la\n- (cổ)(La mã) đại đội (gồm 100 người) 
centurylong	[01* ttừ]\n- kéo dài trong một thế kỷ
century-plant [01/'sent∫əri,plɑ:nt/]	như [03agave]
ceo	[01* dtừ]\n- viết tắt của [03Chief Executive Officer]\n- Người lãnh đạo cao nhất trong một công ty hoặc một tổ chức, chịu trách nhiệm thực hiện hàng ngày các chính sách của hội đồng quản trị\n- dtừ, viết tắt của [03Chief Executive Officer]\n- Người lãnh đạo cao nhất trong một công ty hoặc một tổ chức, chịu trách nhiệm thực hiện hàng ngày các chính sách của hội đồng quản trị
cep [01/sep/]	[01* dtừ]\n- (thực vật) nấm xép
cephalad [01/'sefə, læd/]	[01* phtừ]\n- về phía đầu
cephalic [01/ke'fælik/]	[01* ttừ]\n- (thuộc) đầu; ở trong đầu\n[02= cephalic index] chỉ số đầu
cephalically	- xem [03cephalic] 
cephalometry [01/'sefə'lɔmitri/]	[01* dtừ]\n- phép đo đầu
cephalopod [01/'sefəloupɔd/]	[01* dtừ]\n- (động vật) động vật chân đầu (thân mềm) 
cephalopodan	- xem [03cephalopod] 
cephalothorax [01/,sefəlou'θɔ:ræks/]	[01* dtừ]\n- (động vật) phần đầu ngực
cephalous [01/'sefələs/]	[01* ttừ]\n- có đầu
ceraceous [01/se'rei∫əs/]	[01* ttừ]\n- giống như sáp
ceramal [01/se'reiməl/]	[01* dtừ]\n- xem [03ceramet] 
ceramet [01/'serəmet/]	- Cách viết khác : [03cermet]
ceramic [01/si'ræmik/]	[01* ttừ]\n- (thuộc) nghề làm đồ gốm
ceramic capacitor	- (kỹ) bộ tụ điện loại gốm
ceramic insulator	- (kỹ) cái cách điện bằng gốm
ceramics [01/si'ræmiks/]	[01* dtừ, s/n dùng như số ít]\n- thuật làm đồ gốm
ceramist [01/'serəmist/]	[01* dtừ]\n- thợ làm đồ gốm
cerastes [01/si'ræsti:z/]	[01* dtừ]\n- (động vật) rắn độc có gai trên mắt
ceratodus [01/si'rætədəs; serə'toudəs/]	[01* dtừ]\n- (động vật) cá một phổi\n- cá có sừng (hoá thạch) 
cerberus [01/'sə:bərəs/]	[01* dtừ]\n- chó ba đầu (gác cổng âm phủ, trong thần thoại Hy lạp)\n[04! sop to Cerberus]\n- quà đút lót (cho quan lại, người gác cổng...) 
cercal [01/'sə:kəl/]	[01* ttừ]\n- thuộc đuôi
cercaria [01/'səkeəriə/]	[01* dtừ] s/n [02cercariae]\n- ấu trùng dạng tim có đuôi
cercopid [01/'sə:kə:pid/]	[01* dtừ]\n- ve sầu nhảy
cere [01/siə/]	[01* dtừ]\n- (động vật) da gốc mỏ (chim) 
cereal [01/'siəriəl/]	[01* ttừ]\n- (thuộc) ngũ cốc\n[01* dtừ]\n- ((thường) số nhiều) ngũ cốc\n- món ăn (bằng) ngũ cốc
cerebellar	- xem [03cerebellum] 
cerebellum [01/,seri'beləm/]	[01* dtừ]\n- thuộc não; thuộc óc\n[02= cerebellum haemorrhage] sự chảy máu não\n- (ngôn) quặt lưỡi (âm) 
cerebral [01/'seribrəl/]	[01* dtừ]\n- (ngôn) âm quặt lưỡi
cerebral neuron	- (kỹ) tế bào thần kinh não
cerebrally	- xem [03cerebral] 
cerebrate [01/'serəbreit/]	[01* nđtừ]\n- sử dụng trí não
cerebration [01/,seri'brei∫n/]	[01* dtừ]\n- sự hoạt động của não; sự suy nghĩ\n[02= unconscious cerebration] sự hoạt động không có ý thức của não
cerebro-spinal [01/'serəbrou,spainəl/]	[01* ttừ]\n- thuộc não-tủy sống
cerebro-vascular [01/'serəbrou'væskjulə/]	[01* ttừ]\n- thuộc não-mạch
cerebrum [01/'seribrəm/]	[01* dtừ]\n- (phẫu) não, óc
cerecloth [01/'siəklɔ:θ/]	[01* dtừ]\n- vải sáp (không thấm nước; dùng để bọc hay liệm) 
cered	- xem [03cere] 
cerement [01/'siəmənt/]	[01* dtừ]\n- (như) [03cerecloth]\n- (số nhiều) quần áo liệm
ceremonial [01/,seri'mounjəl/]	[01* dtừ]\n- nghi lễ, nghi thức\n- sự tuân theo nghi thức\n[01* ttừ]\n- thuộc nghi lễ, thuộc nghi thức\n- để dùng trong cuộc lễ
ceremonialism [01/,seri'mounjəlizm/]	[01* ttừ]\n- (thuộc) nghi lễ, (thuộc) nghi thức\n- để dùng trong cuộc lễ
ceremonialist [01/,seri'mounjəlist/]	[01* dtừ]\n- tính chuộng nghi lễ, tính chuộng nghi thức\n[01* dtừ]\n- người chuộng nghi lễ, người chuộng nghi thức
ceremonially [01/,seri'mounjəli/]	[01* phtừ]\n- trịnh trọng, long trọng
ceremonious [01/,seri'mounjəs/]	[01* ttừ]\n- chuộng nghi thức\n- kiểu cách
ceremoniously [01/,seri'mounjəsli/]	[01* phtừ]\n- kiểu cách, khách sáo
ceremoniousnes [01/,seri'mounjəsnis/]	như [03ceremoniousness]
ceremoniousness [01/,seri'mounjəsnis/]	[01* dtừ]\n- tính chuộng nghi thức\n- tính kiểu cách
ceremony [01/'seriməni/]	[01* dtừ]\n- nghi thức, nghi lễ\n- sự khách sáo, sự kiểu cách\n[02= there is no need for ceremony between friends] giữa bạn bè với nhau không cần phải khách sáo\n[04! to stand on (upon) ceremony]\n- xem [03stand]\n[04! without ceremony]\n- tự nhiên không khách sáo
ceresin [01/'serisin/]	[01* dtừ]\n- (hoá) xêrexin
cereus [01/'siəriəs/]	[01* dtừ]\n- (thực vật) cây xương rồng khế
ceria [01/'siəriə/]	[01* dtừ]\n- (hoá) xeri (ô xit) 
