anencephalous [01/ænin'sefələs/]	[01* ttừ]\n- không não
angina [01/æn'dʒainə/]	[01* dtừ]\n- (y) bệnh viêm họng\n[02= angina pectoris] (y) chứng đau thắt ngực
angina pectoris [01/æn'ʤainə'pektəris/]	[01* dtừ]\n- cũng [03angina], chứng đau thắt ngực
anginal	- xem [03angina] 
anginose [01/æn'dʒainous/]	như [03anginous]
anginous [01/æn'dʒainəs/]	[01* ttừ]\n- (y)(thuộc) bệnh viêm họng
angioblast [01/,ændʒiou'blæst/]	[01* dtừ]\n- nguyên bào mạch
angiocarp [01/'ændʒiou'ka:p/]	[01* dtừ]\n- quả bọc, quả kín
angiogamy [01/,ændʒiou'gæmi/]	[01* dtừ]\n- (thực vật) tính thụ phấn kín
angiogenesis [01/,ændziou'dʒenisis/]	[01* dtừ]\n- sự hình thành mạch
angiographic [01/,ændʒi'ɔgræfik/]	[01* ttừ]\n- (y) thuộc sự chụp tia X mạch
angiography [01/ændʒi'ɔgrəfi/]	[01* dtừ]\n- (y) sự chụp tia X mạch
angiology [01/ændʒi'ɔlədʒi/]	[01* dtừ]\n- sự nghiên cứu mạch máu, mạch bạch huyết\n- (phẫu) học mạch học
angioma [01/,ændʒi'oumə/]	[01* dtừ]\n- (y) u mạch
angiomatous	- xem [03angioma] 
angiosperm [01/'ændʒiəspə:m/]	[01* dtừ]\n- (thực vật) cây hạt kín
angiospermous [01/,ændʒiəs'pə:məs/]	[01* ttừ]\n- (thực vật)(thuộc) cây hạt kín; có hạt kín
angle [01/'æηgl/]	[01* dtừ]\n- góc\n[02= acute angle] góc nhọn\n[02= obtuse angle] góc tù\n[02= right angle] góc vuông\n[02= angle of rotation] góc quay\n[02= angle of repose] góc nghỉ\n[02= angle of view] góc nhìn, góc ngắm\n[02= angle of deflection] góc lệch\n[02= angle of reflection] góc phản xạ\n[02= angle of cut-off] góc cắt\n- góc xó\n- (bóng) quan điểm, khía cạnh\n[02= to look at the question from all angles] nhìn vấn đề trên mọi khía cạnh\n[02= to get a new angle on something] (tục) có một quan niệm mới về cái gì\n[01* đtừ]\n- đi xiên góc, rẽ về\n- làm sai lệch, xuyên tạc (sự việc, câu chuyện)\n[01* dtừ]\n- (cổ) lưỡi câu\n[04! brother of the angle]\n- người câu cá\n[01* nđtừ]\n- câu cá\n- (bóng) câu, kiếm chác, tranh thủ\n[02= to angle for somebody's heart] cố tranh thủ tình cảm của ai, cố lấy lòng ai
angle bracket [01/'ængl brækit/]	- (kỹ) dấu ngoặc nhọn
angle of aspect	- (kỹ) góc bao quát
angle of cut-off	- (kỹ) góc cắt
angle of elevation	- (kỹ) góc ngẩng/ngưỡng; góc cao, góc chính diện
angle of flow	- (kỹ) góc giao thông, góc khí lưu
angle of groove	- (kỹ) góc của rãnh (đĩa hát) 
angle of incidence [01/'æηgl əv'insidəns/]	- (kỹ) góc tới
angle of lag	- (kỹ) góc muộn
angle of polarization	- (kỹ) góc phân cực
angle of reflection [01/'æηgl əv ri'flek∫n/]	[01* dtừ]\n- góc phản xạ
angle of refraction [01/'æηgl əv ri'fæk∫n/]	[01* dtừ]\n- góc khúc xạ
angle of sight	- (kỹ) thị giác, góc bao quát
angle reflector	- (kỹ) bộ phản xạ góc, gương phản xạ
angle shock wave	- (kỹ) sóng va chạm góc, sóng chấn động góc
angle tracking	- (kỹ) truy tích góc
angled [01/'æηgld/]	[01* ttừ]\n- có góc, có góc cạnh
angle-iron [01/'æηgl,aiən/]	như [03l-bar]
angler [01/'æηglə/]	[01* dtừ]\n- người câu cá\n- (động vật) cá vảy chân
angle-wise [01/'æɳglwaiz/]	[01* phtừ]\n- có góc, có góc cạnh
angleworm [01/'æηglwə:m/]	như [03fish-worm]
anglican [01/'æηglikən/]	[01* ttừ]\n- (thuộc) giáo phái Anh\n- (Mỹ)(thuộc) nước Anh\n[01* dtừ]\n- người theo giáo phái Anh
anglicanism [01/'æηglikənizm/]	[01* dtừ]\n- (tôn giáo) giáo phái Anh
anglice [01/'æηglisi/]	[01* phtừ]\n- bằng tiếng Anh
anglicise [01/'æηglisaiz/]	[01* ngđtừ]\n- Anh hoá
anglicism [01/'æηglisizm/]	[01* dtừ]\n- từ ngữ đặc Anh\n- nguyên tắc chính trị của Anh
anglicization [01/,æηglisai'zei∫n/]	[01* dtừ]\n- sự Anh hoá
anglicize [01/'æηglisaiz/]	như [03anglicise]
angling [01/'æηgliη/]	[01* dtừ]\n- sự đi câu cá
anglo-	- (dạng kết hợp) Anh
Anglo [01/'æηglou/]	[01* dtừ] s/n [03Anglos]\n- người Canada mà tiếng Anh là mẹ đẻ
Anglo-American [01/'æηglouə'merikən/]	[01* ttừ]\n- Anh Mỹ\n- (thuộc) người Mỹ gốc Anh\n[01* dtừ]\n- người Mỹ gốc Anh
anglo-catholic	[01* dtừ]\n- tín đồ giáo phái Anh-Cơ đốc
Anglo-French [01/'æηglou'frent∫/]	[01* ttừ]\n- Anh Pháp\n- (thuộc) tiếng Pháp Anh (tiếng Pháp dùng ở Anh thời Trung cổ)\n[01* dtừ]\n- tiếng Pháp Anh (tiếng Pháp dùng ở Anh thời Trung cổ) 
Anglo-Indian [01/'æηglou'indjən/]	[01* ttừ]\n- Anh lai Ân Độ
Anglomania [01/,æηglou'meinjə/]	[01* dtừ]\n- sự sùng Anh
Anglomaniac [01/,æηglou'meiniæk/]	[01* dtừ]\n- người quá sùng Anh, người hay bắt chước phong tục Anh
Anglo-Norman [01/,æηgləʊ 'nɔ:mən/]	[01* ttừ]\n- (thuộc) Anh Nóoc-măng\n[01* dtừ]\n- ngựa lai Anh- Nóoc-măng\n- tiếng Anh- Nóoc-măng
Anglophile [01/'æηgloufail/]	như [03pro-British]
Anglophobe [01/'æηgloufoub/]	[01* ttừ]\n- bài Anh\n[01* dtừ]\n- người bài Anh
Anglophobia [01/,æηglou'foubjə/]	[01* dtừ]\n- sự bài Anh; chủ trương bài Anh
Anglophone [01/'æηgləfoun/]	[01* ttừ]\n- nói tiếng Anh
anglophonic	[01* ttừ]\n- nói tiếng Anh; sử dụng tiếng Anh
Anglo-Saxon [01/'æηglou'sæksən/]	[01* ttừ]\n- Ăng-lô-Xắc-xông\n[01* dtừ]\n- dòng Ăng-lô-Xắc-xông\n- người Ăng-lô-Xắc-xông, người nh gốc Ăng-lô-Xắc-xông\n- tiếng Ăng-lô-Xắc-xông
angola [01/æɳ'goulə/]	như [03angora]
angonekton [01/æηgə'nektən/]	[01* dtừ]\n- cá trụi; động vật sống tạm thời trong vực nước
angora [01/æη'gɔ:rə/]	[01* dtừ]\n- mèo angora ((cũng) [03angora cat] )\n- dê angora ((cũng) [03angora goast] )\n- thỏ angora ((cũng) [03angora rabbit] )\n- lông len thỏ angora; lông len dê angora\n- hàng angora (dệt bằng lông len dê angora) 
angostura [01/,æηgɔs'tjuərə/]	[01* dtừ]\n- vỏ angotua (vỏ một loài cây thuộc họ cam dùng làm thuốc giải nhiệt và thuốc bổ) 
angrily [01/'æηgrili/]	[01* phtừ]\n- tức giận, giận dữ
angry [01/'æηgri/]	[01* ttừ]\n- giận, tức giận, cáu\n[02= to be (get) angry with (at) someone] tức giận ai\n[02= to be (get) angry at (about) something] tức giận về cái gì\n[02= to make someone angry] làm cho ai tức giận, chọc tức ai\n- nhức nhối, viêm tấy (vết thương)\n- hung dữ, dữ\n[02= angry winds] gió dữ\n[02= angry waves] sóng dữ
angst [01/æηst/]	[01* dtừ(tiếng Đức)]\n- cảm giác lo lắng, tội lỗi hoặc hối hận, nhất là về tình trạng thế giới
angstrom [01/'æηstrəm/]	- (kỹ) angstrom (A)(10 lũy thừa -10 mét) 
angstrom unit [01/'ɔɳstrə/]	[01* dtừ]\n- rađiô Angstrom
anguine [01/'æηgwin/]	[01* ttừ]\n- (thuộc) rắn; như rắn
anguish [01/'æηgwi∫/]	[01* dtừ]\n- nỗi đau đớn, nỗi thống khổ, nỗi khổ não (thể xác và tinh thần)\n[02= to cause someone anguish] làm cho ai đau khổ\n[02= to be in anguish] đau khổ\n[02= anguish of body and mind] nỗi đau khổ về thể xác và tinh thần
anguished [01/'æηgwi∫t/]	[01* ttừ]\n- đau khổ
angular [01/'æηgjulə/]	[01* ttừ]\n- (thuộc) góc\n[02= angular frequency] tần số góc\n[02= angular point] điểm góc\n[02= angular velocity] vận tốc góc\n- có góc, có góc cạnh\n- đặt ở góc\n- gầy nhom, gầy giơ xương (người) ; xương xương (mặt)\n- không mềm mỏng, cộc lốc; cứng đờ (dáng người) 
angular acceleration [01/'æηgju:lə əksələ'rei∫n/]	[01* dtừ]\n- gia tốc góc
angular deflection	- (kỹ) độ lệch góc
angular deviation	- (kỹ) độ chênh góc
angular distance	- (kỹ) cự ly góc
angular frequency	- (kỹ) tần số góc
angular length	- (kỹ) độ dài góc
angular light sensing	- (kỹ) cảm nhận ánh sáng góc
angular modulation	- (kỹ) biến điệu góc
angular oscillation	- (kỹ) dao động góc
angular width	- (kỹ) độ rộng góc
angularity [01/,æηgju'læriti/]	[01* dtừ]\n- sự có góc, sự thành góc\n- sự gầy còm, sự giơ xương; vẻ xương xương (người, mặt)\n- tính không mềm mỏng, tính cộc lốc; tính cứng đờ (dáng...) 
angularly [01/'æηgjuləli/]	[01* phtừ]\n- có góc, có góc cạnh\n- cộc lốc, cứng đờ
angularness [01/'æηgjulənis/]	như [03angularity]
angulate [01/'æηgjuleit/]	[01* ttừ]\n- có góc, có góc cạnh\n[01* ngđtừ]\n- làm thành góc, tạo thành góc
angulately	- xem [03angulate] 
angulation [01/,æηgju'lei∫n/]	[01* dtừ]\n- sự làm thành góc, sự tạo thành góc\n- hình có góc
angulosplenial [01/æηgjulə'spli:njəl/]	[01* dtừ]\n- (phẫu) học xương góc hàm
angulous [01/'æηgjuləs/]	[01* ttừ]\n- có góc
angustifoliate [01/æη,gʌsti'fouliit/]	[01* ttừ]\n- (thực vật) có lá hẹp
angustura [01/,æηgəs'tjuərə/]	như [03angostura]
anharmonic	- phi điều hoà, kép
anharmonic resonance	- (kỹ) cộng hưởng phi điều hòa
anhelation [01/,ænhi'lei∫n/]	[01* dtừ]\n- (y) sự đoản hơi
anhelous [01/æn'hi:ləs/]	[01* ttừ]\n- (y) đoản hơi
anhydride [01/æn'haidraid/]	[01* dtừ]\n- (hoá) Anhydrit
anhydrite [01/æn'haidrait/]	[01* dtừ]\n- (khoáng) thạch cao khan
anhydrobiosis [01/ænhaidrou'baiəsis/]	[01* dtừ]\n- sự sống thiếu nước; đời sống khan nước
anhydrous [01/æn'haidrəs/]	[01* ttừ]\n- (hoá) khan\n[02= anhydrous salt] muối khan\n[02= anhydrous state] trạng thái khan
aniconic [01/,ænai'kɔnik/]	[01* ttừ]\n- không có hình như người; không có hình như động vật (tượng thờ, hình tượng) 
anicut [01/'ænikʌt/]	như [03annicut]
anidian	[01* ttừ]\n- (sinh học) không dạng
anigh [01/ə'nai/]	[01* phtừ & gtừ]\n- gần
anil [01/'ænil/]	[01* dtừ]\n- cây chàm\n- chất chàm (để nhuộm) 
anile [01/'einail/]	[01* ttừ]\n- (thuộc) bà già; có tính bà già\n- ngu dại, ngu ngốc; lẩm cẩm, lẩn thẩn, lú lẫn
aniline [01/'ænili:n/]	[01* dtừ]\n- (hoá) Anilin
anilingus [01/eini'liηgəs/]	[01* dtừ]\n- cách liếm đít (để kích thích) 
anility [01/ə'niliti/]	[01* dtừ]\n- tính lẩm cẩm, tính lẩn thẩn, tính lú lẫn (của bà già) 
anima [01/'ænimə/]	[01* dtừ]\n- (y) bản ngã cá nhân
animadversion [01/,ænimæd'və:∫n/]	[01* dtừ]\n- sự khiển trách, sự chỉ trích, sự phê bình
animadvert [01/,ænimæd'və:t/]	[01* nđtừ]\n- ((thường) + [04on, upon]) khiển trách, chỉ trích, phê bình\n[02= to animadvert on someone's behavious] khiển trách thái độ của ai
animal [01/'æniməl/]	[01* dtừ]\n- động vật, thú vật\n[02= domestic animal] động vật nuôi\n[02= wild animal] động vật hoang dại\n- người đầy tính thú\n[01* ttừ]\n- (thuộc) động vật, (thuộc) thú vật\n[02= the animal kingdom] giới động vật\n- (thuộc) xác thịt\n[02= animal spirits] tính sôi nổi, tính yêu đời
animal magnetism [01/'æniməl 'mægnitizm/]	[01* dtừ]\n- từ lực động vật; sức lôi cuốn của thể xác
animal pole [01/'æniməl poul/]	[01* dtừ]\n-(sinh học) cực động vật; cực mầm
animal starch [01/'æniməl sta:t∫/]	[01* dtừ]\n-(sinh học) Glicogen; tinh bột động vật
animalcular [01/,æni'mælkjulə/]	[01* ttừ]\n- (thuộc) vi động vật
animalcule [01/,æni'mælkju:l/]	[01* dtừ]\n- vi động vật
animalise [01/'æniməlaiz/]	[01* ngđtừ]\n- động vật hoá\n- làm cho có tính thú\n- hoá thành nhục dục
animalism [01/'æniməlizm/]	[01* dtừ]\n- hoạt động của động vật; tính động vật, tính thú\n- nhục dục, nhục cảm\n- thuyết người là thú
animalist [01/'æniməlist/]	[01* dtừ]\n- kẻ cho thuyết người là thú\n- hoạ sĩ động vật
animalistic	- xem [03animalism] 
animality [01/,æni'mæliti/]	[01* dtừ]\n- tính động vật, tính thú\n- giới động vật\n- loài động vật
animalization [01/,æniməlai'zei∫n/]	[01* dtừ]\n- sự động vật hoá\n- sự làm thành tính thú\n- sự hoá thành nhục dục
animalize [01/'æniməlaiz/]	như [03animalise]
animalness [01/'æniməlnis/]	[01* dtừ]\n- tính động vật, tính thú vật
animate [01/'ænimit/]	[01* ttừ]\n- có sinh khí, có sức sống\n- nhộn nhịp, náo nhiệt\n[01* ngđtừ]\n- làm cho sống, làm cho có sinh khí\n- làm nhộn nhịp, làm náo nhiệt, làm sinh động, làm sôi nổi\n- cổ vũ, làm phấn khởi
animated [01/'ænimeitid/]	[01* ttừ]\n- đầy sức sống, đầy sinh khí\n- nhộn nhịp, náo nhiệt, sôi nổi\n[02= animated discussion] cuộc thảo luận sôi nổi\n- được cổ vũ, phấn khởi lên
animated cartoon [01/'ænimeitidkɑ:'tu:n/]	[01* dtừ]\n- phim hoạt hoạ
animated sequence	- (kỹ) cảnh (phim) sống động
animatedly	- xem [03animated] 
animation [01/,æni'mei∫n/]	[01* dtừ]\n- lòng hăng hái, nhiệt tình; sự cao hứng, sự hào hứng\n- tính hoạt bát, sinh khí\n- sự nhộn nhịp, sự náo nhiệt, sự sôi nổi\n- (văn học) tính sinh động, tính linh hoạt\n- sự cỗ vũ\n- sự sản xuất phim hoạt hoạ
animato [01/,ɑ:ni'mɑ:tou/]	[01* phtừ]\n- (âm nhạc) hoạt động sôi nổi
animator [01/'ænimeitə/]	[01* dtừ]\n- người cổ vũ\n- (điện ảnh) hoạ sĩ phim hoạt hoạ
animatronics	- (kỹ) hoạt họa/hình điện tử
animé [01/'ænimei/]	[01* dtừ]\n- nhựa animê (dùng làm véc-ni)\n- nhựa
animism [01/'ænimizm/]	[01* dtừ]\n- (triết học) thuyết vật linh\n- thuyết duy linh (đối với duy vật) 
animist [01/'ænimist/]	[01* dtừ]\n- (triết học) người theo thuyết vật linh\n- người theo thuyết duy linh
animistic [01/,æni'mistik/]	[01* ttừ]\n- (triết học)(thuộc) thuyết vật linh\n- (thuộc) thuyết duy linh
animosity [01/,æni'mɔsiti/]	[01* dtừ]\n- sự thù oán, hận thù; tình trạng thù địch\n[02= to have animosity againts (towards) someone] thù oán ai\n[02= animosity between two nations] tình trạng thù địch giữa hai quốc gia
animus [01/'æniməs/]	[01* dtừ]\n- tinh thần phấn chấn\n- (pháp lý) ý định, động cơ, hành động\n- (như) [03animosity] 
anion [01/'ænaiən/]	[01* dtừ]\n- (lý) Anion
anionic	như [03anionically]
anionically	- xem [03anion] 
anise [01/'ænis/]	[01* dtừ]\n- (thực vật) cây anit (thuộc) họ hoa tán
aniseed [01/'ænisi:d/]	[01* dtừ]\n- hạt anit
aniseikonia [01/,ænaisai'kounjə/]	[01* dtừ]\n- chứng hai mắt nhìn một vật thấy kích thước khác nhau
anisette [01/,æni'zet/]	[01* dtừ]\n- rượu anit
anisocarpous [01/ænaisə'ka:pəs/]	[01* ttừ]\n- (thực vật) có lá noãn không đều
anisocercal [01/ænaisə'sə:kəl/]	[01* ttừ]\n- có thùy vây đuôi không đều
anisochronous	- (kỹ) dị thời
anisocoria [01/ænaisə'kɔriə/]	[01* ttừ]\n- đồng tử không đều
anisodactylous [01/,ænaisə'dæktiləs/]	[01* ttừ]\n- (động vật) có chân khác
anisogamete [01/ænaisə'gæmi:t/]	[01* dtừ]\n- giao tử không đều
anisogamic [01/ænaisə'gæmik/]	[01* ttừ]\n- bất đẳng giao (dị giao) 
anisogamont [01/ænaisə'gæmənt/]	[01* dtừ]\n- sinh vật bất đẳng giao
anisogamy [01/,ænai'sɔgəmi/]	[01* dtừ]\n- (thực vật) hiện tượng dị giao; hiện tượng bất đẳng giao
anisogene [01/ænai'sɔdʒen/]	[01* dtừ]\n- gen không đồng nhất
anisogenous [01/ænais'sɔdʒenəs/]	[01* ttừ]\n- có gen không đồng nhất
