lossless	275-1989-B
lumberer	276-13980-B
lumbering	276-14054-B
lumberjack	276-14122-B
lumberman	276-14282-B
lumbosacral	276-14676-B
lumbrical	276-14758-B
lumen	276-14820-B
lumen hour	276-14867-B
lumen second	276-14931-B
lumiere	430-19858-S
luminaire	276-15001-B
luminance	276-15078-B
luminary	276-15165-B
luminesce	276-15347-B
luminescence	276-15416-B
luminescent	276-15498-B
luminiferous	276-15569-B
luminosity	276-15658-B
luminous	276-15744-B,410-9103-S
luminous paint	276-15906-B
luminously	276-16021-B
luminousness	276-16090-B
lumme	276-16203-B
lummox	276-16237-B
lummy	276-16303-B
lump	276-16362-B,452-14492-S
lump sucker	276-18593-B
lumped	276-17583-B
lumpen	276-17617-B
lumpen proletarian	276-17726-B
lumpen proleteriat	276-17818-B
lumper	276-17905-B
lumpfish	276-18065-B
lumpiness	276-18111-B
lumping	276-18246-B
lumpish	276-18328-B
lumpishness	276-18442-B
lumpy	276-18659-B
lun yu	276-18814-B
luna	276-18888-B
lunacy	276-19018-B
lunanaut	276-19183-B
lunar	276-19246-B,411-13746-S
lunar caustic	276-19609-B
lunar cycle	276-19707-B
lunar day	276-19778-B
lunar distance	276-19846-B
lunar eclipse	276-19933-B
lunar excursion modul	276-20013-B
lunar mansions	276-20118-B
lunar module	276-20216-B
lunar month	276-20308-B
lunar year	276-20417-B
lunarian	276-20479-B
lunary	276-20589-B
lunate	276-20714-B
lunated	276-20785-B
lunatic	276-20893-B
lunatic asylum	276-20937-B
lunatical	276-21048-B
lunation	276-21296-B
lunch	276-21371-B,43-935-S,56-17520-S,348-14973-S
lunch break	276-21546-B
lunch room	276-21995-B
luncheon	276-21628-B,60-17498-S
luncheon meat	276-21682-B
luncheon voucher	276-21746-B
luncheonelte	276-21826-B
luncher	276-21935-B
lunchtime	276-22057-B
lune	276-22118-B
lunette	276-22254-B
lung	277-0-B,251-13965-S
lung cancer	277-141-B
lung duster	277-207-B
lung fever	277-293-B
lung fish	277-375-B
lung fogger	277-451-B
lung machine	217-14806-S
lung motor	277-516-B
lung power	277-1255-B
lunge	277-582-B
lunged	277-1004-B
lunger	277-1082-B
lungi	277-1181-B
lungwort	277-1330-B
luniform	277-1399-B
lunik	277-1460-B
lunisolar	277-1536-B
lunisolar period	277-1616-B
lunitidal	277-1726-B
lunkhead	277-1826-B
lunula	277-1898-B
lunule	277-1987-B
luny	277-2084-B
lupercalia	277-2145-B
lupin	277-2244-B
lupine	277-2330-B
lupinosis	277-2420-B
lupus	277-2506-B
lupus vulgaris	277-2590-B
lurch	277-2664-B
lurcher	277-2906-B
lurchingly	277-3070-B
lure	277-3256-B
lurement	277-3533-B
lurer	277-3610-B
lurid	277-3690-B
luridly	277-3851-B
luridness	277-3921-B
luringly	277-4058-B
lurk	277-4127-B
lurker	277-4389-B
lurking	277-4488-B
lurking place	277-4746-B
lurking suspicion	277-4656-B
luscious	277-4826-B
lusciously	277-4974-B
lusciousness	277-5073-B
lush	277-5234-B
lushness	277-5490-B
lushy	277-5563-B
lust	277-5835-B,52-12746-S
luster	277-5950-B
lusterless	277-6339-B
lusterware	277-6390-B
lustful	277-6455-B
lustfully	277-6560-B
lustfulness	277-6627-B
lustily	277-6715-B
lustiness	277-6784-B
lustra	277-6873-B
lustral	277-6998-B
lustration	277-7125-B
lustre	277-7266-B
lustreless	277-7304-B
lustreware	277-7382-B
lustrine	277-7455-B
lustring	277-7496-B
lustrous	277-7538-B
lustrously	277-7664-B
lustrum	277-7749-B
lusty	277-7790-B
lutanist	277-7953-B
lute	277-8035-B
lute string	277-8593-B
lutecium	277-8167-B
lutein	277-8230-B
luteinize	277-8296-B
lutenist	277-8385-B
luteous	277-8463-B
lutescent	277-8533-B
lutetia	277-8655-B
lutetian	277-8716-B
lutetium	277-8795-B
luteum	101-13262-S
lutheran	277-8898-B
lutheranism	277-9011-B
lutheranize	277-9102-B
luthier	277-9162-B
luting	277-9217-B
lutist	277-9290-B
lutz	277-9366-B
lux	277-9451-B
luxate	277-9523-B
luxation	277-9600-B
luxe	115-23517-S
luxmetar	277-9679-B
luxuriance	277-9731-B
luxuriant	277-9891-B
luxuriantly	277-10006-B
luxuriate	277-10101-B
luxurious	277-10438-B
luxuriously	277-10635-B
luxury	277-10708-B
luxury tax	277-11031-B
luzern	277-11139-B
lv	277-11194-B
lw	277-11266-B
lyart	277-11337-B
lycanthrope	277-11427-B
